object_id,submodel,sim_av,TDE_INDEX,Rph0,Tvis,b,bhmass,eff,lphoto,starmass
    211276,1,  0.1969,   6,  8.6639,  0.2899,  1.0071, 0.2605E+07,  0.0121,  1.7902,  2.0474
    226349,1,  0.7311, 104,  3.2225,  0.4841,  0.9312, 0.9631E+06,  0.0346,  1.7499,  1.1800
    227699,1,  0.0647,  42,  1.3025,  0.0184,  0.9359, 0.6418E+06,  0.1232,  2.1827,  1.9439
    230350,1,  0.5798,  95,  6.8602,  0.0024,  0.9235, 0.5713E+06,  0.0122,  1.5128, 13.0720
    239977,1,  0.5644, 511,  5.6453,  0.0055,  0.9771, 0.1026E+08,  0.0106,  1.6429,  1.2048
    247329,1,  0.0872, 225,  2.1384,  0.0152,  1.0522, 0.2506E+08,  0.0400,  1.9356,  2.6695
    254618,1,  0.1703, 449,  5.1567,  0.3338,  0.9554, 0.2760E+07,  0.0111,  1.6643,  8.2129
    254810,1,  0.2325, 279,  4.6404,  0.3544,  0.9874, 0.4669E+07,  0.0120,  1.6984,  1.0379
    264612,1,  0.2598, 609,  7.6647,  0.3347,  1.0165, 0.6295E+07,  0.0071,  1.7168,  1.0405
    264983,1,  0.5108, 394,  6.9966,  0.0047,  0.9790, 0.1657E+06,  0.0172,  1.5901,  1.0495
    274996,1,  0.0679, 550,  5.3706,  0.0136,  1.0044, 0.2457E+07,  0.0163,  1.7017,  1.0989
    279292,1,  0.0925,  37,  6.6011,  0.0017,  0.9618, 0.1086E+07,  0.0073,  1.5655,  2.1906
    280495,1,  0.3330, 413,  6.7280,  0.1595,  1.0263, 0.3465E+07,  0.0107,  1.5871,  1.4182
    281685,1,  0.1827, 541,  2.8050,  0.6811,  0.9211, 0.8160E+06,  0.0397,  1.6350,  1.1091
    282827,1,  0.4599, 348,  3.7655,  0.1575,  0.8983, 0.7134E+06,  0.0357,  1.6911,  1.1534
    289059,1,  0.3490, 411,  3.0344,  0.2416,  1.0195, 0.1672E+07,  0.0245,  1.7337,  1.0420
    289355,1,  0.3184, 241,  2.5821,  0.1581,  0.9549, 0.1717E+06,  0.0692,  1.5869,  1.0731
    294809,1,  0.1060, 534,  4.2521,  0.0474,  1.0116, 0.1799E+07,  0.0138,  1.7402,  1.0959
    295463,1,  0.0578,  70,  6.4746,  0.3683,  1.0055, 0.1212E+07,  0.0112,  1.6028,  1.0323
    295870,1,  0.3589, 702,  1.2902,  0.2005,  0.9754, 0.3204E+06,  0.1007,  1.7079,  1.9660
    299008,1,  0.1486, 337,  5.3142,  0.0060,  0.9919, 0.7327E+07,  0.0083,  1.7337,  1.0742
    326679,1,  0.7480, 517,  9.0523,  0.4477,  0.9973, 0.5725E+06,  0.0086,  1.5151,  1.2624
    326827,1,  0.1683, 698,  4.2542,  0.0147,  0.9899, 0.3478E+06,  0.0254,  1.5146,  1.0646
    329044,1,  0.1135, 106,  3.1889,  0.0524,  0.9527, 0.1791E+07,  0.0214,  1.5442,  1.0465
    331805,1,  0.0847, 622,  5.7915,  0.1157,  0.9668, 0.5721E+06,  0.0192,  1.5982,  1.1208
    331851,1,  2.2181, 190,  3.8275,  0.3491,  0.9484, 0.4381E+07,  0.0218,  1.5926,  1.0494
    334423,1,  0.2508, 439,  6.6175,  0.0634,  0.9898, 0.5081E+06,  0.0115,  1.5579,  1.5768
    339740,1,  0.4118,  60,  3.9916,  0.0250,  0.9599, 0.1474E+06,  0.0253,  1.5384,  1.8681
    341003,1,  0.7583, 145,  3.1988,  0.3805,  0.9726, 0.2913E+06,  0.0307,  1.5692,  1.0252
   1013259,1,  0.0523, 641,  4.8489,  0.7625,  1.0020, 0.2724E+06,  0.0200,  1.5465,  2.7173
   1030387,1,  0.2229, 514,  5.4223,  0.3230,  1.0175, 0.2053E+07,  0.0078,  1.5931,  1.2574
   1041552,1,  0.3523, 390,  8.3988,  0.0157,  0.9810, 0.2040E+06,  0.0116,  1.3816,  1.0493
   1083864,1,  0.0965, 246,  6.0626,  0.4559,  0.9421, 0.9132E+06,  0.0114,  1.5486,  1.0298
   1091693,1,  0.0051, 716,  5.9819,  0.0069,  1.0166, 0.7580E+06,  0.0133,  1.7042,  1.6250
   1094646,1,  1.0867, 462,  7.9895,  0.1824,  0.9896, 0.2557E+06,  0.0143,  1.5216,  1.0917
   1099712,1,  0.2218, 514,  5.4223,  0.3230,  1.0175, 0.2053E+07,  0.0078,  1.5931,  1.2574
   1112648,1,  0.3650, 219,  4.4862,  0.0086,  0.9927, 0.8477E+06,  0.0219,  1.6828,  1.1905
   1115635,1,  0.9032, 392, 11.1848,  0.0220,  0.9636, 0.5345E+06,  0.0057,  1.5703,  1.7198
   1119498,1,  0.2795, 714, 13.7840,  0.1867,  0.9938, 0.3508E+07,  0.0057,  1.7128,  1.4150
   1124656,1,  0.4314, 421,  2.7470,  0.4493,  0.9375, 0.1835E+06,  0.0504,  1.6242,  1.0405
   1134957,1,  0.1121, 671,  2.8726,  0.0836,  0.9289, 0.4307E+06,  0.0355,  1.5400,  1.0462
   1135692,1,  0.1580, 353,  2.1511,  0.3068,  1.0667, 0.1094E+07,  0.0420,  1.8660,  4.6218
   1141596,1,  0.1918, 417,  6.2854,  0.1976,  0.9686, 0.3394E+07,  0.0126,  1.6661,  1.0776
   1142329,1,  0.4121, 266,  6.5955,  0.0478,  0.9522, 0.1494E+07,  0.0110,  1.6411,  1.0768
   1163366,1,  0.1236, 365,  2.7826,  0.0172,  0.8761, 0.2814E+06,  0.0373,  1.5423,  1.1568
   1171510,1,  0.0053, 505,  5.1890,  0.0148,  0.9520, 0.1256E+07,  0.0173,  1.6413,  1.0194
   1179125,1,  0.0367, 329,  5.0803,  1.3646,  0.9490, 0.1578E+07,  0.0136,  1.5160,  3.8816
   1184459,1,  0.0127, 633,  5.7926,  0.7420,  0.9702, 0.7249E+06,  0.0133,  1.6018,  1.0760
   1184489,1,  0.6027, 660,  5.4957,  0.3242,  0.9320, 0.7962E+06,  0.0158,  1.5234,  1.1593
   1208538,1,  0.0294, 463,  2.2448,  0.0409,  0.9767, 0.3092E+07,  0.0460,  1.8854,  2.6686
   1209013,1,  0.1770, 438,  8.5824,  0.1535,  0.9399, 0.1534E+07,  0.0093,  1.5408,  1.3374
   1274613,1,  0.0702, 221, 10.6261,  0.0174,  0.9537, 0.3835E+07,  0.0071,  1.7164,  1.5237
   1277264,1,  0.1373, 667,  6.8558,  0.0017,  1.0496, 0.2575E+07,  0.0094,  1.7153,  5.6279
   1278100,1,  0.4909,  10,  5.5472,  0.0645,  0.9682, 0.5041E+06,  0.0146,  1.5899,  1.5091
   1281730,1,  0.1261, 194,  2.9881,  0.2388,  1.0121, 0.2082E+07,  0.0224,  1.5108,  1.6270
   1308360,1,  0.1303, 559,  1.6777,  0.2517,  0.9466, 0.5430E+06,  0.0547,  1.7110,  1.0292
   1309662,1,  0.1161, 495,  3.2561,  0.5053,  1.0271, 0.1314E+06,  0.0364,  1.6667,  1.8508
   1311921,1,  0.0216, 377,  3.8833,  0.0082,  0.9707, 0.1717E+07,  0.0322,  1.5502,  1.0946
   1321194,1,  0.4971,   4,  2.6499,  0.0323,  0.9823, 0.4114E+07,  0.0296,  1.8170,  1.1095
   1331800,1,  0.8764, 307,  3.4799,  0.1112,  0.9281, 0.4840E+06,  0.0392,  1.6206,  1.0663
   1334525,1,  0.2456, 298,  6.2669,  0.0049,  0.9555, 0.9796E+06,  0.0157,  1.6014,  1.0280
   1336113,1,  0.2873, 682,  6.9825,  0.2052,  1.0229, 0.1678E+07,  0.0094,  1.7003,  1.8899
   1344449,1,  0.0008, 544,  6.3293,  0.1255,  1.0110, 0.3106E+07,  0.0121,  1.7932,  1.0232
   1344911,1,  0.0012, 104,  3.2225,  0.4841,  0.9312, 0.9631E+06,  0.0346,  1.7499,  1.1800
   1353379,1,  0.1887, 608,  2.0289,  0.0275,  0.9722, 0.2637E+06,  0.0622,  1.5146,  1.0486
   1358267,1,  0.0807, 641,  4.8489,  0.7625,  1.0020, 0.2724E+06,  0.0200,  1.5465,  2.7173
   1385745,1,  0.0350, 462,  7.9895,  0.1824,  0.9896, 0.2557E+06,  0.0143,  1.5216,  1.0917
   1396928,1,  0.5162, 589,  3.6698,  0.0940,  0.8733, 0.7217E+06,  0.0408,  1.5324,  1.4266
   1398582,1,  0.2047, 672,  3.9805,  0.0033,  0.9574, 0.2176E+07,  0.0231,  1.8649,  1.0905
   1400241,1,  0.0022, 331,  5.5123,  0.1522,  0.9548, 0.9000E+06,  0.0173,  1.5434,  1.5366
   1413752,1,  0.5317, 440,  6.3619,  0.5075,  1.0670, 0.6437E+06,  0.0089,  1.5561,  1.0854
   1421797,1,  0.2688, 249,  3.5278,  0.1960,  0.9138, 0.2302E+07,  0.0224,  1.5315,  1.5703
   1424907,1,  0.0256, 638,  6.3291,  0.0016,  1.0888, 0.1268E+07,  0.0131,  1.6996,  1.4363
   1428081,1,  0.0696, 652,  5.0965,  0.1555,  0.9323, 0.1729E+06,  0.0261,  1.5835,  1.8508
   1451552,1,  1.4040, 194,  2.9881,  0.2388,  1.0121, 0.2082E+07,  0.0224,  1.5108,  1.6270
   1454581,1,  0.2398, 651,  2.2807,  0.0127,  0.9340, 0.1719E+07,  0.0495,  1.5812,  1.2342
   1454722,1,  0.0762, 264,  7.2137,  0.1128,  0.8650, 0.9572E+07,  0.0158,  1.6581,  1.6810
   1475568,1,  0.4478, 727,  2.3187,  0.6004,  0.9759, 0.4694E+06,  0.0492,  1.7437, 20.9966
   1482111,1,  0.4457, 691,  8.2903,  0.0046,  0.9411, 0.3258E+07,  0.0090,  1.6510,  1.8114
   1494142,1,  0.0373, 738,  5.9882,  0.0066,  0.9928, 0.1758E+07,  0.0100,  1.6700,  1.3001
   1504767,1,  0.3755, 540,  1.8510,  0.0485,  0.9146, 0.1156E+07,  0.0293,  1.5965,  1.0431
   1507047,1,  0.4073, 185,  5.0380,  0.3056,  0.9717, 0.7273E+06,  0.0232,  1.5553,  1.1444
   1516524,1,  0.2128, 118,  5.7378,  0.2425,  0.9617, 0.1642E+06,  0.0224,  1.4315,  1.0921
   1531835,1,  0.5038,  49,  2.9749,  0.0941,  0.9272, 0.1865E+07,  0.0273,  1.6379,  1.2823
   1535056,1,  0.1301, 664,  7.4521,  0.0018,  0.9545, 0.2477E+07,  0.0085,  1.5726,  2.8146
   1553248,1,  0.0185,  66,  3.0245,  0.4639,  0.9615, 0.4739E+06,  0.0302,  1.5671,  2.3637
   1562410,1,  0.3046, 351,  7.7006,  0.1148,  0.9542, 0.5363E+07,  0.0111,  1.6394,  1.2273
   1563124,1,  0.1041, 718,  5.3236,  0.2814,  0.9108, 0.6343E+06,  0.0307,  1.5834,  1.1839
   1570146,1,  0.0100,  33,  3.6687,  0.0186,  0.9362, 0.8476E+06,  0.0306,  1.6410,  1.0288
   1574665,1,  0.0567, 501, 13.0498,  0.0208,  0.9252, 0.4742E+06,  0.0063,  1.4867,  1.0476
   1580044,1,  0.4648,  90,  2.6510,  0.3044,  1.0267, 0.6568E+07,  0.0357,  1.9509,  1.6473
   1584423,1,  0.1063, 451,  8.7477,  0.0314,  1.0048, 0.6715E+07,  0.0054,  1.7272,  8.2268
   1595780,1,  0.0644, 252,  5.4271,  0.1524,  0.9159, 0.2093E+07,  0.0165,  1.6982,  1.6570
   1643896,1,  0.5988, 209,  6.6417,  0.0019,  1.0399, 0.8453E+06,  0.0082,  1.5925,  1.1226
   1647320,1,  0.1133, 237,  4.7570,  0.0537,  0.9744, 0.5342E+07,  0.0119,  1.7879,  1.0339
   1651394,1,  1.1624, 328,  3.6242,  0.0034,  0.9434, 0.9881E+06,  0.0192,  1.4956,  1.1846
   1668529,1,  0.2900, 485,  2.4494,  0.4607,  0.9597, 0.2411E+06,  0.0477,  1.7078,  1.1606
   1670679,1,  0.8704, 462,  7.9895,  0.1824,  0.9896, 0.2557E+06,  0.0143,  1.5216,  1.0917
   1695869,1,  0.2071,  24,  3.9130,  0.0170,  1.0207, 0.1371E+07,  0.0178,  1.6379,  1.1677
   1699300,1,  0.0428, 232,  5.5029,  0.1751,  0.9138, 0.5597E+06,  0.0196,  1.4966,  1.1877
   1705896,1,  0.4537, 371,  4.9764,  0.1844,  0.9682, 0.8954E+06,  0.0209,  1.5815,  1.9771
   1717268,1,  0.0913, 137,  4.4097,  0.0596,  0.9855, 0.2950E+06,  0.0256,  1.6789,  1.1917
   1721415,1,  0.1988,  47,  8.4442,  0.2995,  0.9666, 0.4011E+07,  0.0076,  1.6140,  1.5768
   1733414,1,  0.2929, 702,  1.2902,  0.2005,  0.9754, 0.3204E+06,  0.1007,  1.7079,  1.9660
   1733575,1,  0.0276, 506,  4.7993,  0.1602,  0.8902, 0.8308E+06,  0.0195,  1.5179,  1.1695
   1738851,1,  0.7645, 723,  5.4705,  0.0039,  0.9829, 0.4189E+07,  0.0141,  1.7280,  1.2869
   1741793,1,  0.4994,  91,  3.6204,  0.0674,  1.0244, 0.3253E+06,  0.0201,  1.4918,  3.1923
   1742866,1,  0.2398, 132,  2.2104,  0.2138,  0.9206, 0.1925E+06,  0.0680,  1.4565,  1.0108
   1750645,1,  0.0311, 332,  3.7131,  0.3890,  0.9598, 0.6741E+07,  0.0160,  1.7249,  1.0411
   1759803,1,  0.1946, 747,  3.4602,  0.5317,  0.9238, 0.1427E+06,  0.0415,  1.4579,  1.4493
   1786761,1,  0.0951, 161,  4.9578,  0.0044,  0.9820, 0.4852E+07,  0.0124,  1.8207,  1.5648
   1803714,1,  0.0470, 729,  7.3122,  0.6323,  0.9666, 0.6811E+06,  0.0139,  1.5543,  1.1373
   1839443,1,  0.0559, 395,  2.7057,  0.1245,  0.9967, 0.9018E+06,  0.0339,  1.7630,  1.1988
   1855099,1,  0.0406, 166,  3.0123,  0.0766,  0.9888, 0.2719E+07,  0.0236,  1.7623,  1.1990
   1863253,1,  0.9618, 182,  3.9007,  0.0219,  0.9520, 0.8027E+06,  0.0243,  1.6235,  1.0228
   1900698,1,  0.0543, 163,  7.6653,  0.0739,  0.9567, 0.5005E+06,  0.0144,  1.5306,  1.1497
   1902400,1,  0.4500, 508,  2.2470,  0.0076,  0.9067, 0.1863E+06,  0.0680,  1.5814,  1.0546
   1902481,1,  0.0395,   9,  4.6059,  0.0622,  0.9896, 0.4907E+07,  0.0132,  1.9241,  1.0699
   1916268,1,  0.1836, 117,  5.5437,  0.2648,  0.9246, 0.2450E+07,  0.0142,  1.5381,  1.1264
   1932866,1,  0.4769, 277,  7.4876,  0.0055,  0.9437, 0.5160E+06,  0.0128,  1.4859,  1.2932
   1943804,1,  0.2554, 245,  5.4176,  0.0043,  0.9848, 0.9782E+06,  0.0099,  1.6141,  1.5330
   1951691,1,  0.0250, 227,  1.9575,  0.1955,  0.9407, 0.1828E+06,  0.0732,  1.5917,  1.2877
   1952910,1,  0.1635, 318,  3.1805,  0.2595,  1.0014, 0.1299E+07,  0.0189,  1.5760,  1.4987
   1954809,1,  0.1028, 650,  4.5351,  0.0047,  1.0078, 0.5146E+06,  0.0171,  1.5646,  1.2215
   1956715,1,  0.2692, 222,  2.9213,  0.0751,  0.8968, 0.5581E+06,  0.0379,  1.7091,  1.1301
   1967615,1,  0.3978, 661,  6.1540,  0.0042,  1.0187, 0.1134E+07,  0.0095,  1.5776,  2.6627
   1973878,1,  0.4430, 571,  8.2660,  0.3695,  0.9972, 0.3459E+06,  0.0176,  1.6576,  2.0506
   1976598,1,  0.5356, 130,  3.9503,  0.0579,  1.0202, 0.1426E+07,  0.0158,  1.6832,  1.6125
   1995708,1,  0.0896, 454,  3.2746,  0.1132,  0.9779, 0.1464E+06,  0.0381,  1.6336,  1.1800
   1999612,1,  0.4297,  80,  5.3817,  0.1577,  1.0186, 0.3870E+06,  0.0149,  1.4982,  1.0449
   2008422,1,  0.0246, 189,  3.6462,  0.3341,  0.9452, 0.3093E+07,  0.0180,  1.6296,  1.0323
   2017328,1,  0.5775, 643,  4.2064,  0.0958,  0.9834, 0.1369E+07,  0.0162,  1.5980,  1.0302
   2037631,1,  0.5612, 641,  4.8489,  0.7625,  1.0020, 0.2724E+06,  0.0200,  1.5465,  2.7173
   2038080,1,  0.0752, 612,  5.8112,  0.3793,  0.9798, 0.4502E+06,  0.0170,  1.5441,  1.0342
   2041129,1,  0.2416, 281,  6.3148,  0.0031,  1.0193, 0.4157E+07,  0.0093,  1.7182,  1.0215
   2058579,1,  0.0153, 505,  5.1890,  0.0148,  0.9520, 0.1256E+07,  0.0173,  1.6413,  1.0194
   2073722,1,  0.0921, 366,  4.6699,  0.1035,  1.0030, 0.9999E+06,  0.0148,  1.6821,  1.1223
   2076593,1,  0.5462, 467,  3.9729,  0.1952,  0.9697, 0.1456E+07,  0.0205,  1.6796,  1.3404
   2095462,1,  0.0866, 228,  5.6917,  0.1944,  1.0025, 0.1088E+07,  0.0120,  1.6364,  1.8031
   2107839,1,  0.0776, 425,  6.4510,  0.0165,  0.9521, 0.9676E+06,  0.0170,  1.5747,  1.1468
   2109093,1,  0.4953, 407,  6.7549,  0.6839,  0.9726, 0.3204E+06,  0.0124,  1.4889,  1.2179
   2117309,1,  0.1339, 486,  7.9473,  0.1801,  0.9549, 0.3490E+07,  0.0089,  1.7400,  3.2920
   2117393,1,  0.0171, 567,  9.0699,  0.0373,  0.9690, 0.2123E+06,  0.0154,  1.5361,  1.0218
   2122157,1,  0.2914, 730,  5.0550,  0.0036,  1.0313, 0.3530E+06,  0.0197,  1.6759,  1.6056
   2126546,1,  0.2719, 252,  5.4271,  0.1524,  0.9159, 0.2093E+07,  0.0165,  1.6982,  1.6570
   2131255,1,  0.0690, 486,  7.9473,  0.1801,  0.9549, 0.3490E+07,  0.0089,  1.7400,  3.2920
   2141685,1,  0.1221, 265,  2.6603,  0.1176,  0.9222, 0.1907E+06,  0.0485,  1.4181,  1.3359
   2144353,1,  0.4395, 189,  3.6462,  0.3341,  0.9452, 0.3093E+07,  0.0180,  1.6296,  1.0323
   2150820,1,  0.2950, 169,  6.5719,  1.4277,  0.9509, 0.1938E+07,  0.0084,  1.5454,  1.0288
   2162313,1,  0.0758, 712,  8.6707,  0.0997,  0.9592, 0.1931E+06,  0.0127,  1.4903,  1.1907
   2167031,1,  0.3396, 122,  2.8032,  0.0234,  0.9194, 0.5308E+06,  0.0314,  1.5334,  1.0172
   2186569,1,  0.1855, 297,  8.7818,  0.0020,  0.9899, 0.9257E+06,  0.0076,  1.8029,  1.1087
   2193013,1,  0.9718, 147,  6.4051,  0.0025,  0.9971, 0.9020E+06,  0.0124,  1.5721,  1.2648
   2198993,1,  0.1523,  37,  6.6011,  0.0017,  0.9618, 0.1086E+07,  0.0073,  1.5655,  2.1906
   2210957,1,  0.1353, 103,  5.7895,  0.3527,  1.0408, 0.4254E+07,  0.0147,  1.7523,  1.0289
   2213354,1,  0.7302, 127,  4.5140,  0.3380,  0.9624, 0.4474E+06,  0.0224,  1.6079,  1.3582
   2230859,1,  0.0193, 214,  4.6818,  0.1510,  0.9024, 0.2342E+07,  0.0207,  1.6830,  1.5078
   2255102,1,  0.3335, 640,  2.4905,  0.0701,  0.9108, 0.3747E+07,  0.0385,  1.9409,  1.1721
   2275204,1,  0.1553, 713,  3.9408,  0.0719,  0.9506, 0.1219E+07,  0.0241,  1.7564,  1.0156
   2290628,1,  0.0979, 226,  3.2423,  0.0674,  0.9550, 0.4407E+06,  0.0375,  1.7511,  1.2777
   2296144,1,  0.0551, 520,  2.7863,  0.0180,  0.9071, 0.2329E+07,  0.0669,  1.4794,  1.0601
   2303205,1,  1.1181, 171,  5.4722,  0.0043,  0.9620, 0.9766E+06,  0.0213,  1.6964,  1.1437
   2307801,1,  1.3126, 635,  8.4749,  0.0418,  1.0072, 0.5477E+06,  0.0074,  1.5654,  6.3801
   2313547,1,  0.4891,  53,  7.2520,  0.0346,  1.0387, 0.1489E+07,  0.0054,  1.5715,  1.1228
   2330575,1,  0.1895, 701,  4.1240,  0.0168,  0.9050, 0.1878E+07,  0.0193,  1.4825,  1.1029
   2348193,1,  0.1526, 432,  2.1168,  0.1556,  0.8811, 0.1186E+07,  0.0657,  1.4753,  1.3315
   2353627,1,  0.1915, 112,  2.8257,  0.0620,  0.9179, 0.1609E+06,  0.0780,  1.5745,  2.1890
   2353632,1,  0.1457, 249,  3.5278,  0.1960,  0.9138, 0.2302E+07,  0.0224,  1.5315,  1.5703
   2354318,1,  0.0098, 207,  7.3265,  0.3815,  0.9710, 0.3035E+06,  0.0120,  1.5072,  1.0406
   2362478,1,  0.1558, 693,  3.5674,  0.0156,  0.9627, 0.1053E+07,  0.0269,  1.6245,  1.5733
   2373463,1,  0.0040, 232,  5.5029,  0.1751,  0.9138, 0.5597E+06,  0.0196,  1.4966,  1.1877
   2393144,1,  0.1372, 707,  3.4128,  0.1010,  0.9667, 0.2206E+07,  0.0304,  1.7134,  1.2920
   2409555,1,  0.0888, 345,  6.2923,  0.1992,  0.9754, 0.2005E+07,  0.0111,  1.6753,  4.4051
   2410833,1,  0.1419, 714, 13.7840,  0.1867,  0.9938, 0.3508E+07,  0.0057,  1.7128,  1.4150
   2413140,1,  0.0803, 344,  4.3765,  0.0736,  0.9882, 0.1092E+07,  0.0165,  1.6289,  1.5514
   2447305,1,  1.0364, 530,  5.8745,  0.1579,  1.0217, 0.8390E+06,  0.0111,  1.7044,  1.3991
   2450394,1,  0.1110, 357,  2.6989,  0.0618,  0.8993, 0.1061E+07,  0.0308,  1.6445,  1.3670
   2467902,1,  0.0576, 227,  1.9575,  0.1955,  0.9407, 0.1828E+06,  0.0732,  1.5917,  1.2877
   2468991,1,  0.2916, 624, 10.1095,  0.0548,  0.9718, 0.1553E+06,  0.0106,  1.3531,  1.0145
   2470079,1,  0.2282, 190,  3.8275,  0.3491,  0.9484, 0.4381E+07,  0.0218,  1.5926,  1.0494
   2488351,1,  0.1494,  89,  3.8189,  0.1032,  0.9748, 0.6740E+06,  0.0310,  1.7363,  1.0206
   2501222,1,  0.1710, 704,  5.1177,  0.1669,  0.8979, 0.7381E+06,  0.0217,  1.6715,  1.0456
