object_id,submodel,sim_av,ILOT_INDEX,Mejecta,Vejecta,Mcsm,Rho,R0
   6099214,1,  0.2721, 282,  4.6237,  464.01,  0.6655, 0.542E-13, 63.9405
   6163012,1,  0.3072, 228,  8.3916,  694.49,  0.7607, 0.304E-13, 72.0853
   6198266,1,  0.0175,  39,  0.8487,  998.49,  8.8040, 0.750E-13, 79.5041
   6211428,1,  0.0268, 314,  1.5193,  652.25,  0.4270, 0.972E-13, 12.0414
   6243071,1,  0.0762,  35,  3.4530,  962.58,  9.6666, 0.941E-13, 47.8536
   6245388,1,  0.1661,  39,  0.8487,  998.49,  8.8040, 0.750E-13, 79.5041
   6378183,1,  0.0198,  35,  3.4530,  962.58,  9.6666, 0.941E-13, 47.8536
   6380914,1,  0.1515, 116,  7.8277,  692.83,  3.7652, 0.638E-13, 57.1584
   6537992,1,  0.0580, 183,  7.9637,  702.32,  0.1633, 0.836E-13, 50.6959
   6564649,1,  0.1323,  39,  0.8487,  998.49,  8.8040, 0.750E-13, 79.5041
   6697987,1,  0.0052, 245,  4.8310,  330.63,  0.5750, 0.374E-13, 98.1252
   6724102,1,  0.2712, 118,  4.8419,  930.83,  7.4171, 0.373E-13, 73.9401
   6738276,1,  0.1456, 379,  1.7831,  756.33,  8.9603, 0.960E-13, 34.9775
   6786491,1,  0.1757, 170,  2.5602,  976.82,  0.1605, 0.197E-13, 48.4698
   6887597,1,  0.0354, 228,  8.3916,  694.49,  0.7607, 0.304E-13, 72.0853
   6911641,1,  0.1911, 197,  4.0776,  521.81,  1.7358, 0.135E-13, 84.7201
   6941787,1,  0.3555, 278,  4.3840,  629.24,  1.1786, 0.688E-13, 48.2347
   7003431,1,  0.1470, 192,  2.5904,  818.07,  0.3207, 0.119E-13, 72.7195
   7108737,1,  0.0320, 254,  6.3961,  872.48,  0.1487, 0.216E-13, 62.1471
   7108788,1,  0.1190,  58,  6.3414,  934.42,  1.4605, 0.286E-13, 39.0445
   7177690,1,  0.2094,  35,  3.4530,  962.58,  9.6666, 0.941E-13, 47.8536
   7219612,1,  0.0605, 118,  4.8419,  930.83,  7.4171, 0.373E-13, 73.9401
   7349135,1,  0.3657,  79,  1.4600,  461.97,  0.5753, 0.960E-13, 18.7372
   7586110,1,  0.4637,  39,  0.8487,  998.49,  8.8040, 0.750E-13, 79.5041
   7836065,1,  0.1962, 241,  0.7451,  861.66,  2.7003, 0.406E-13, 52.8518
   7843178,1,  0.1219, 116,  7.8277,  692.83,  3.7652, 0.638E-13, 57.1584
   7978164,1,  0.1325, 337,  8.7279,  645.95,  0.3939, 0.178E-13, 37.9470
   7992628,1,  0.0197, 283,  0.9124,  604.15,  0.4925, 0.369E-13, 36.1047
   8066843,1,  0.1355, 253,  0.2120,  395.09,  9.9381, 0.950E-13, 79.2755
   8165125,1,  0.0193, 141,  8.8678,  920.11,  0.8305, 0.452E-13, 25.5851
   8266252,1,  0.0903,  11,  0.7801,  983.62,  0.2347, 0.762E-13, 16.9347
   8792924,1,  0.0192, 132,  3.1007,  744.98,  0.4499, 0.127E-13, 50.5804
   8845856,1,  0.0527, 116,  7.8277,  692.83,  3.7652, 0.638E-13, 57.1584
   8853812,1,  0.0913, 222,  1.1722,  684.77,  0.4273, 0.971E-13, 21.7206
   8855507,1,  0.0963, 357,  5.6890,  996.99,  1.1232, 0.322E-13, 50.4841
   8912014,1,  0.1842, 118,  4.8419,  930.83,  7.4171, 0.373E-13, 73.9401
   8914960,1,  0.1250, 278,  4.3840,  629.24,  1.1786, 0.688E-13, 48.2347
   8984063,1,  0.2692,  39,  0.8487,  998.49,  8.8040, 0.750E-13, 79.5041
   8993149,1,  0.0225,  58,  6.3414,  934.42,  1.4605, 0.286E-13, 39.0445
   9126627,1,  0.6237, 124,  8.1351,  792.62,  1.1907, 0.133E-13, 45.6907
   9215975,1,  0.1480, 116,  7.8277,  692.83,  3.7652, 0.638E-13, 57.1584
   9469328,1,  0.0401, 118,  4.8419,  930.83,  7.4171, 0.373E-13, 73.9401
   9546244,1,  0.0294, 362,  8.2140,  662.52,  1.4930, 0.538E-13, 47.2100
   9591286,1,  0.0260, 155,  0.5058,  636.66,  2.2175, 0.459E-13, 63.5823
   9796882,1,  0.0160, 118,  4.8419,  930.83,  7.4171, 0.373E-13, 73.9401
   9956146,1,  0.0388, 228,  8.3916,  694.49,  0.7607, 0.304E-13, 72.0853
  10018310,1,  0.0537, 110,  3.6669,  474.46,  0.2526, 0.783E-13, 38.6074
  10108736,1,  0.0490, 118,  4.8419,  930.83,  7.4171, 0.373E-13, 73.9401
  10116371,1,  0.0542,  35,  3.4530,  962.58,  9.6666, 0.941E-13, 47.8536
  10174244,1,  0.0337, 356,  1.6964,  990.01,  0.6816, 0.117E-13, 66.5765
  10176301,1,  0.0527, 362,  8.2140,  662.52,  1.4930, 0.538E-13, 47.2100
  10224280,1,  0.4206, 116,  7.8277,  692.83,  3.7652, 0.638E-13, 57.1584
  10230802,1,  0.5476,  50,  2.9461,  936.65,  3.8523, 0.132E-13, 64.9692
  10246742,1,  0.1091, 249,  2.0507,  906.89,  0.1625, 0.109E-13, 75.6235
  10282691,1,  0.1610, 118,  4.8419,  930.83,  7.4171, 0.373E-13, 73.9401
  10331560,1,  0.3433, 118,  4.8419,  930.83,  7.4171, 0.373E-13, 73.9401
  10357131,1,  0.1453, 112,  0.2436,  872.34,  6.2528, 0.257E-13, 74.9503
  10360092,1,  0.0499, 356,  1.6964,  990.01,  0.6816, 0.117E-13, 66.5765
  10382356,1,  0.0070,  35,  3.4530,  962.58,  9.6666, 0.941E-13, 47.8536
  10433329,1,  0.0093, 155,  0.5058,  636.66,  2.2175, 0.459E-13, 63.5823
  10513201,1,  0.0219, 362,  8.2140,  662.52,  1.4930, 0.538E-13, 47.2100
  10668445,1,  0.1312, 356,  1.6964,  990.01,  0.6816, 0.117E-13, 66.5765
  10739806,1,  0.9524,  81,  1.5234,  387.80,  0.1131, 0.101E-13, 66.0564
  10781709,1,  0.1930, 186,  2.6856,  302.44,  1.3822, 0.171E-13, 81.0205
  10825677,1,  0.0762,  39,  0.8487,  998.49,  8.8040, 0.750E-13, 79.5041
  10847648,1,  0.2076, 337,  8.7279,  645.95,  0.3939, 0.178E-13, 37.9470
  10937636,1,  0.0651, 110,  3.6669,  474.46,  0.2526, 0.783E-13, 38.6074
  11017656,1,  0.2570, 356,  1.6964,  990.01,  0.6816, 0.117E-13, 66.5765
  11078489,1,  0.0637, 228,  8.3916,  694.49,  0.7607, 0.304E-13, 72.0853
  11105009,1,  0.1228, 183,  7.9637,  702.32,  0.1633, 0.836E-13, 50.6959
  11124187,1,  0.0511, 283,  0.9124,  604.15,  0.4925, 0.369E-13, 36.1047
  11156126,1,  0.0789,   0,  0.7087,  989.60,  2.7807, 0.360E-13, 64.9978
  11278226,1,  0.6583,  39,  0.8487,  998.49,  8.8040, 0.750E-13, 79.5041
  11302928,1,  0.0003, 288,  1.7010,  680.79,  0.4670, 0.105E-13, 72.5141
  11311678,1,  0.5062, 288,  1.7010,  680.79,  0.4670, 0.105E-13, 72.5141
  11421388,1,  0.1387, 357,  5.6890,  996.99,  1.1232, 0.322E-13, 50.4841
  11448539,1,  0.0464, 118,  4.8419,  930.83,  7.4171, 0.373E-13, 73.9401
  11599109,1,  0.5039, 357,  5.6890,  996.99,  1.1232, 0.322E-13, 50.4841
  11667712,1,  0.0524, 118,  4.8419,  930.83,  7.4171, 0.373E-13, 73.9401
  11803499,1,  0.3500,  39,  0.8487,  998.49,  8.8040, 0.750E-13, 79.5041
  11891049,1,  0.0005, 196,  3.8477,  815.86,  0.1167, 0.119E-13, 89.1319
  11931521,1,  0.0612, 383,  5.7426,  656.37,  9.0839, 0.734E-13, 37.0609
  11990948,1,  0.0373, 118,  4.8419,  930.83,  7.4171, 0.373E-13, 73.9401
  12078892,1,  0.0441,   0,  0.7087,  989.60,  2.7807, 0.360E-13, 64.9978
  12079192,1,  0.2066,  39,  0.8487,  998.49,  8.8040, 0.750E-13, 79.5041
  12194987,1,  0.0822,  35,  3.4530,  962.58,  9.6666, 0.941E-13, 47.8536
  12259478,1,  0.0986, 118,  4.8419,  930.83,  7.4171, 0.373E-13, 73.9401
  12308291,1,  0.0704, 192,  2.5904,  818.07,  0.3207, 0.119E-13, 72.7195
  12350216,1,  0.0050, 116,  7.8277,  692.83,  3.7652, 0.638E-13, 57.1584
  12407001,1,  0.1709, 228,  8.3916,  694.49,  0.7607, 0.304E-13, 72.0853
  12460110,1,  0.0151, 148,  2.1865,  684.07,  0.8964, 0.284E-13, 52.7470
  12462973,1,  0.0551, 274,  0.2767,  927.22,  3.8479, 0.109E-13, 97.0998
  12561257,1,  0.0011, 356,  1.6964,  990.01,  0.6816, 0.117E-13, 66.5765
  12772711,1,  0.3005, 241,  0.7451,  861.66,  2.7003, 0.406E-13, 52.8518
  12904572,1,  0.0812, 118,  4.8419,  930.83,  7.4171, 0.373E-13, 73.9401
  12907629,1,  0.0090,  35,  3.4530,  962.58,  9.6666, 0.941E-13, 47.8536
  13003452,1,  0.0421, 357,  5.6890,  996.99,  1.1232, 0.322E-13, 50.4841
  13166794,1,  0.0255,  58,  6.3414,  934.42,  1.4605, 0.286E-13, 39.0445
  13194055,1,  0.4342, 285,  1.8855,  866.47,  3.6717, 0.276E-13, 94.3169
  13198955,1,  0.0998, 367,  4.4165,  668.35,  0.3734, 0.171E-13, 78.1171
  13240359,1,  0.3689, 357,  5.6890,  996.99,  1.1232, 0.322E-13, 50.4841
  13261440,1,  0.2910,  17,  1.7765,  559.86,  0.1081, 0.583E-13, 35.6185
  13402956,1,  0.1095,  58,  6.3414,  934.42,  1.4605, 0.286E-13, 39.0445
  13434203,1,  0.0539, 118,  4.8419,  930.83,  7.4171, 0.373E-13, 73.9401
  13455598,1,  0.0080,  50,  2.9461,  936.65,  3.8523, 0.132E-13, 64.9692
  13470100,1,  0.1644, 116,  7.8277,  692.83,  3.7652, 0.638E-13, 57.1584
  13495557,1,  0.8793,  35,  3.4530,  962.58,  9.6666, 0.941E-13, 47.8536
  13528261,1,  0.1297, 228,  8.3916,  694.49,  0.7607, 0.304E-13, 72.0853
  13543031,1,  0.3054,   0,  0.7087,  989.60,  2.7807, 0.360E-13, 64.9978
  13592594,1,  0.5578, 196,  3.8477,  815.86,  0.1167, 0.119E-13, 89.1319
  13641015,1,  0.1605,  39,  0.8487,  998.49,  8.8040, 0.750E-13, 79.5041
  13757801,1,  0.1235, 362,  8.2140,  662.52,  1.4930, 0.538E-13, 47.2100
  13783352,1,  0.1366, 234,  8.0949,  527.68,  0.2059, 0.397E-13, 66.8561
  14011927,1,  0.0608,  39,  0.8487,  998.49,  8.8040, 0.750E-13, 79.5041
  14029871,1,  0.3885, 228,  8.3916,  694.49,  0.7607, 0.304E-13, 72.0853
  14195890,1,  0.0871,  19,  1.9210,  601.28,  0.2757, 0.124E-13, 57.3847
  14315884,1,  0.0237, 377,  1.7403,  519.37,  8.3669, 0.454E-13, 72.2676
  14325913,1,  0.0862,  35,  3.4530,  962.58,  9.6666, 0.941E-13, 47.8536
  14342055,1,  0.0147,  81,  1.5234,  387.80,  0.1131, 0.101E-13, 66.0564
  14378983,1,  1.1710, 249,  2.0507,  906.89,  0.1625, 0.109E-13, 75.6235
  14407168,1,  0.1333, 235,  3.2424,  665.25,  0.1582, 0.916E-13, 23.9017
  14433760,1,  0.2747, 285,  1.8855,  866.47,  3.6717, 0.276E-13, 94.3169
  14571381,1,  0.0689, 367,  4.4165,  668.35,  0.3734, 0.171E-13, 78.1171
  14621410,1,  0.4523,  25,  0.2332,  650.59,  4.6281, 0.533E-13, 71.6333
  14699970,1,  0.0254, 254,  6.3961,  872.48,  0.1487, 0.216E-13, 62.1471
  14746621,1,  0.1416, 234,  8.0949,  527.68,  0.2059, 0.397E-13, 66.8561
  14814500,1,  0.6366,  39,  0.8487,  998.49,  8.8040, 0.750E-13, 79.5041
  14870691,1,  0.5710, 234,  8.0949,  527.68,  0.2059, 0.397E-13, 66.8561
  14872835,1,  0.0785, 357,  5.6890,  996.99,  1.1232, 0.322E-13, 50.4841
  15048828,1,  0.2405, 228,  8.3916,  694.49,  0.7607, 0.304E-13, 72.0853
  15143335,1,  0.0059,   9,  5.2808,  608.52,  0.8523, 0.837E-14, 51.0870
  15340266,1,  0.2443, 118,  4.8419,  930.83,  7.4171, 0.373E-13, 73.9401
  15493199,1,  0.0606, 254,  6.3961,  872.48,  0.1487, 0.216E-13, 62.1471
  15562228,1,  0.1487, 118,  4.8419,  930.83,  7.4171, 0.373E-13, 73.9401
  15569302,1,  0.0994, 357,  5.6890,  996.99,  1.1232, 0.322E-13, 50.4841
  15783679,1,  0.0332,   0,  0.7087,  989.60,  2.7807, 0.360E-13, 64.9978
  15837746,1,  0.0700, 118,  4.8419,  930.83,  7.4171, 0.373E-13, 73.9401
  15896942,1,  0.1098,  58,  6.3414,  934.42,  1.4605, 0.286E-13, 39.0445
  15964674,1,  0.0767,  39,  0.8487,  998.49,  8.8040, 0.750E-13, 79.5041
  15971419,1,  0.1093, 118,  4.8419,  930.83,  7.4171, 0.373E-13, 73.9401
  16089803,1,  0.2133,  58,  6.3414,  934.42,  1.4605, 0.286E-13, 39.0445
  16094547,1,  0.0276, 129,  2.5043,  864.46,  1.1210, 0.662E-14, 86.3820
  16100119,1,  0.9411, 235,  3.2424,  665.25,  0.1582, 0.916E-13, 23.9017
  16126294,1,  0.1005, 241,  0.7451,  861.66,  2.7003, 0.406E-13, 52.8518
  16167860,1,  0.0320, 285,  1.8855,  866.47,  3.6717, 0.276E-13, 94.3169
  16295239,1,  0.0304, 183,  7.9637,  702.32,  0.1633, 0.836E-13, 50.6959
  16298095,1,  0.1129, 116,  7.8277,  692.83,  3.7652, 0.638E-13, 57.1584
  16439592,1,  1.5955, 289,  6.1445,  568.70,  4.3963, 0.648E-13, 43.6641
  16496402,1,  0.0126, 118,  4.8419,  930.83,  7.4171, 0.373E-13, 73.9401
  16561702,1,  0.0261, 129,  2.5043,  864.46,  1.1210, 0.662E-14, 86.3820
  16563842,1,  0.2951, 118,  4.8419,  930.83,  7.4171, 0.373E-13, 73.9401
  16580484,1,  0.2506, 249,  2.0507,  906.89,  0.1625, 0.109E-13, 75.6235
  17080057,1,  0.1015, 228,  8.3916,  694.49,  0.7607, 0.304E-13, 72.0853
  17298371,1,  0.0671,  39,  0.8487,  998.49,  8.8040, 0.750E-13, 79.5041
  17299039,1,  0.0066, 285,  1.8855,  866.47,  3.6717, 0.276E-13, 94.3169
  17386561,1,  0.1229,  25,  0.2332,  650.59,  4.6281, 0.533E-13, 71.6333
  17454372,1,  0.3396, 192,  2.5904,  818.07,  0.3207, 0.119E-13, 72.7195
  17611778,1,  0.0133,  39,  0.8487,  998.49,  8.8040, 0.750E-13, 79.5041
  17718288,1,  0.1187, 124,  8.1351,  792.62,  1.1907, 0.133E-13, 45.6907
  17761207,1,  0.1433, 357,  5.6890,  996.99,  1.1232, 0.322E-13, 50.4841
  18076584,1,  0.2900, 265,  1.5456,  425.36,  0.7729, 0.108E-13, 74.7893
  18085618,1,  0.0897, 285,  1.8855,  866.47,  3.6717, 0.276E-13, 94.3169
  18087459,1,  0.5961, 249,  2.0507,  906.89,  0.1625, 0.109E-13, 75.6235
  18202077,1,  0.1200, 357,  5.6890,  996.99,  1.1232, 0.322E-13, 50.4841
  18252283,1,  0.0973,  35,  3.4530,  962.58,  9.6666, 0.941E-13, 47.8536
  18311355,1,  0.5737, 183,  7.9637,  702.32,  0.1633, 0.836E-13, 50.6959
  18340565,1,  0.0791, 235,  3.2424,  665.25,  0.1582, 0.916E-13, 23.9017
  18348023,1,  0.0943, 278,  4.3840,  629.24,  1.1786, 0.688E-13, 48.2347
  18427437,1,  0.2505, 337,  8.7279,  645.95,  0.3939, 0.178E-13, 37.9470
  18514448,1,  0.1814, 207,  7.4614,  864.64,  0.9192, 0.767E-13, 11.3213
  18566163,1,  0.4251, 192,  2.5904,  818.07,  0.3207, 0.119E-13, 72.7195
  18593215,1,  0.3474,  58,  6.3414,  934.42,  1.4605, 0.286E-13, 39.0445
  18629363,1,  0.1375, 264,  3.0385,  295.36,  7.6054, 0.850E-13, 55.9998
  18658666,1,  0.0072, 193,  0.1603,  500.95,  0.8009, 0.591E-13, 32.8663
  18768028,1,  0.0503, 357,  5.6890,  996.99,  1.1232, 0.322E-13, 50.4841
  18800035,1,  0.3181,   0,  0.7087,  989.60,  2.7807, 0.360E-13, 64.9978
  19129778,1,  0.1532, 228,  8.3916,  694.49,  0.7607, 0.304E-13, 72.0853
  19191885,1,  0.6718, 356,  1.6964,  990.01,  0.6816, 0.117E-13, 66.5765
  19210722,1,  0.2216, 116,  7.8277,  692.83,  3.7652, 0.638E-13, 57.1584
  19245517,1,  0.1218, 357,  5.6890,  996.99,  1.1232, 0.322E-13, 50.4841
  19259826,1,  0.2421, 357,  5.6890,  996.99,  1.1232, 0.322E-13, 50.4841
  19289295,1,  0.1159, 192,  2.5904,  818.07,  0.3207, 0.119E-13, 72.7195
  19454370,1,  1.7153, 228,  8.3916,  694.49,  0.7607, 0.304E-13, 72.0853
  19535514,1,  0.3480, 285,  1.8855,  866.47,  3.6717, 0.276E-13, 94.3169
  19764858,1,  0.1054, 196,  3.8477,  815.86,  0.1167, 0.119E-13, 89.1319
  19770337,1,  0.0418, 116,  7.8277,  692.83,  3.7652, 0.638E-13, 57.1584
  19789511,1,  0.0679, 289,  6.1445,  568.70,  4.3963, 0.648E-13, 43.6641
  19849293,1,  0.2491, 170,  2.5602,  976.82,  0.1605, 0.197E-13, 48.4698
  19863416,1,  0.0565, 367,  4.4165,  668.35,  0.3734, 0.171E-13, 78.1171
  19882688,1,  0.0063, 249,  2.0507,  906.89,  0.1625, 0.109E-13, 75.6235
  19923642,1,  0.0424,  39,  0.8487,  998.49,  8.8040, 0.750E-13, 79.5041
  20050856,1,  0.1043, 170,  2.5602,  976.82,  0.1605, 0.197E-13, 48.4698
  20191674,1,  0.1410, 274,  0.2767,  927.22,  3.8479, 0.109E-13, 97.0998
  20193088,1,  0.0156, 234,  8.0949,  527.68,  0.2059, 0.397E-13, 66.8561
  20411775,1,  0.0262, 124,  8.1351,  792.62,  1.1907, 0.133E-13, 45.6907
  20443098,1,  0.0350, 228,  8.3916,  694.49,  0.7607, 0.304E-13, 72.0853
  20619118,1,  0.0568,  39,  0.8487,  998.49,  8.8040, 0.750E-13, 79.5041
  20621711,1,  0.1982, 278,  4.3840,  629.24,  1.1786, 0.688E-13, 48.2347
  20776076,1,  0.1025, 112,  0.2436,  872.34,  6.2528, 0.257E-13, 74.9503
  20921553,1,  0.0164, 116,  7.8277,  692.83,  3.7652, 0.638E-13, 57.1584
  21010612,1,  0.0709,  58,  6.3414,  934.42,  1.4605, 0.286E-13, 39.0445
  21121686,1,  0.0577, 357,  5.6890,  996.99,  1.1232, 0.322E-13, 50.4841
