object_id,submodel,sim_av,Iax_INDEX,M_V,t_rise,dm15B,dm15R
     10757,1,   0,  34,-17.8990, 19.2560,  1.2410,  0.1430
     11646,1,   0, 962,-18.5040, 19.7900,  1.2160,  0.6380
     11773,1,   0,  76,-18.0380, 18.0080,  1.5590,  0.3630
     12030,1,   0, 642,-17.3290, 14.8400,  1.5440,  0.6230
     12348,1,   0, 447,-17.1700, 14.2820,  1.7190,  0.5690
     12422,1,   0, 768,-17.0460, 16.8230,  1.2440,  0.4670
     13138,1,   0, 626,-17.3090, 15.0780,  1.1920,  0.4490
     13187,1,   0, 978,-17.7860, 18.9320,  1.1060,  0.7010
     13434,1,   0, 877,-17.4290, 15.6130,  1.4410,  0.4060
     13687,1,   0, 872,-18.1780, 18.8550,  1.6410,  0.4440
     13697,1,   0, 731,-18.3130, 17.9970,  1.1360,  0.4180
     14279,1,   0, 128,-18.5930, 17.8580,  1.0680,  0.5140
     14421,1,   0, 732,-18.3170, 19.2780,  1.2940,  0.1360
     15578,1,   0, 651,-18.3260, 18.1950,  1.7720,  0.5470
     15718,1,   0, 544,-15.7780, 13.7710,  1.5290,  0.5570
     16496,1,   0, 820,-17.9990, 21.9720,  1.0470,  0.6740
     16905,1,   0, 154,-18.2360, 17.8640,  1.2910,  0.4940
     17238,1,   0, 786,-17.6690, 19.1320,  1.7180,  0.6330
     17447,1,   0,  68,-15.5250, 10.5250,  1.6640,  0.9970
     17496,1,   0, 576,-17.9560, 20.7200,  1.4920,  0.6870
     18148,1,   0, 787,-18.7350, 20.5630,  1.0220,  0.4600
     18717,1,   0, 979,-17.4040, 16.4430,  1.4430,  0.9450
     18888,1,   0, 378,-16.7680, 13.5230,  1.6440,  0.6540
     19007,1,   0, 929,-18.1260, 19.3210,  1.3930,  0.5200
     19109,1,   0, 137,-18.1830, 16.5020,  1.4670,  0.1940
     19134,1,   0, 365,-14.1930, 10.1410,  2.1510,  0.8230
     20271,1,   0, 950,-17.9460, 16.4610,  1.7000,  0.7760
     22315,1,   0, 563,-17.5920, 18.1060,  1.0660,  0.3140
     22431,1,   0,  20,-16.4650, 18.6850,  1.9660,  0.6350
     22645,1,   0, 158,-16.9850, 15.1150,  1.5980,  0.9110
     22855,1,   0, 340,-18.2950, 18.7280,  1.0100,  0.2970
     22884,1,   0, 753,-19.1610, 21.5690,  1.0370,  0.5920
     23127,1,   0, 575,-18.0940, 17.7540,  1.5210,  0.5700
     23409,1,   0, 146,-17.7890, 20.0990,  1.1550,  0.6320
     23806,1,   0, 606,-18.2720, 20.1190,  1.2500,  0.6120
     23822,1,   0, 615,-17.7940, 16.6650,  1.2160,  0.4640
     23927,1,   0, 817,-16.6250, 15.1150,  1.4960,  0.8140
     23963,1,   0, 401,-18.8720, 22.5480,  0.9610,  0.6770
     24563,1,   0, 777,-17.8250, 19.2270,  1.3680,  0.9140
     25135,1,   0,  74,-18.3680, 19.9870,  1.6180,  0.5140
     25649,1,   0, 280,-16.5200, 11.8990,  1.4430,  0.3740
     26058,1,   0, 920,-18.8440, 18.7960,  1.7040,  0.4470
     26175,1,   0, 319,-17.4470, 18.0350,  1.3600,  0.7060
     26299,1,   0, 901,-17.8070, 19.7860,  1.1130,  0.5770
     26793,1,   0, 973,-18.3750, 18.3340,  1.2620,  0.5040
     27171,1,   0, 801,-18.5520, 21.0160,  0.9910,  0.1020
     27614,1,   0, 459,-18.6200, 20.4770,  1.0730,  0.4460
     28010,1,   0,  44,-16.7960, 17.0420,  2.0320,  0.6660
     28133,1,   0, 139,-17.2540, 13.8860,  1.1090,  0.5520
     28647,1,   0, 150,-18.3180, 17.5040,  1.0700,  0.4710
     30184,1,   0, 257,-18.5590, 18.5810,  1.4230,  0.2510
     30474,1,   0,  47,-17.4290, 18.2490,  1.5560,  0.9690
     31400,1,   0, 670,-17.7830, 16.4230,  1.5850,  0.7150
     32111,1,   0,  76,-18.0380, 18.0080,  1.5590,  0.3630
     32934,1,   0, 415,-18.0770, 19.8390,  1.2960,  0.8140
     32987,1,   0, 820,-17.9990, 21.9720,  1.0470,  0.6740
     33032,1,   0, 830,-17.4010, 14.6430,  1.5520,  0.8730
     33859,1,   0, 163,-17.0760, 12.2140,  1.4690,  0.3930
     34012,1,   0, 647,-14.8030, 12.3470,  2.0600,  0.6670
     34320,1,   0, 648,-18.4930, 22.4830,  1.3390,  0.7520
     34331,1,   0, 468,-16.7330, 11.7070,  1.6430,  0.8370
     34611,1,   0,  57,-16.4890, 13.1980,  1.6810,  0.5920
     34775,1,   0,  25,-18.3110, 17.4610,  1.0310,  0.1550
     35069,1,   0, 353,-18.3160, 17.1290,  1.1710,  0.7080
     35638,1,   0, 245,-17.9070, 20.0160,  1.5220,  0.3610
     36153,1,   0, 459,-18.6200, 20.4770,  1.0730,  0.4460
     36678,1,   0, 321,-18.3270, 12.9910,  1.2930,  0.6190
     37014,1,   0, 512,-15.5970,  9.9090,  1.6980,  0.4700
     37129,1,   0, 946,-17.8180, 17.7780,  1.1380,  0.3380
     37661,1,   0, 961,-17.8370, 18.9310,  1.1250,  0.1770
     37934,1,   0, 562,-18.1130, 16.5430,  1.2400,  0.5590
     38436,1,   0, 526,-18.9810, 23.2100,  1.6100,  0.5240
     38452,1,   0, 973,-18.3750, 18.3340,  1.2620,  0.5040
     38579,1,   0, 133,-17.3340, 14.9980,  1.3070,  0.2190
     39100,1,   0, 606,-18.2720, 20.1190,  1.2500,  0.6120
     39173,1,   0, 146,-17.7890, 20.0990,  1.1550,  0.6320
     39876,1,   0, 169,-18.2250, 17.9430,  1.7870,  0.4900
     40065,1,   0, 588,-16.7960, 13.3510,  1.7760,  0.5770
     40256,1,   0,  94,-16.9300, 12.6160,  1.6880,  0.6550
     40453,1,   0, 920,-18.8440, 18.7960,  1.7040,  0.4470
     40510,1,   0, 630,-16.9100, 13.7040,  1.3020,  0.4420
     40562,1,   0, 516,-18.3690, 20.0920,  1.5870,  0.1930
     41084,1,   0,  47,-17.4290, 18.2490,  1.5560,  0.9690
     41102,1,   0, 178,-17.4130, 14.1970,  1.5560,  0.7810
     41254,1,   0, 247,-18.1570, 18.5470,  1.1690,  0.4900
     41384,1,   0,  14,-17.8720, 19.7890,  1.8260,  0.4610
     41719,1,   0, 523,-18.7620, 17.6090,  1.6520,  0.4380
     42208,1,   0, 641,-18.7930, 24.5660,  1.5290,  0.6200
     42214,1,   0,  67,-18.2580, 18.7260,  0.9950,  0.5830
     42672,1,   0, 803,-18.4980, 17.9080,  1.4460,  0.6080
     43147,1,   0, 414,-17.0220, 14.6850,  1.6480,  0.4080
     43151,1,   0, 158,-16.9850, 15.1150,  1.5980,  0.9110
     44865,1,   0,  47,-17.4290, 18.2490,  1.5560,  0.9690
     44903,1,   0, 724,-18.0980, 15.4710,  0.9800,  0.6050
     45180,1,   0, 736,-16.8540, 13.9590,  1.4430,  0.7260
     45184,1,   0, 154,-18.2360, 17.8640,  1.2910,  0.4940
     45607,1,   0, 731,-18.3130, 17.9970,  1.1360,  0.4180
     46165,1,   0, 829,-17.5360, 16.8320,  1.5580,  0.8090
     46586,1,   0, 639,-18.7040, 19.4420,  1.1430,  0.8760
     47060,1,   0, 125,-18.5400, 16.9700,  1.3940,  0.3370
     47227,1,   0, 154,-18.2360, 17.8640,  1.2910,  0.4940
     47698,1,   0, 742,-18.0890, 17.4970,  1.4580,  0.7060
     48508,1,   0, 349,-18.3890, 19.3990,  0.8590,  0.8260
     49937,1,   0, 539,-17.8120, 15.6330,  1.3600,  0.5240
     50671,1,   0, 169,-18.2250, 17.9430,  1.7870,  0.4900
     51009,1,   0, 514,-17.3470, 14.9480,  1.7950,  0.6120
     51389,1,   0, 791,-17.1920, 15.4860,  1.4920,  0.6010
     51977,1,   0,  69,-17.4700, 19.3920,  1.2520,  0.4510
     52129,1,   0, 215,-18.4170, 15.8390,  1.1710,  0.7230
     52480,1,   0, 915,-18.9010, 20.7580,  1.0970,  0.5140
     52564,1,   0, 263,-18.7250, 16.7910,  1.1460,  0.5080
     52986,1,   0,  69,-17.4700, 19.3920,  1.2520,  0.4510
     53207,1,   0,   7,-19.0180, 23.8750,  1.0060,  0.5370
     54160,1,   0, 281,-17.7440, 17.2910,  1.3540,  0.9540
     54327,1,   0, 802,-18.4580, 18.4710,  1.1760,  0.3740
     54770,1,   0, 947,-17.4350, 19.6960,  1.1690,  0.7600
     55253,1,   0, 928,-17.1690, 17.5530,  1.9410,  0.5300
     55468,1,   0, 531,-18.3440, 21.4450,  1.5440,  0.6310
     55595,1,   0, 682,-17.9960, 20.2630,  1.3320,  0.5220
     56037,1,   0, 458,-17.2230, 15.9590,  1.3870,  0.3780
     56349,1,   0, 139,-17.2540, 13.8860,  1.1090,  0.5520
     56875,1,   0, 639,-18.7040, 19.4420,  1.1430,  0.8760
     57461,1,   0, 747,-16.4540, 15.1930,  1.6330,  0.7190
     57614,1,   0, 886,-18.7300, 21.9310,  1.2880,  0.6890
     57684,1,   0, 558,-18.4060, 17.3270,  1.0980,  1.1320
     58179,1,   0, 541,-19.3750, 21.2020,  0.8010,  0.5560
     58393,1,   0, 426,-17.8450, 16.2670,  1.6310,  0.7750
     59448,1,   0, 324,-17.1680, 19.8410,  1.5640,  0.1120
     59946,1,   0, 697,-18.0380, 17.6380,  0.9590,  0.4910
     60562,1,   0, 233,-18.0680, 18.4920,  1.7710,  0.5660
     60976,1,   0,  18,-18.5080, 19.2990,  1.5630,  0.0750
     61374,1,   0, 178,-17.4130, 14.1970,  1.5560,  0.7810
     61692,1,   0, 531,-18.3440, 21.4450,  1.5440,  0.6310
     61858,1,   0, 406,-18.1400, 20.1680,  0.9880,  0.4100
     62246,1,   0, 168,-18.2460, 14.3170,  1.5840,  0.5450
     62430,1,   0, 222,-12.7100,  6.6680,  2.1970,  0.6050
     62433,1,   0, 541,-19.3750, 21.2020,  0.8010,  0.5560
     63622,1,   0, 742,-18.0890, 17.4970,  1.4580,  0.7060
     64014,1,   0, 601,-14.9530, 10.9550,  2.0320,  0.9880
     64248,1,   0, 251,-18.7770, 23.2870,  1.1230,  0.5510
     64413,1,   0, 769,-17.6870, 16.5700,  1.7750,  0.5950
     64502,1,   0, 516,-18.3690, 20.0920,  1.5870,  0.1930
     64695,1,   0, 201,-18.4490, 17.7320,  1.1410,  0.3470
     64881,1,   0, 150,-18.3180, 17.5040,  1.0700,  0.4710
     67548,1,   0, 864,-17.5400, 17.6130,  1.0050,  0.3500
     67821,1,   0,  67,-18.2580, 18.7260,  0.9950,  0.5830
     67905,1,   0, 699,-18.2410, 14.2490,  1.2650,  0.5860
     68454,1,   0, 511,-15.2640, 12.9540,  1.6730,  0.9050
     68886,1,   0, 781,-18.2550, 20.5980,  1.3070,  0.8470
     69303,1,   0, 233,-18.0680, 18.4920,  1.7710,  0.5660
     69400,1,   0, 742,-18.0890, 17.4970,  1.4580,  0.7060
     70822,1,   0, 321,-18.3270, 12.9910,  1.2930,  0.6190
     70919,1,   0, 401,-18.8720, 22.5480,  0.9610,  0.6770
     71353,1,   0, 751,-16.8100, 12.7230,  1.4730,  1.0250
     71494,1,   0, 759,-18.1050, 20.0570,  1.1340,  0.3890
     71533,1,   0, 136,-19.0140, 23.5080,  1.3330,  0.5000
     71617,1,   0, 869,-16.4280, 13.9460,  1.8610,  0.6320
     71790,1,   0, 460,-15.0990, 14.3510,  2.3540,  0.7280
     71979,1,   0, 653,-18.2980, 16.2670,  1.7100,  0.5480
     72013,1,   0, 206,-18.0660, 19.8560,  1.1750,  0.4120
     72014,1,   0, 958,-18.5910, 16.3640,  1.5320,  0.5490
     73031,1,   0, 732,-18.3170, 19.2780,  1.2940,  0.1360
     73571,1,   0, 724,-18.0980, 15.4710,  0.9800,  0.6050
     74158,1,   0, 649,-16.3140, 12.1720,  1.7450,  0.7830
     74537,1,   0, 950,-17.9460, 16.4610,  1.7000,  0.7760
     74888,1,   0, 958,-18.5910, 16.3640,  1.5320,  0.5490
     74925,1,   0, 251,-18.7770, 23.2870,  1.1230,  0.5510
     75369,1,   0, 620,-18.3410, 21.5020,  1.3490,  0.5920
     76326,1,   0, 607,-18.7180, 20.1990,  1.0600,  0.5910
     76393,1,   0, 597,-18.1650, 21.5490,  1.0860,  0.4560
     77422,1,   0, 764,-18.7000, 17.0870,  1.4290,  0.4780
     77855,1,   0, 737,-16.8920, 15.9050,  1.5490,  0.5450
     78291,1,   0, 426,-17.8450, 16.2670,  1.6310,  0.7750
     78844,1,   0, 651,-18.3260, 18.1950,  1.7720,  0.5470
     79194,1,   0, 200,-17.5440, 18.2290,  1.2620,  0.5180
     79222,1,   0, 600,-17.4050, 15.8060,  1.2960,  0.7560
     80084,1,   0, 722,-17.5130, 18.4740,  1.1840,  0.5650
     80504,1,   0, 516,-18.3690, 20.0920,  1.5870,  0.1930
     81753,1,   0, 201,-18.4490, 17.7320,  1.1410,  0.3470
     81773,1,   0, 694,-17.7800, 17.9790,  1.4070,  0.3450
     81874,1,   0, 597,-18.1650, 21.5490,  1.0860,  0.4560
     82080,1,   0, 958,-18.5910, 16.3640,  1.5320,  0.5490
     82536,1,   0, 402,-18.3520, 19.6150,  1.3370,  0.5220
     82550,1,   0, 429,-18.2330, 15.0700,  1.1460,  0.6390
     82836,1,   0, 775,-18.4330, 18.8110,  1.3470,  0.5030
     83467,1,   0,   5,-17.6160, 18.1050,  1.1550,  0.3700
     84098,1,   0, 228,-17.7940, 20.2310,  1.3030,  0.4350
     84679,1,   0, 459,-18.6200, 20.4770,  1.0730,  0.4460
     85429,1,   0, 724,-18.0980, 15.4710,  0.9800,  0.6050
     85453,1,   0, 606,-18.2720, 20.1190,  1.2500,  0.6120
     85468,1,   0, 180,-18.0890, 14.7030,  1.4140,  0.6700
     85708,1,   0, 112,-15.4340, 10.3030,  1.5470,  0.6120
     86192,1,   0, 475,-16.2070, 10.3200,  1.8470,  0.8700
     86253,1,   0, 597,-18.1650, 21.5490,  1.0860,  0.4560
     86344,1,   0, 210,-17.6820, 17.4590,  1.4040,  0.2460
     86613,1,   0, 404,-16.2480, 11.1530,  1.7300,  0.9810
     87085,1,   0, 641,-18.7930, 24.5660,  1.5290,  0.6200
     87101,1,   0, 584,-18.5390, 18.0460,  1.5420,  0.1200
     87199,1,   0, 168,-18.2460, 14.3170,  1.5840,  0.5450
     87534,1,   0, 558,-18.4060, 17.3270,  1.0980,  1.1320
     87796,1,   0, 168,-18.2460, 14.3170,  1.5840,  0.5450
     88503,1,   0, 401,-18.8720, 22.5480,  0.9610,  0.6770
     88506,1,   0, 314,-18.6590, 21.6860,  1.5160,  0.5580
     88703,1,   0, 651,-18.3260, 18.1950,  1.7720,  0.5470
     88759,1,   0, 526,-18.9810, 23.2100,  1.6100,  0.5240
     89643,1,   0,  44,-16.7960, 17.0420,  2.0320,  0.6660
     89972,1,   0, 775,-18.4330, 18.8110,  1.3470,  0.5030
     90400,1,   0, 321,-18.3270, 12.9910,  1.2930,  0.6190
     90892,1,   0, 887,-15.6660, 12.7150,  1.9430,  0.6410
     91117,1,   0, 636,-18.8230, 20.9160,  1.2610,  0.7910
     91470,1,   0, 769,-17.6870, 16.5700,  1.7750,  0.5950
     91691,1,   0, 538,-18.5420, 19.7820,  1.0940,  0.3470
     92422,1,   0, 959,-17.9060, 19.2680,  1.3340,  0.4470
     92477,1,   0, 215,-18.4170, 15.8390,  1.1710,  0.7230
     92522,1,   0, 292,-14.6630, 11.9240,  1.8650,  0.5920
     93141,1,   0, 583,-18.3710, 18.4410,  1.1590,  0.1080
     93216,1,   0, 234,-17.5380, 19.9990,  1.7420,  0.6630
     93546,1,   0, 700,-18.5150, 21.0010,  1.5300,  0.5690
     94799,1,   0, 402,-18.3520, 19.6150,  1.3370,  0.5220
     95741,1,   0, 314,-18.6590, 21.6860,  1.5160,  0.5580
     96025,1,   0, 446,-17.7230, 17.1440,  1.1010,  0.7190
     96515,1,   0, 935,-17.8580, 12.7060,  1.7140,  0.6060
     96877,1,   0, 787,-18.7350, 20.5630,  1.0220,  0.4600
     97288,1,   0, 193,-17.7680, 16.3190,  1.0240,  0.4580
     97863,1,   0, 771,-18.2250, 16.7760,  1.4300,  0.7130
     98197,1,   0, 538,-18.5420, 19.7820,  1.0940,  0.3470
     98246,1,   0, 353,-18.3160, 17.1290,  1.1710,  0.7080
     98378,1,   0, 618,-18.2970, 20.0980,  0.9810,  0.1860
    100561,1,   0, 150,-18.3180, 17.5040,  1.0700,  0.4710
    101647,1,   0, 175,-17.9290, 17.8640,  1.3930,  0.1250
    101916,1,   0, 786,-17.6690, 19.1320,  1.7180,  0.6330
    102041,1,   0,  33,-18.1390, 18.2050,  1.1680,  0.8020
    102057,1,   0, 136,-19.0140, 23.5080,  1.3330,  0.5000
    103117,1,   0, 128,-18.5930, 17.8580,  1.0680,  0.5140
    103242,1,   0,  74,-18.3680, 19.9870,  1.6180,  0.5140
    103426,1,   0, 978,-17.7860, 18.9320,  1.1060,  0.7010
    103773,1,   0, 697,-18.0380, 17.6380,  0.9590,  0.4910
    103948,1,   0, 541,-19.3750, 21.2020,  0.8010,  0.5560
    104447,1,   0, 742,-18.0890, 17.4970,  1.4580,  0.7060
    104688,1,   0, 321,-18.3270, 12.9910,  1.2930,  0.6190
    105887,1,   0, 251,-18.7770, 23.2870,  1.1230,  0.5510
    105927,1,   0, 487,-18.7560,  18,  1.3860,  0.6710
    106340,1,   0, 263,-18.7250, 16.7910,  1.1460,  0.5080
    106589,1,   0, 308,-18.0840, 20.7240,  1.5050,  0.5600
    106730,1,   0, 836,-17.3440, 17.5920,  1.2570,  0.5640
    106776,1,   0, 382,-17.0560, 12.1690,  1.5980,  0.7730
    106937,1,   0, 859,-17.1060, 16.8710,  1.6970,  0.7710
    108358,1,   0, 591,-16.7250, 13.7590,  1.1930,  0.6390
    108672,1,   0, 886,-18.7300, 21.9310,  1.2880,  0.6890
    109013,1,   0, 288,-18.0660, 19.7400,  1.0350,  0.5930
    109385,1,   0, 610,-18.3350, 21.8960,  1.5820,  0.9210
    109709,1,   0, 915,-18.9010, 20.7580,  1.0970,  0.5140
    109983,1,   0, 886,-18.7300, 21.9310,  1.2880,  0.6890
    110106,1,   0, 928,-17.1690, 17.5530,  1.9410,  0.5300
    111121,1,   0, 611,-18.2490, 16.7730,  1.6510,  0.9160
    111176,1,   0, 573,-18.1200, 17.3260,  0.8530,  0.6690
    112043,1,   0, 684,-17.8510, 17.5510,  1.1480,  0.8420
    112245,1,   0, 538,-18.5420, 19.7820,  1.0940,  0.3470
    112920,1,   0, 771,-18.2250, 16.7760,  1.4300,  0.7130
    113000,1,   0, 597,-18.1650, 21.5490,  1.0860,  0.4560
    113300,1,   0, 620,-18.3410, 21.5020,  1.3490,  0.5920
    114122,1,   0, 348,-17.9490, 17.3450,  1.4470,  0.6370
    114717,1,   0, 251,-18.7770, 23.2870,  1.1230,  0.5510
    115742,1,   0, 886,-18.7300, 21.9310,  1.2880,  0.6890
    116017,1,   0, 987,-18.0950, 17.1140,  1.4640,  0.4930
    116287,1,   0, 244,-18.2680, 18.2070,  1.2740,  0.4490
    116362,1,   0,  74,-18.3680, 19.9870,  1.6180,  0.5140
    116754,1,   0, 233,-18.0680, 18.4920,  1.7710,  0.5660
    117036,1,   0, 299,-18.4140, 16.4030,  1.2000,  0.1040
    117180,1,   0, 243,-18.0200, 24.2140,  1.3020,  0.5760
    117341,1,   0,   5,-17.6160, 18.1050,  1.1550,  0.3700
    117707,1,   0, 513,-18.5380, 18.8880,  1.5110,  0.5490
    117845,1,   0, 163,-17.0760, 12.2140,  1.4690,  0.3930
    119270,1,   0, 935,-17.8580, 12.7060,  1.7140,  0.6060
    119335,1,   0, 697,-18.0380, 17.6380,  0.9590,  0.4910
    120818,1,   0, 470,-17.5880, 17.4180,  1.2960,  0.1280
    121378,1,   0, 816,-18.0900, 16.9210,  1.5700,  0.3740
    121518,1,   0, 308,-18.0840, 20.7240,  1.5050,  0.5600
    122027,1,   0, 694,-17.7800, 17.9790,  1.4070,  0.3450
    122539,1,   0, 585,-18.2960, 19.8500,  1.5600,  0.3700
    122577,1,   0, 827,-17.3290, 17.4870,  1.7960,  0.6620
    123035,1,   0,  16,-18.9380, 22.2700,  1.6030,  0.8130
    123437,1,   0, 791,-17.1920, 15.4860,  1.4920,  0.6010
    123480,1,   0, 820,-17.9990, 21.9720,  1.0470,  0.6740
    123897,1,   0, 427,-17.7830, 17.1410,  0.8690,  1.1150
    124679,1,   0, 559,-18.1400, 17.3680,  1.3180,  0.3870
    124751,1,   0, 496,-17.5580, 14.3970,  1.6930,  0.9320
    124911,1,   0, 637,-18.0560, 17.2640,  1.7450,  0.7720
    124993,1,   0, 699,-18.2410, 14.2490,  1.2650,  0.5860
    125027,1,   0, 861,-18.5270, 20.1120,  1.1520,  0.1830
    125363,1,   0, 895,-16.9740, 15.1720,  1.6380,  0.8930
    125701,1,   0, 555,-18.2980, 18.4220,  1.2310,  0.8280
    126224,1,   0, 414,-17.0220, 14.6850,  1.6480,  0.4080
    126742,1,   0, 191,-17.0060, 16.2290,  1.0290,  0.3060
    127973,1,   0, 621,-16.2700, 14.5920,  1.5190,  0.3810
    128370,1,   0, 584,-18.5390, 18.0460,  1.5420,  0.1200
    128746,1,   0, 106,-18.2660, 18.8010,  1.1830,  0.4680
    129053,1,   0, 620,-18.3410, 21.5020,  1.3490,  0.5920
    129179,1,   0, 674,-17.0520, 14.9460,  1.7850,  0.7670
    129328,1,   0, 538,-18.5420, 19.7820,  1.0940,  0.3470
    129503,1,   0,   0,-17.6910,  15,  1.6170,  0.1180
    129893,1,   0,  30,-15.9420, 14.2460,  2.0630,  0.6560
    130105,1,   0, 786,-17.6690, 19.1320,  1.7180,  0.6330
    130143,1,   0,  76,-18.0380, 18.0080,  1.5590,  0.3630
    130359,1,   0, 514,-17.3470, 14.9480,  1.7950,  0.6120
    131543,1,   0, 816,-18.0900, 16.9210,  1.5700,  0.3740
    131548,1,   0, 789,-18.3240, 18.0210,  1.2580,  0.5390
    132148,1,   0, 559,-18.1400, 17.3680,  1.3180,  0.3870
    132735,1,   0, 415,-18.0770, 19.8390,  1.2960,  0.8140
    133177,1,   0, 946,-17.8180, 17.7780,  1.1380,  0.3380
    134600,1,   0, 471,-17.2400, 17.6300,  1.4840,  0.4560
    135813,1,   0, 696,-18.3740, 21.3610,  1.4410,  0.5270
    136166,1,   0, 308,-18.0840, 20.7240,  1.5050,  0.5600
    136584,1,   0, 474,-16.8240, 16.4290,  1.4290,  0.4690
    136931,1,   0,  16,-18.9380, 22.2700,  1.6030,  0.8130
    136967,1,   0, 523,-18.7620, 17.6090,  1.6520,  0.4380
    137804,1,   0, 526,-18.9810, 23.2100,  1.6100,  0.5240
    139157,1,   0, 339,-16.4820, 12.7520,  2.2640,  0.5290
    139380,1,   0, 935,-17.8580, 12.7060,  1.7140,  0.6060
    139417,1,   0, 606,-18.2720, 20.1190,  1.2500,  0.6120
    139493,1,   0, 962,-18.5040, 19.7900,  1.2160,  0.6380
    139646,1,   0, 100,-17.3920, 14.2780,  1.4850,  0.6420
    139994,1,   0, 349,-18.3890, 19.3990,  0.8590,  0.8260
    140137,1,   0, 434,-17.5350, 21.7670,  1.5960,  0.2940
    140481,1,   0, 700,-18.5150, 21.0010,  1.5300,  0.5690
    140513,1,   0, 895,-16.9740, 15.1720,  1.6380,  0.8930
    141555,1,   0, 545,-17.9480, 19.1900,  1.5260,  0.8020
    141780,1,   0, 243,-18.0200, 24.2140,  1.3020,  0.5760
    141931,1,   0, 863,-17.2840, 15.4510,  1.3220,  0.7070
    143138,1,   0, 947,-17.4350, 19.6960,  1.1690,  0.7600
    143601,1,   0, 317,-18.6190, 21.3240,  1.1770,  0.5670
    145051,1,   0, 182,-18.6310, 19.1720,  1.3560,  0.6970
    145148,1,   0, 998,-17.6210, 18.5490,  1.6480,  0.9030
    145201,1,   0, 389,-15.6300,  9.5770,  1.8590,  0.5600
    145917,1,   0, 887,-15.6660, 12.7150,  1.9430,  0.6410
    146283,1,   0, 545,-17.9480, 19.1900,  1.5260,  0.8020
    146656,1,   0,  81,-18.1310, 15.8400,  1.2970,  0.5930
    147697,1,   0,  61,-16.6380, 14.8900,  1.3070,  0.6950
    147995,1,   0, 619,-17.7120, 15.1310,  1.4750,  0.7780
    148446,1,   0, 314,-18.6590, 21.6860,  1.5160,  0.5580
    148522,1,   0, 531,-18.3440, 21.4450,  1.5440,  0.6310
    150122,1,   0,  26,-15.5030, 11.3210,  1.8100,  0.5980
    150286,1,   0, 850,-17.3680, 13.6080,  1.3090,  0.3990
    150714,1,   0, 648,-18.4930, 22.4830,  1.3390,  0.7520
    151135,1,   0, 858,-17.8870, 18.2440,  1.1850,  0.2920
    151677,1,   0, 618,-18.2970, 20.0980,  0.9810,  0.1860
    151704,1,   0, 625,-17.9950, 19.5180,  2.0850,  0.5770
    152677,1,   0, 271,-16.9040, 14.7650,  1.4910,  0.4610
    152680,1,   0, 126,-18.8010, 22.5630,  1.2850,  0.4280
    153343,1,   0, 243,-18.0200, 24.2140,  1.3020,  0.5760
    153965,1,   0, 620,-18.3410, 21.5020,  1.3490,  0.5920
    154034,1,   0, 169,-18.2250, 17.9430,  1.7870,  0.4900
    154524,1,   0, 240,-16.6430, 14.5670,  1.6560,  0.7210
    154849,1,   0, 106,-18.2660, 18.8010,  1.1830,  0.4680
    155179,1,   0, 523,-18.7620, 17.6090,  1.6520,  0.4380
