object_id,submodel,sim_av,SLSN_INDEX,bfield,mns,pspin,kappa,kappagamma,mej,temp,vej
     53377,1,  0.6081, 489,  0.5898,  1.5824,  1.9578,  0.1286,  0.0166,  4.0305, 4304.45, 9821.08
     58139,1,  0.5061,  51,  0.3271,  1.8819,  4.2289,  0.1562,  0.0032,  4.3437, 7363.56, 8552.31
     58539,1,  0.9279, 430,  0.2604,  1.5331,  2.4361,  0.1770,  0.3169,  7.2999, 4887.98, 8135.03
     69018,1,  0.9290,  61,  0.1560,  1.1792,  1.6752,  0.1088,  1.1658,  9.7836, 6259.20, 8094.99
     70449,1,  0.7331, 251,  1.1555,  1.7190,  1.7317,  0.1451,  0.0306,  2.3284, 5169.46, 8910.99
     73610,1,  0.0519, 224,  0.4291,  1.6680,  3.6952,  0.1353,  0.1331,  5.2333, 6220.67, 8140.67
     76304,1,  0.0307,  14,  0.3436,  2.0250,  1.3420,  0.1130,  1.5909,  4.6591, 6146.88,11756.86
     77272,1,  0.1383, 796,  1.3050,  2.0422,  4.2132,  0.1431,  0.5821,  7.0959, 5739.01, 5912.11
     77391,1,  0.0189, 968,  0.5507,  1.7656,  3.0456,  0.1495,  8.3124,  1.0509, 6374.57,13982.05
     80022,1,  0.0601, 980,  2.6189,  1.3453,  2.0010,  0.1407,  0.0903, 10.7054, 4637.72, 8707.71
     80205,1,  0.0313, 992,  0.8966,  1.9314,  2.1016,  0.0628,  0.6067, 21.6602, 5803.88, 7047.65
     83634,1,  0.0035,  85,  0.7545,  1.4664,  1.1189,  0.1816,  0.0014,  7.8873, 5916.66, 8442.49
     84527,1,  0.2753, 133,  0.3033,  2.0331,  2.8725,  0.1360,  0.0333,  5.7801, 4753.81, 9147.47
     88056,1,  0.6814, 877,  0.3165,  1.9400,  2.6158,  0.0835,  0.2231,  5.3662, 4777.69,11582.84
     95127,1,  0.0276, 602,  0.2712,  1.7241,  1.9467,  0.1580,  0.0120,  5.2459, 6087.32, 9052.73
     99464,1,  1.3650, 331,  2.0546,  2.1468,  1.7240,  0.0654,  0.7606, 10.1956, 4599.34, 8992.39
    104476,1,  0.1103, 317,  0.7093,  1.4166,  2.5892,  0.1584,  2.8998, 10.8829, 5805.19, 9468.83
    106269,1,  0.2115, 803,  0.5119,  2.0101,  5.4540,  0.1659,  4.6671,  1.6189, 7927.94, 9584.16
    106331,1,  0.0410, 256,  2.7498,  1.8159,  1.6838,  0.0975,  0.5408, 37.2684, 4810.09, 7548.69
    109516,1,  0.8969, 516,  0.5735,  1.8666,  4.9212,  0.1054, 37.5311,  8.2246, 6960.85, 8331.32
    109959,1,  0.1394, 645,  0.6286,  1.9879,  1.5612,  0.1444,  0.0365,  8.6123, 5936.57,11321.03
    110824,1,  1.6538, 585,  1.6585,  2.2908,  3.3075,  0.1167,  0.0238,  6.6362, 4329.00, 6190.31
    115336,1,  0.0340, 994,  0.1663,  1.5502,  1.1457,  0.0864,  0.1916,  3.0933, 4825.90,13079.31
    117328,1,  0.4709, 215,  1.4700,  1.9056,  3.9306,  0.1237,  0.3855,  1.9281, 7017.11, 8059.80
    123493,1,  0.0120, 584,  1.4023,  1.6899,  1.5732,  0.0857,  0.0130,  6.1906, 6740.18, 8507.90
    123824,1,  0.1188, 900,  1.1957,  1.6576,  2.1519,  0.1757,  4.0212,  6.8667, 5129.96, 8276.09
    125325,1,  0.1427, 325,  2.1242,  1.5425,  2.0406,  0.1207,  0.8783, 11.8598, 7952.40, 7610.66
    127996,1,  1.2702, 930,  2.4746,  2.1446,  2.2975,  0.1228, 10.3549,  2.9330, 4912.07,10567.68
    131629,1,  0.0750, 173,  2.2156,  1.9165,  3.8691,  0.0536,  382.30,  1.4195, 4624.11,12521.28
    132352,1,  0.2168, 536,  1.2269,  1.9942,  2.2251,  0.1383, 49.8928,  5.5311, 6378.54, 6805.10
    132682,1,  0.2327, 701,  0.3459,  2.1392,  1.7019,  0.1550,  0.0017,  7.3684, 6039.83,11348.59
    137128,1,  0.2617, 158,  0.5596,  1.5763,  1.5347,  0.1022,  1.3653,  3.1850, 5873.93,12394.52
    137962,1,  0.3958, 387,  1.6735,  1.8356,  4.8661,  0.1198,  3.0851,  1.0953, 5516.90,11202.91
    138160,1,  1.4033, 739,  0.4869,  1.5231,  2.5816,  0.0875,  0.0177, 12.0676, 8264.56, 6527.15
    139774,1,  0.6350, 665,  0.4231,  1.6032,  1.3702,  0.1509,  0.1658,  2.7423, 4394.40,14215.48
    141946,1,  0.0084, 844,  0.1176,  1.6880,  2.5182,  0.1977,  2.5288, 11.8457, 9286.20, 8352.35
    147179,1,  0.0187, 868,  0.6954,  1.9805,  1.6944,  0.1622,  0.1520,  3.6176, 5455.15,17202.62
    148205,1,  0.5574, 206,  0.7040,  1.7878,  1.7270,  0.1156,  3.3400,  6.5272, 6947.25, 5703.95
    148863,1,  0.1047, 325,  2.1242,  1.5425,  2.0406,  0.1207,  0.8783, 11.8598, 7952.40, 7610.66
    151657,1,  0.6049, 453,  0.0598,  2.2108,  1.0845,  0.1949,  0.0067, 19.0233, 6757.86, 8963.91
    152444,1,  0.0418, 300,  1.2613,  2.1445,  6.4917,  0.1130,  9.0454,  2.1443, 5148.75, 7564.86
    153927,1,  0.0594, 835,  0.5092,  2.0569,  3.4860,  0.1445,  0.0689,  1.6863, 5050.97,12268.45
    157045,1,  0.0173, 523,  1.0322,  1.5668,  3.0467,  0.1690,  0.4442,  4.1737, 5401.96, 6145.45
    157477,1,  0.0476, 621,  1.0115,  1.8786,  1.4805,  0.1519,  3.1663,  2.8609, 5120.46,14842.99
    158006,1,  0.0294, 900,  1.1957,  1.6576,  2.1519,  0.1757,  4.0212,  6.8667, 5129.96, 8276.09
    158995,1,  0.3126, 771,  0.1860,  1.6969,  1.3891,  0.1871,  0.0038,  7.2933, 6079.37,13258.94
    166697,1,  0.1159, 599,  1.2874,  2.0525,  2.4558,  0.1068,  1.6349,  3.8874, 6337.29,11118.97
    166936,1,  0.1964, 375,  1.2592,  2.1367,  3.5795,  0.0674, 1151.59,  4.0731, 4741.76,10108.38
    167799,1,  0.0590, 510,  1.4601,  1.4887,  1.5631,  0.1156,  0.0207, 16.9368, 5285.87, 8094.56
    168034,1,  0.0373, 988,  0.0950,  1.5276,  1.0693,  0.1523,  0.0848,  8.7276, 5951.39,16191.57
    168465,1,  0.1138, 890,  0.6954,  2.2767,  1.9463,  0.1966,  0.0431,  7.4251, 5665.33,12072.42
    170698,1,  0.0304, 717,  1.9293,  1.4640,  1.7183,  0.1190, 34.1927,  3.4150, 6001.31,12228.02
    170753,1,  1.1771, 305,  4.1554,  2.1644,  2.6150,  0.1353,  0.2607,  3.5774, 4395.18,19517.51
    175174,1,  0.5355, 944,  0.3603,  1.8135,  2.0361,  0.0828,  0.9093,  9.4035, 8456.69, 9057.25
    176723,1,  0.2991, 546,  0.2535,  1.6276,  2.6459,  0.1326,  6.6926,  2.6062, 7513.82, 8756.61
    177211,1,  0.0189, 751,  0.5765,  2.2883,  2.6081,  0.0968,  0.1860,  6.5733, 3731.31, 8556.46
    180316,1,  0.0001, 797,  1.1206,  1.6349,  2.8964,  0.1093,  0.0060,  2.0898, 5760.28,11940.45
    181400,1,  0.1224, 111,  0.2601,  1.8408,  1.3344,  0.1937,  0.6361, 57.6670, 9267.20, 5414.66
    182671,1,  0.1418, 615,  1.7128,  1.6400,  3.9372,  0.1079,  0.2648,  7.2056, 7024.76, 6376.96
    185785,1,  0.1288, 382,  0.6360,  1.9625,  3.4278,  0.1230,  0.2365,  4.2275, 5643.71, 5385.91
    188742,1,  0.0818, 281,  0.5514,  1.6974,  4.7599,  0.1463,  1.0263,  4.1617, 7171.24, 6884.44
    198005,1,  0.7277, 859,  1.1155,  1.6174,  2.4898,  0.1210,  0.0580,  6.2900, 5850.85, 6953.35
    205850,1,  0.0739, 400,  0.6480,  1.7055,  1.4727,  0.1644,  0.1679,  6.5690, 6192.23,12942.37
    206976,1,  0.0384, 436,  2.0858,  1.7301,  2.9572,  0.1742,  0.1209,  4.6882, 6763.29,13022.70
    208063,1,  0.8251, 453,  0.0598,  2.2108,  1.0845,  0.1949,  0.0067, 19.0233, 6757.86, 8963.91
    210335,1,  0.0224, 720,  0.7252,  1.6977,  2.0110,  0.0724, 19.3099,  5.4776, 5086.31, 7923.25
    214524,1,  0.1161, 534,  0.4317,  1.8958,  3.7160,  0.1454,  2.8425,  7.8125, 3985.38, 5772.56
    221378,1,  0.0762, 601,  8.2909,  1.6774,  2.3431,  0.0837,  1.2165,  4.7969, 4751.88,10376.20
    221529,1,  0.0997, 831,  0.5431,  1.7216,  2.5012,  0.0834,  0.1927,  7.6039, 5500.32, 5509.74
    222755,1,  0.3542,  24,  8.7906,  1.8160,  2.9156,  0.0910,  1.8273,  8.5652, 5499.34, 5655.62
    222785,1,  0.2401,  71,  0.3110,  1.7131,  1.8501,  0.1129,  0.0054, 15.1429, 7365.13, 5410.87
    224976,1,  0.3839,  95,  1.9094,  1.5735,  1.9581,  0.0817, 1143.94,  9.8548, 5421.90, 5755.26
    226402,1,  0.0525,  77,  0.9075,  1.9581,  3.7645,  0.1776,  2.8775,  3.5965, 5764.95, 8466.33
    226760,1,  0.2280, 192,  8.7029,  2.6706,  1.5181,  0.0948, 16.5371, 15.3008, 6126.48, 5693.33
    227004,1,  0.0867, 510,  1.4601,  1.4887,  1.5631,  0.1156,  0.0207, 16.9368, 5285.87, 8094.56
    227067,1,  0.2097, 187,  0.1264,  1.6328,  1.0167,  0.1376,  0.4374, 10.0099, 7621.92,10333.80
    232124,1,  0.0378, 668,  1.4103,  1.9251,  1.8549,  0.1284,  1.4093,  2.5422, 7055.57, 6509.55
    235828,1,  0.4280, 679,  0.4666,  1.4486,  2.4519,  0.1412,  0.0333,  2.9993, 4404.95,15627.46
    236106,1,  0.1347, 118,  0.7451,  1.5582,  1.7809,  0.1583,  9.5501,  3.0416, 5325.16, 7936.57
    236386,1,  0.6077, 391,  0.5332,  1.6588,  1.8271,  0.1323,  6.4788,  5.9103, 4765.08,10752.15
    236687,1,  0.1574,  41,  1.3963,  1.7464,  4.4238,  0.1499,  1.1583,  6.8529, 5440.37, 7232.12
    240822,1,  0.0655, 802,  2.7800,  1.8600,  3.1975,  0.1791,  0.4620,  2.5767, 6524.75, 9467.15
    243297,1,  0.0222,   7,  1.5786,  2.2403,  4.3507,  0.1793,  2.6948,  2.2983, 6099.25,21828.14
    245149,1,  0.0276,  71,  0.3110,  1.7131,  1.8501,  0.1129,  0.0054, 15.1429, 7365.13, 5410.87
    247116,1,  0.0466, 544,  0.0738,  1.9841,  1.3509,  0.1381,  0.0005, 26.2734, 9666.37, 8774.64
    250763,1,  0.1033, 575,  6.0606,  1.9969,  3.5079,  0.1127,  0.6077,  6.1584, 7283.28,10980.96
    251125,1,  0.0019, 192,  8.7029,  2.6706,  1.5181,  0.0948, 16.5371, 15.3008, 6126.48, 5693.33
    254386,1,  0.0376, 807,  0.5545,  1.8793,  3.8886,  0.1434,  0.1781,  1.0868, 6318.62, 7432.29
    256724,1,  0.2764, 163,  0.1762,  1.8545,  1.1058,  0.1097,  0.0174, 10.1445, 4781.01, 8970.31
    258789,1,  0.1111, 128,  5.0423,  1.8460,  5.8595,  0.1942,  9.2831,  2.0955, 4462.76, 9851.09
    260350,1,  0.5922, 637,  0.6026,  1.8904,  2.4420,  0.1424,  0.0010,  1.8258, 5948.48,12312.42
    263902,1,  0.0303, 675,  0.2676,  1.8420,  2.3771,  0.1349,  0.1012,  1.4876, 7001.20,13694.00
    269400,1,  0.0894, 275,  1.6683,  1.8486,  1.2464,  0.1021,  0.4548,  5.0845, 5179.48,12030.35
    270009,1,  0.0230, 907,  2.2150,  2.1188,  2.8423,  0.1051,  1.7453,  4.1071, 4903.56,13956.55
    275112,1,  0.0170, 909,  0.8202,  1.8235,  4.8155,  0.0829,  1.6457,  1.1821, 8673.76, 7969.32
    275926,1,  0.0823, 472,  1.2166,  2.1489,  3.9580,  0.1840,  519.70,  7.1257, 7203.74, 9100.91
    276084,1,  0.8776, 994,  0.1663,  1.5502,  1.1457,  0.0864,  0.1916,  3.0933, 4825.90,13079.31
    276902,1,  0.1534, 403,  0.1912,  1.7376,  2.2266,  0.1382, 24.1812,  6.6269, 3781.77,10576.67
    279813,1,  0.2834, 813,  2.4841,  1.6348,  1.0496,  0.1471,  0.4666, 16.2423, 5020.10,10706.16
    283003,1,  0.0704, 782,  5.1541,  2.0774,  5.9710,  0.1081,  3.1789,  6.8548, 8036.24, 6286.21
    286472,1,  0.1328, 715,  0.2363,  2.1545,  2.3357,  0.1588,  0.0043, 13.8441, 4826.39, 7957.54
    286936,1,  0.1431,  46,  0.5289,  1.8421,  2.0866,  0.0899, 46.2975,  5.0261, 6179.97,14720.53
    291975,1,  0.3744, 835,  0.5092,  2.0569,  3.4860,  0.1445,  0.0689,  1.6863, 5050.97,12268.45
    299348,1,  0.1194, 692,  2.0668,  1.5684,  2.2411,  0.0961,  0.1608,  6.7276, 4342.06, 5723.37
    309754,1,  0.0243, 772,  1.1686,  1.6226,  2.8228,  0.1231,  3.9704, 19.3989, 5138.68, 6435.52
    316235,1,  0.4828, 156,  6.1017,  1.7933,  1.7246,  0.1012,  0.0885, 15.7277, 6636.36,10566.85
    318874,1,  0.0746, 801,  0.1706,  1.8149,  2.1424,  0.1657,  0.6221,  1.8474,12252.22,14989.11
    324114,1,  0.0766, 811,  0.6852,  2.0854,  2.7630,  0.1784,  0.1872,  6.6246, 7520.20, 8721.42
    324465,1,  0.0602, 251,  1.1555,  1.7190,  1.7317,  0.1451,  0.0306,  2.3284, 5169.46, 8910.99
    328381,1,  0.8435, 445,  1.2096,  1.8836,  2.6833,  0.1870,  0.1411,  1.8762, 5168.07, 8633.91
    329562,1,  0.0710, 101,  0.0681,  2.0936,  1.4198,  0.1443,  0.0299, 13.3256, 6167.25, 8881.70
    331674,1,  0.3710,  30,  0.2065,  1.5195,  2.7060,  0.0851,  0.0826,  2.4702, 6528.73,14493.89
    331957,1,  0.1107, 743,  1.0584,  1.6465,  2.2131,  0.1009,  8.4085,  2.3169, 6923.85,14159.61
    332603,1,  0.3416,  46,  0.5289,  1.8421,  2.0866,  0.0899, 46.2975,  5.0261, 6179.97,14720.53
    332651,1,  0.6388, 874,  2.0079,  1.5474,  2.7292,  0.0900,  0.6016,  1.9008, 6001.42,10909.69
    333305,1,  0.8454, 732,  1.4268,  1.7070,  3.0883,  0.1427,  0.2944,  2.5169, 5231.67, 8350.36
    334020,1,  0.0673, 828,  1.3324,  1.9394,  2.2407,  0.0934,  8.0039,  4.8760, 7944.89, 9575.71
    335507,1,  0.4478, 490,  0.7771,  1.7574,  1.7410,  0.1793, 31.3313,  5.3771, 5139.24,14680.17
    335653,1,  0.2104, 520,  1.4016,  1.7380,  2.2973,  0.1153,  0.4394,  2.2508, 2925.38,10621.99
    335754,1,  0.6566, 326,  2.2715,  2.2004,  3.3922,  0.1450,  0.1308,  4.5242, 5910.16,10598.27
    338456,1,  0.0189, 904,  1.5843,  1.8424,  2.7369,  0.0942,  0.8248,  1.6467, 4876.18, 8612.55
    339181,1,  0.0424, 428,  0.7084,  1.5596,  4.0392,  0.0547,  0.4148,  8.2821, 5015.07, 5470.86
   1002944,1,  0.2577, 358,  0.9788,  1.9385,  2.0225,  0.1564,  0.1100, 10.6995, 5342.88, 8369.45
   1003066,1,  0.0545, 690,  0.6461,  1.7558,  1.6143,  0.1291,  0.0188,  3.7647, 4039.73,13849.05
   1006200,1,  0.3480, 897,  0.1955,  2.1620,  1.0905,  0.1913,  0.0689, 12.1660, 6210.53, 9218.43
   1006540,1,  0.1279, 154,  2.2955,  2.0591,  2.5596,  0.0567,  0.7021,  4.1495, 8966.61, 8193.75
   1029416,1,  0.9917, 663,  3.1465,  1.9983,  1.5731,  0.0669, 15.6358,  2.7934, 6334.32,12354.27
   1030190,1,  0.1703, 438,  1.3552,  1.8223,  2.0269,  0.1527,  2.7810,  9.9422, 5604.59, 5710.06
   1031368,1,  0.0499, 136,  0.8908,  2.2747,  3.4486,  0.1429,  0.6244,  3.5010, 6585.71,10184.92
   1033170,1,  0.8088, 543,  0.4988,  1.9802,  1.6852,  0.0679,  1.1935, 11.3108, 5317.38, 6940.60
   1041331,1,  0.0333, 790,  0.1778,  1.8930,  1.5363,  0.1069,  2.1192,  2.2017, 6112.28,10496.49
   1042245,1,  0.5394, 608,  0.5265,  1.7451,  1.3394,  0.0655,  4.2341, 11.5135, 5610.03, 5291.73
   1048835,1,  0.3694, 733,  1.3281,  1.6957,  5.3182,  0.1086,  0.1500,  4.4424, 7102.07, 8198.72
   1063542,1,  0.0514, 696,  1.6081,  2.0157,  1.4311,  0.1241, 36.8180,  3.4556, 7156.70, 8658.49
   1063877,1,  0.1561, 261,  6.8600,  2.2435,  7.6084,  0.0578,  0.0379,  1.3171, 7287.78, 7250.12
   1064064,1,  0.0769, 580,  1.7893,  2.0061,  4.2729,  0.0834,  0.9645,  2.4032, 7474.05, 7835.66
   1075362,1,  0.0516, 934,  0.5941,  1.9544,  1.9219,  0.0777,  0.7647,  2.1345, 5349.51,13095.98
   1081098,1,  0.1462, 642,  2.4524,  2.2054,  2.3372,  0.0711,  0.1416,  1.7411, 4391.59,12795.54
   1086339,1,  0.1757, 158,  0.5596,  1.5763,  1.5347,  0.1022,  1.3653,  3.1850, 5873.93,12394.52
   1088985,1,  0.0370,  54,  0.8669,  1.6721,  2.0956,  0.1587,  0.1982,  3.0698, 4585.28,10490.91
   1093416,1,  0.4388,   9,  3.9004,  2.2346,  2.7157,  0.0942,  0.6605,  1.9076, 4992.26, 9634.16
   1094423,1,  0.1487, 679,  0.4666,  1.4486,  2.4519,  0.1412,  0.0333,  2.9993, 4404.95,15627.46
   1097989,1,  0.0278, 942,  2.5803,  1.9726,  5.9445,  0.1115,  4.2843,  2.6233, 4987.79, 7035.60
   1100027,1,  0.5373, 313,  0.4617,  1.5512,  1.6241,  0.0860,  0.4783,  7.7706, 7397.02, 5913.10
   1101387,1,  0.3507, 586,  0.1794,  1.8925,  1.0251,  0.1847,  0.2002,  6.1064, 5717.97, 9272.86
   1102082,1,  0.4474, 702,  2.5225,  2.0655,  1.6743,  0.0782,  2.5558,  2.9538, 5371.60,16350.24
   1103828,1,  0.2880, 113,  0.9098,  1.6131,  1.1098,  0.0874,  0.0339, 29.5895, 8133.47, 7349.22
   1114928,1,  0.1978, 598,  0.4241,  1.8607,  1.6965,  0.0957,  4.5723,  2.7033, 5055.92,11626.51
   1115967,1,  0.0128,  16,  2.8490,  2.4258,  1.9950,  0.1240,  0.0048,  9.8190, 5134.84, 8747.61
   1123259,1,  0.1269, 255,  2.6141,  2.4931,  1.6362,  0.1147,  0.0477, 21.4815, 9100.83, 7624.41
   1127171,1,  0.0006, 499,  1.1740,  1.4702,  3.6909,  0.1205,  0.2497,  1.0405, 5253.36, 7530.12
   1128498,1,  0.0418,  75,  0.2104,  1.7519,  2.2081,  0.0936, 21.1511, 12.3206, 4446.78, 7327.64
   1130935,1,  0.1617,  77,  0.9075,  1.9581,  3.7645,  0.1776,  2.8775,  3.5965, 5764.95, 8466.33
   1132132,1,  0.0509, 317,  0.7093,  1.4166,  2.5892,  0.1584,  2.8998, 10.8829, 5805.19, 9468.83
   1133872,1,  0.0213, 803,  0.5119,  2.0101,  5.4540,  0.1659,  4.6671,  1.6189, 7927.94, 9584.16
   1135229,1,  0.0336, 797,  1.1206,  1.6349,  2.8964,  0.1093,  0.0060,  2.0898, 5760.28,11940.45
   1136224,1,  0.0416, 836,  0.3350,  2.1505,  2.2252,  0.0772,  0.0078,  9.8061, 5239.51,11531.43
   1154678,1,  0.3028, 242,  0.7022,  1.6753,  2.2405,  0.1890,  1.6298,  5.1567, 9899.73, 8209.12
   1155955,1,  0.0810, 151,  2.5022,  1.7909,  2.1859,  0.0902,  0.0114, 19.3037, 5490.27, 6496.52
   1156346,1,  0.1206, 154,  2.2955,  2.0591,  2.5596,  0.0567,  0.7021,  4.1495, 8966.61, 8193.75
   1156431,1,  0.0651, 277,  0.3514,  1.9670,  2.3089,  0.0876,  0.4777,  3.3607, 6179.57,12963.27
   1156701,1,  0.3335, 498,  1.5050,  1.6014,  2.7426,  0.1208,  5.8938, 17.9434, 9633.92, 6366.45
   1159781,1,  0.1244, 647,  0.5628,  1.8207,  1.1234,  0.1945,  3.7214, 12.2279, 6660.27, 9737.10
   1160040,1,  0.3664, 729,  0.1897,  1.9304,  1.3485,  0.1779,  0.0810,  9.0934, 4450.49,12288.14
   1160703,1,  0.5994, 491,  0.2228,  1.6489,  1.0787,  0.1123,  0.0802,  6.0179, 7538.88,11008.20
   1164654,1,  0.1064, 259,  1.4235,  1.5879,  1.3813,  0.0679,  1.7497,  2.3032, 6307.93,12738.07
   1171224,1,  0.0389, 382,  0.6360,  1.9625,  3.4278,  0.1230,  0.2365,  4.2275, 5643.71, 5385.91
   1172127,1,  0.0856, 760,  0.6399,  1.8339,  1.3269,  0.1811,  0.7466,  7.4922, 7510.73, 8844.44
   1187923,1,  0.3874, 107,  0.4804,  1.7807,  2.5658,  0.1707,  0.1449,  4.8244, 6766.47, 8512.61
   1189088,1,  0.5018, 661,  0.3468,  1.6339,  1.8932,  0.1091,  0.2087, 10.6749, 5441.83, 7976.30
   1209568,1,  0.0627, 858,  0.0617,  1.6077,  1.0192,  0.1893,  0.0428,  5.5598, 5737.59,14898.68
   1211541,1,  0.2932,  49,  1.0770,  2.2704,  2.8029,  0.1468,  0.3106,  1.9013, 6537.43,14146.87
   1218004,1,  0.5460, 111,  0.2601,  1.8408,  1.3344,  0.1937,  0.6361, 57.6670, 9267.20, 5414.66
   1218783,1,  0.4160, 150,  0.7507,  1.7950,  1.0632,  0.0902,  0.0399, 27.5134, 6991.24, 9258.72
   1218988,1,  0.0162, 614,  0.1487,  1.5914,  1.3276,  0.1204,  0.3723,  7.7570, 5125.39,11203.88
   1220119,1,  0.0887, 105,  0.4690,  1.7569,  1.6387,  0.1177,  0.0130, 17.4461, 4062.26,18628.65
   1221823,1,  0.4056, 165,  1.5653,  1.9926,  2.5333,  0.0985,  0.0342, 13.7512, 5977.26, 5368.02
   1223122,1,  0.1030, 388,  0.2870,  2.1618,  2.3790,  0.0827,  0.5042,  8.3696, 5896.01, 6188.48
   1223406,1,  0.3129, 591,  0.1129,  1.4612,  1.0374,  0.1678,  0.4125,  9.9700, 4276.73, 9909.37
   1226228,1,  0.0393, 758,  0.3027,  1.9340,  1.6745,  0.1546,  1.8409,  2.6320, 3945.79,10685.33
   1231302,1,  0.0466, 933,  0.3145,  1.8900,  1.7446,  0.1457,  1.1174, 23.6107, 8316.71, 7673.14
   1232491,1,  0.0096, 800,  5.1101,  1.9639,  4.9044,  0.1930,  1.8365,  1.5572, 6132.80, 8122.26
   1238934,1,  0.0787, 633,  0.3515,  1.9458,  1.2837,  0.1092,  0.0060, 13.0649, 6539.21, 8887.38
   1242455,1,  0.2172, 852,  1.2343,  1.9376,  2.4979,  0.1989,  2.3887,  2.0905, 4103.64,12032.69
   1244120,1,  0.0569, 790,  0.1778,  1.8930,  1.5363,  0.1069,  2.1192,  2.2017, 6112.28,10496.49
   1253013,1,  0.3113,  14,  0.3436,  2.0250,  1.3420,  0.1130,  1.5909,  4.6591, 6146.88,11756.86
   1253084,1,  0.4297, 169,  0.3016,  1.7143,  1.2287,  0.1933,  0.0108,  3.3015, 5027.99,14516.51
   1254871,1,  0.0510, 242,  0.7022,  1.6753,  2.2405,  0.1890,  1.6298,  5.1567, 9899.73, 8209.12
   1257994,1,  0.0257, 580,  1.7893,  2.0061,  4.2729,  0.0834,  0.9645,  2.4032, 7474.05, 7835.66
   1258072,1,  0.3161, 673,  0.3604,  1.6906,  1.5286,  0.1198,  0.8056,  3.1925, 4790.92, 9847.74
   1265230,1,  0.0137, 383,  0.3304,  1.4768,  1.6324,  0.1004,  0.0567,  4.2319, 7051.95, 7893.14
   1266520,1,  0.1069,   0,  0.4938,  1.6812,  1.0950,  0.1397,  0.0046, 11.9495, 4993.87,10238.32
   1271330,1,  0.2734, 942,  2.5803,  1.9726,  5.9445,  0.1115,  4.2843,  2.6233, 4987.79, 7035.60
   1273986,1,  0.0857, 740,  1.2526,  1.8554,  2.7904,  0.0821,  0.8173,  3.9298, 5737.36, 8208.90
   1282515,1,  0.1216, 987,  1.4298,  1.7108,  1.1151,  0.1767,  0.0277,  3.4077, 3636.97,13298.80
   1284291,1,  0.2060, 536,  1.2269,  1.9942,  2.2251,  0.1383, 49.8928,  5.5311, 6378.54, 6805.10
   1288287,1,  0.2125, 210,  0.2433,  2.0537,  3.1702,  0.1694,  0.0105,  3.3968, 6426.64,11359.43
   1291785,1,  0.0768, 727,  0.2853,  2.0044,  1.7941,  0.1969,  0.0154,  4.2682, 4426.55, 8486.78
   1293485,1,  0.4265, 789,  0.6946,  1.8326,  2.2919,  0.1414,  0.0056,  2.6602, 5770.33, 8453.03
   1297411,1,  0.4610, 783,  0.5518,  2.0275,  2.3608,  0.1221,  0.3946,  6.5726, 7889.60, 6824.70
   1316200,1,  0.2114, 983,  0.7552,  1.5385,  2.5907,  0.0546,  0.0377,  4.1930, 3940.93, 8251.64
   1321841,1,  0.0854, 633,  0.3515,  1.9458,  1.2837,  0.1092,  0.0060, 13.0649, 6539.21, 8887.38
   1328223,1,  0.0270, 308,  0.3756,  2.2087,  1.5790,  0.1681,  0.0092, 16.8511, 6318.07, 9967.42
