object_id,submodel,sim_av,PISN_INDEX,Mejecta,Kinetic_energy
  25822047,1,  0.0200,  40, 50.5993, 35.0743
  25823711,1,  0.1168, 484, 98.1142, 13.5865
  25949646,1,  0.3466,  53,  161.39, 86.7484
  26020156,1,  0.1677, 517,  176.77, 57.5108
  26400780,1,  0.1999, 956,  220.89, 67.8634
  26754014,1,  0.2601, 919,  195.74, 41.2678
  26818031,1,  0.1165,  44,  131.93, 21.9295
  26906157,1,  0.4598, 251,  241.84, 74.1069
  26933127,1,  0.1471, 992, 58.1825, 63.5139
  26963966,1,  0.2045, 195, 77.1423, 11.1234
  27422146,1,  0.4289, 117,  124.71, 77.3233
  27488471,1,  0.0383, 950, 85.0172, 32.0986
  27633746,1,  0.0494, 917, 86.4901, 98.8607
  27691013,1,  0.0397, 711,  218.41, 14.7699
  27698715,1,  0.0651,  39,  143.74, 53.5920
  27782704,1,  0.4219, 980,  125.22, 88.7833
  27783165,1,  0.4079, 254,  141.39, 55.6604
  27816434,1,  0.2358, 461,  135.51, 65.9938
  27855762,1,  0.1435, 638,  175.72, 73.4640
  27875095,1,  0.2410, 518, 62.7364, 61.1954
  27908917,1,  0.0183, 887,  213.15, 41.6686
  27915100,1,  0.2862, 632,  196.14, 33.0319
  28015730,1,  0.1818, 795,  185.84, 25.2836
  28089760,1,  0.0074, 146, 92.7417, 35.0429
  28111356,1,  0.0025, 534,  137.14, 56.6080
  28206725,1,  0.1455, 442,  119.75, 39.4850
  28454198,1,  0.2107, 515,  183.14, 40.2554
  28544334,1,  0.0249, 430,  107.71, 34.3369
  28736192,1,  0.1514, 429, 80.0938, 94.9316
  28781378,1,  0.6662, 328,  158.73, 82.8869
  29203448,1,  0.0716, 299,  190.98, 26.7598
  29329166,1,  0.0901, 195, 77.1423, 11.1234
  29369952,1,  0.2143, 566, 88.8297, 43.3300
  29379471,1,  0.2367, 351,  221.76, 11.7178
  29467522,1,  0.0686,  94,  212.70, 72.0116
  29618618,1,  0.0691, 565,  235.80, 39.3235
  29671688,1,  1.1115,  18,  138.16, 65.6040
  29808797,1,  0.1416, 935,  130.11, 21.7537
  30008419,1,  0.0511, 507,  235.02, 41.6333
  30092353,1,  0.3197, 681,  156.04, 89.0680
  30124575,1,  0.1743,  12,  200.31, 62.0205
  30288767,1,  0.1147, 606,  138.45, 46.7647
  30323207,1,  0.4396, 353,  142.73, 39.6571
  31037198,1,  0.0121, 380,  156.81, 78.7657
  31047304,1,  0.5842, 283,  158.29, 81.2161
  31330709,1,  0.0490, 796,  110.42, 71.9695
  31371787,1,  0.3748, 612, 69.9065, 70.6337
  31527592,1,  0.5111, 718,  198.57, 76.5023
  31544520,1,  0.1008, 761,  182.33, 50.4129
  31610607,1,  0.0626, 273,  109.64, 42.7135
  31632993,1,  0.0452, 108,  165.88, 71.4099
  31839433,1,  0.1891, 697,  217.54, 63.5373
  31857924,1,  0.0702, 565,  235.80, 39.3235
  31903815,1,  0.4415, 665,  151.25, 23.5510
  31910320,1,  0.4047, 106, 77.9704, 80.7633
  32018562,1,  0.0741, 995,  150.77, 13.7227
  32075343,1,  0.1209, 739,  151.88, 98.9582
  32172228,1,  0.2849, 467,  188.60, 58.8636
  32343964,1,  0.1062, 478,  248.12, 29.9617
  32483005,1,  0.0842, 130,  154.39, 98.9409
  32612908,1,  0.0120, 975,  234.57, 77.9922
  32781944,1,  0.2262, 788,  107.25, 63.7443
  33072593,1,  0.1186, 797,  232.47, 12.8118
  33394601,1,  0.0006, 942,  150.88, 68.1890
  33533751,1,  0.2218, 770,  150.56, 43.7629
  33602493,1,  0.0105, 728, 69.5778, 67.4753
  33831027,1,  0.1727, 680,  120.60, 56.5436
  34004082,1,  0.0621, 610,  191.01, 24.3541
  34421002,1,  0.0726,  37, 52.1991, 62.4149
  34477003,1,  0.1055, 830,  245.91, 79.9768
  34488956,1,  0.5516, 977,  115.62, 17.6383
  34575148,1,  0.0406, 544, 99.1947, 63.3893
  34724674,1,  0.2153, 425,  180.03, 28.9457
  34784514,1,  0.0327, 681,  156.04, 89.0680
  34816522,1,  0.2582,  39,  143.74, 53.5920
  34829344,1,  0.0518, 954, 75.9436, 96.1557
  34885324,1,  0.1402, 633,  235.92, 88.4056
  34970303,1,  0.0408, 375, 85.4846, 28.4811
  34979942,1,  0.1067, 906,  135.21, 47.0663
  35003016,1,  0.1288, 944,  205.71, 12.4351
  35231128,1,  0.0783, 284,  194.57, 23.5689
  35447577,1,  0.0638, 968,  182.69, 22.6407
  35501589,1,  0.1016, 562,  228.02, 23.3365
  35722206,1,  0.0715,  97, 83.3328, 41.3529
  35728308,1,  0.0782, 756,  235.34, 34.9808
  35738870,1,  0.0190, 328,  158.73, 82.8869
  35775902,1,  0.2149,  39,  143.74, 53.5920
  35786309,1,  0.1373, 638,  175.72, 73.4640
  35905167,1,  0.0233, 480, 82.0843, 46.8729
  36030698,1,  0.1898, 487,  220.19, 23.9500
  36246110,1,  0.2619, 449,  193.08, 68.8317
  36417142,1,  0.1082, 442,  119.75, 39.4850
  36475162,1,  0.0313,  77,  138.94, 60.2855
  36494740,1,  0.0059, 434,  192.77, 68.8797
  36730346,1,  0.0205, 797,  232.47, 12.8118
  36819893,1,  0.1276, 269,  234.41, 36.8901
  36865547,1,  0.0355, 765, 92.2667, 69.4702
  36901263,1,  0.0158, 592,  185.61, 87.0953
  36901459,1,  0.0620, 944,  205.71, 12.4351
  37054122,1,  0.0757, 284,  194.57, 23.5689
  37091756,1,  0.6253, 349,  161.00, 32.5144
  37117627,1,  0.2356, 824,  245.79, 21.2502
  37118508,1,  0.0460, 678,  123.07, 73.1806
  37181675,1,  0.0064, 184,  208.70, 41.0890
  37185441,1,  0.5229, 389,  166.50, 23.6931
  37380467,1,  0.0700, 772,  105.25, 73.5634
  37446925,1,  0.2769, 898, 79.4990, 75.1433
  37477749,1,  0.1008, 634,  128.85, 65.1899
  37492861,1,  0.0233, 674, 91.4147, 61.6265
  37648205,1,  0.0593, 159,  221.11, 97.6537
  37689683,1,  0.3746, 235, 59.5138, 88.3753
  37690677,1,  0.3733, 430,  107.71, 34.3369
  37722200,1,  0.2383, 977,  115.62, 17.6383
  37764828,1,  0.1405, 331,  137.33, 64.1713
  38007147,1,  0.0613, 148,  152.19, 80.0541
  38037101,1,  0.0855, 270,  242.30, 98.8866
  38047776,1,  0.0152, 463,  210.52, 65.3565
  38078635,1,  0.0303, 111,  219.29, 24.5962
  38510128,1,  0.0738, 143, 53.4093, 16.6303
  38583396,1,  0.4791, 892,  122.09, 19.7029
  38602825,1,  0.1129, 921,  202.44, 37.8222
  38630133,1,  0.0304, 101,  150.00, 10.0513
  38672805,1,  0.1120, 413, 72.0199, 96.2815
  38674820,1,  0.1601, 563,  155.36, 90.5920
  38785972,1,  0.0520, 381,  242.90, 38.2677
  38813575,1,  0.3206, 686,  203.96, 74.4697
  38856609,1,  0.0316, 494,  239.24, 56.6979
  38917623,1,  0.0625, 897,  192.15, 52.0902
  38984294,1,  0.0483, 745,  112.14, 26.8649
  39112419,1,  0.4061, 971, 50.8540, 23.1111
  39258011,1,  0.0567, 823,  200.77, 51.6698
  39560327,1,  0.6745,  60, 93.2760, 72.0524
  39666361,1,  0.1685, 886,  244.51, 17.5950
  39675860,1,  0.1177, 712,  147.23, 78.9734
  40069574,1,  0.1981, 172, 63.1918, 63.4239
  40097116,1,  0.7336, 772,  105.25, 73.5634
  40190417,1,  0.0205, 746,  139.13, 66.7409
  40282712,1,  0.0116, 415,  159.94, 74.1855
  40302928,1,  1.0569, 462,  173.37, 54.7276
  40436676,1,  0.0355, 978, 97.4847, 15.3548
  40549991,1,  0.0435, 595,  199.38, 36.6419
  40721818,1,  0.8221,  85,  150.89, 37.8970
  40778682,1,  0.0416, 365,  226.76, 99.8758
  41081241,1,  0.0336, 548, 65.0161, 23.0432
  41087760,1,  0.0430, 847,  187.04, 30.8006
  41244178,1,  0.0193, 657,  219.75, 77.2924
  41413240,1,  0.4413, 516, 50.6682, 28.0107
  41799061,1,  0.8240, 771,  122.82, 45.2861
  41825058,1,  0.4380, 628,  222.20, 30.2209
  41874371,1,  0.0455, 598,  221.21, 66.7967
  41933956,1,  0.1512, 822,  209.50, 60.5324
  41971506,1,  0.0303, 872,  229.00, 81.2446
  41984177,1,  0.1309, 499, 92.5790, 17.9437
  42038634,1,  1.2612, 550, 60.3103, 77.8752
  42333847,1,  0.0896, 361,  187.21, 51.6278
  42355685,1,  0.0097, 848,  105.53, 27.3758
  42560599,1,  0.4456,  69, 95.2789, 84.1941
  42831156,1,  0.4524, 599,  173.13, 88.6227
  42937818,1,  0.1393, 405,  244.07, 85.3692
  42946504,1,  0.0472, 115,  170.56, 23.8478
  42993463,1,  0.9163,  41,  232.37, 91.3917
  43262418,1,  0.0108,  74,  160.94, 62.5177
  43317967,1,  0.0914, 894, 60.9645, 77.7539
  43392638,1,  0.0323, 495,  158.73, 35.2892
  43546716,1,  0.0433, 257,  204.56, 31.5915
  43616247,1,  0.0642, 882, 84.7657, 18.3236
  43623828,1,  0.0082, 879,  192.08, 15.0615
  43641687,1,  0.0231, 826,  125.47, 14.9600
  43691973,1,  0.0121, 830,  245.91, 79.9768
  43825591,1,  0.0994, 844,  137.24, 79.7339
  43830174,1,  0.0785, 853,  181.35, 14.3490
  43981656,1,  0.1435,  14, 56.5046, 11.8783
  43992507,1,  0.6006, 632,  196.14, 33.0319
  44259886,1,  0.2125, 723,  166.89, 10.0011
  44286795,1,  0.0019, 496,  187.96, 90.9057
  44298615,1,  0.1308, 795,  185.84, 25.2836
  44328440,1,  0.0897, 820,  198.85, 59.8450
  44419323,1,  0.0219,  17,  190.23, 76.8353
  44852695,1,  0.2097, 706,  119.08, 44.4752
  44937920,1,  0.2441,  25,  119.69, 60.9404
  45015180,1,  0.1155, 332,  237.39, 14.6675
  45081884,1,  0.0666, 466,  174.01, 65.5442
  45129894,1,  0.3514, 413, 72.0199, 96.2815
  45173171,1,  0.1273, 844,  137.24, 79.7339
  45217480,1,  0.1474, 684,  156.66, 14.4221
  45280901,1,  0.0086, 509,  212.94, 12.2907
  45346295,1,  0.1621, 723,  166.89, 10.0011
  45433179,1,  0.5326, 309,  140.73, 74.5346
  45467947,1,  0.0335, 810,  197.04, 67.4595
  45556617,1,  0.0957, 283,  158.29, 81.2161
  45573635,1,  0.0572, 731,  112.30, 63.6245
  45578715,1,  0.0098, 125,  226.35, 79.4592
  45600076,1,  0.0848, 324,  190.01, 89.5429
  45659044,1,  0.0772, 180,  195.78, 59.1257
  45673925,1,  0.1000, 962,  128.15, 24.7926
  45792211,1,  0.0385, 383,  214.06, 30.8867
  45860087,1,  0.1844,  58,  162.57, 82.6936
  45873361,1,  0.1490, 771,  122.82, 45.2861
  45934799,1,  0.0311, 228, 80.9828, 41.7150
  46037109,1,  0.0011, 151,  195.18, 78.0807
  46109372,1,  0.0072, 542,  229.40, 84.3621
  46222480,1,  0.0730,   8,  146.75, 27.9567
  46407068,1,  0.1807, 134,  106.54, 42.1906
  46408364,1,  1.0256, 704,  163.96, 74.3713
  46471407,1,  0.0998, 731,  112.30, 63.6245
  46573082,1,  0.0402, 345,  164.33, 13.0264
  46610951,1,  0.6438, 381,  242.90, 38.2677
  46779722,1,  0.2050, 778,  217.36, 24.7120
  46882305,1,  0.0117, 545,  212.05, 95.0787
  47039455,1,  0.1594,  96,  192.60, 86.6815
  47166466,1,  0.0013, 890,  107.23, 51.1063
  47171139,1,  0.0361, 755,  126.66, 38.6247
  47279535,1,  0.0637, 125,  226.35, 79.4592
  47346336,1,  0.5048, 106, 77.9704, 80.7633
  47611332,1,  0.0083,  39,  143.74, 53.5920
  47633986,1,  1.1136, 624,  237.41, 14.2088
  47697890,1,  0.0013, 273,  109.64, 42.7135
  47723031,1,  0.0034, 522,  248.29, 26.3001
  47905402,1,  0.1189, 930,  187.39, 61.5246
  48002934,1,  0.1058, 974,  113.91, 58.2190
  48006786,1,  0.0752, 780,  242.82, 70.8544
  48018179,1,  0.1103, 236,  163.17, 52.5513
  48259328,1,  0.3913, 279,  222.71, 30.1662
  48286564,1,  0.0181, 320,  181.29, 34.5315
  48388569,1,  0.0215, 982,  230.61, 61.4770
  48401294,1,  0.0330, 284,  194.57, 23.5689
  48523973,1,  0.1533, 983,  199.30, 82.0621
  48549747,1,  0.1956, 546,  103.61, 69.2829
  48572478,1,  0.0675,  60, 93.2760, 72.0524
  48629235,1,  0.1119, 858,  145.78, 23.7637
  48819595,1,  0.0040, 935,  130.11, 21.7537
  49280932,1,  0.1728, 452,  175.03, 31.0606
  49318574,1,  0.2773,  20,  131.52, 25.5873
  49320701,1,  0.3150, 400, 58.2885, 33.0582
  49359337,1,  0.1072, 151,  195.18, 78.0807
  49361021,1,  0.2677, 468,  151.75, 41.7763
  49619735,1,  0.1278,  31,  172.52, 49.1144
  49622194,1,  0.2365, 649,  144.91, 39.9363
  49702392,1,  0.2625, 515,  183.14, 40.2554
  49722492,1,  0.0153, 660,  198.18, 31.5560
  49856917,1,  0.6045,   2,  198.79, 36.3907
  49895563,1,  0.4534, 291,  240.66, 76.4873
  49902365,1,  0.2379, 215,  169.70, 97.0269
  50050301,1,  0.0444, 282, 82.8279, 63.6975
  50236331,1,  0.1956, 755,  126.66, 38.6247
  50286569,1,  0.0640, 990,  208.44, 76.1588
  50532057,1,  0.0594, 524,  158.73, 35.4515
  50609534,1,  0.0867,  73,  187.65, 48.1458
  50615817,1,  0.0266, 830,  245.91, 79.9768
  50713768,1,  0.0026, 853,  181.35, 14.3490
  50728598,1,  0.0416, 982,  230.61, 61.4770
  50779798,1,  0.2886, 246, 59.1515, 81.7717
  50844395,1,  0.1155, 889, 78.6902, 26.0477
  50873950,1,  0.3237,  60, 93.2760, 72.0524
  51083932,1,  0.0552, 697,  217.54, 63.5373
  51141598,1,  0.4685, 842, 90.7002, 25.7650
  51191183,1,  0.1765, 767,  200.51, 78.8352
  51197457,1,  0.1048, 295,  121.37, 23.1720
  51201463,1,  0.0231, 496,  187.96, 90.9057
  51226191,1,  0.2722, 545,  212.05, 95.0787
  51292154,1,  0.0220, 934,  220.59, 64.9361
  51350512,1,  0.4608, 158,  112.55, 54.6018
  51498730,1,  0.2801, 752,  163.54, 39.9400
  51508838,1,  0.2208, 637, 85.0287, 80.2420
  51522113,1,  0.0557, 771,  122.82, 45.2861
  51581428,1,  0.0914, 168,  174.93, 93.8128
  51634703,1,  0.3338, 777,  154.70, 22.3056
  51841469,1,  0.0920, 343,  225.37, 98.7876
  51852687,1,  0.1391, 220,  126.62, 91.2542
  52479394,1,  0.1946, 586,  140.40, 21.5822
  53009342,1,  0.0419, 173,  194.31, 51.0089
  53328565,1,  0.0298, 172, 63.1918, 63.4239
  53366913,1,  0.0365, 132, 98.6810, 72.8402
  53375146,1,  0.0901, 231,  115.56, 85.5039
  53516807,1,  0.1189, 863,  207.77, 90.2406
  53569288,1,  0.1686, 148,  152.19, 80.0541
  53606897,1,  0.0180, 555,  119.54, 69.7454
  53619681,1,  0.5063, 500,  246.11, 16.5754
  53885176,1,  0.0984, 603,  171.24, 69.8268
  53929679,1,  0.0014, 995,  150.77, 13.7227
  53977145,1,  0.5269, 644, 97.7311, 14.3521
  54133543,1,  0.1708, 295,  121.37, 23.1720
  54235221,1,  0.1742, 473,  249.25, 54.8815
  54284346,1,  0.0618, 440,  148.98, 90.8663
  54294380,1,  0.1046, 315,  228.15, 44.5893
  54468963,1,  0.6941, 286, 99.4965, 98.7320
  54488905,1,  0.0809, 480, 82.0843, 46.8729
  54568371,1,  0.1542, 563,  155.36, 90.5920
  54651472,1,  0.0285, 343,  225.37, 98.7876
  54701484,1,  0.1968, 786,  232.84, 27.6647
  54775574,1,  1.1278, 256,  117.19, 33.8891
  54789100,1,  0.9236, 249,  224.29, 87.4141
  54826173,1,  0.3445, 602, 61.2023, 54.7734
  55095504,1,  0.0099, 127, 87.2971, 71.6367
  55104004,1,  0.1837, 667,  223.26, 52.3200
  55349277,1,  0.0242, 217,  233.37, 56.0760
  55412724,1,  0.0424, 505,  102.50, 77.3323
