object_id,submodel,sim_av,tau,v,re_in,d_s,d_l,teta_e,mass,porb,alpha,beta,ratio,m1,m2,clock,i_p,omega
   1730693,1,   0,   8, 48050, 0.3323E+11,8000,2736,  0.0001,  0.0039, 1063.81,  1.4430,  0.1447,  0.0451,  0.0023,  0.0015,   1, -0.5400, -0.5470
   2027390,1,   0, 16.7000, 24770, 0.3574E+11,8000,3666,  0.0001,  0.0040,  877.60,  1.1990,  1.4398,  0.1142,  0.0029,  0.0012,  -1,  1.1190, -1.5080
   2375325,1,   0,  233.64, 41410, 0.8360E+12,8000,3454,  0.0017,  2.2358, 2391.30,  0.8211,  1.0050,  0.5862,  1.4637,  0.7721,   1,  0.4320, -1.4470
   2459126,1,   0, 82.7300, 18520, 0.1324E+12,8000,5398,  0.0002,  0.0627, 2035.62,  1.4148,  0.1590,  0.2438,  0.0402,  0.0225,  -1, -1.0760, -1.3120
   2865141,1,   0,  8.5500,101000, 0.7457E+11,8000,7302,  0.0001,  0.0548,  303.20,  0.6749,  0.9904,  0.1691,  0.0384,  0.0164,  -1,  1.1020,  0.9720
   2961501,1,   0,  4.1000, 95130, 0.3368E+11,8000,4948,   0,  0.0038, 1073.18,  1.4224,  0.6832,  0.0229,  0.0022,  0.0016,   1, -0.9130,  0.2220
   2967584,1,   0, 11.4200, 92290, 0.9109E+11,8000,7753,  0.0001,  0.2174,  239.40,  0.7471,  0.8944,  0.2863,  0.1596,  0.0578,  -1,  0.9250,  1.3090
   3030973,1,   0, 99.2900, 45580, 0.3910E+12,8000,1268,  0.0022,  0.8997, 1232.04,  0.8330,  0.9553,  0.4835,  0.4674,  0.4323,  -1,  1.0040, -0.0220
   3185521,1,   0, 16.9400, 55780, 0.8162E+11,8000,1598,  0.0004,  0.0327,  778.77,  0.9737,  1.5126,  0.1305,  0.0166,  0.0161,   1,  0.0530, -1.3200
   3376654,1,   0, 11.6500, 19960, 0.2009E+11,8000,4164,   0,  0.0013,  229.01,  0.5922,  1.3021,  0.3052,  0.0008,  0.0005,  -1,  1.5340,  1.4670
   3761879,1,   0, 28.8500, 53110, 0.1324E+12,8000,6355,  0.0001,  0.0842, 1322.81,  1.1712,  0.3294,  0.1309,  0.0498,  0.0344,  -1,  1.0090, -0.4860
   4478189,1,   0,  771.02, 91040, 0.6065E+13,8000,3973,  0.0109,  115.48, 7261.32,  0.8839,  0.0080,  0.6371, 90.4744, 25.0033,  -1,  0.6100, -0.7970
   4788142,1,   0, 19.7400, 38470, 0.6561E+11,8000,1265,  0.0004,  0.0254,  276.39,  0.5579,  0.3518,  0.4286,  0.0136,  0.0118,   1, -0.1490, -1.5240
   5112308,1,   0, 39.4200, 73490, 0.2503E+12,8000,7284,  0.0002,  0.6031, 1720.62,  1.4229,  0.2185,  0.1375,  0.3240,  0.2791,   1,  0.3020, -1.0430
   5384228,1,   0,  8.5100, 67790, 0.4987E+11,8000,2687,  0.0001,  0.0088,  186.12,  0.3954,  1.6685,  0.2745,  0.0049,  0.0039,  -1,  0.7670,  1.4840
   5903387,1,   0,  5.9200, 99140, 0.5074E+11,8000,  351.90,  0.0010,  0.0481, 37.3361,  0.2350,  0.4719,  0.9520,  0.0390,  0.0091,   1, -0.5910,  0.8340
   6529720,1,   0, 68.5200, 68750, 0.4070E+12,8000,1861,  0.0016,  0.7286, 1337.61,  0.7879,  0.2588,  0.3074,  0.4336,  0.2950,  -1, -1.4260, -0.8080
   6915162,1,   0, 10.0600, 96460, 0.8383E+11,8000,4823,  0.0001,  0.0230,  249.43,  0.3948,  1.0399,  0.2420,  0.0158,  0.0073,   1,  0.5020,  0.5050
   7478343,1,   0, 30.0700, 98180, 0.2550E+12,8000,5923,  0.0003,  0.2656,  275.72,  0.3134,  0.0860,  0.6543,  0.1925,  0.0732,   1,  0.3120, -0.1500
   7658808,1,   0, 33.8500, 19940, 0.5832E+11,8000,4002,  0.0001,  0.0107, 1207.78,  1.2571,  1.2016,  0.1682,  0.0059,  0.0048,  -1,  0.0760, -0.0600
   7776343,1,   0, 78.1700, 88330, 0.5966E+12,8000,1098,  0.0039,  2.3591,  195.57,  0.2207,  0.2320,  2.3984,  1.8788,  0.4804,  -1, -0.8450, -0.3510
   7924691,1,   0,  6.9000, 42080, 0.2511E+11,8000,6400,   0,  0.0031, 47.8018,  0.2244,  1.3411,  0.8667,  0.0019,  0.0012,  -1, -0.7840, -0.8550
   8172230,1,   0, 71.2500, 51400, 0.3164E+12,8000,1431,  0.0016,  0.5350, 2808.22,  1.4991,  1.4933,  0.1522,  0.3133,  0.2217,   1,  0.3420,  0.2190
   8586941,1,   0, 31.3900, 98060, 0.2659E+12,8000,6973,  0.0003,  0.4962,  733.57,  0.7108,  0.4331,  0.2567,  0.2791,  0.2170,   1, -0.3540,  0.4750
   8800591,1,   0, 22.4100, 18540, 0.3588E+11,8000,5200,   0,  0.0044,  326.27,  0.6374,  0.3873,  0.4120,  0.0031,  0.0013,  -1, -0.3900, -1.4530
   9013555,1,   0, 86.7300, 38460, 0.2882E+12,8000,2674,  0.0008,  0.2930, 2770.12,  1.3344,  0.8747,  0.1878,  0.1708,  0.1222,  -1, -0.0380,  1.2310
   9132220,1,   0,  149.12, 54290, 0.6995E+12,8000,3954,  0.0013,  1.5366, 1328.59,  0.5852,  0.6241,  0.6734,  0.7698,  0.7668,  -1,  1.1620, -0.6990
   9284007,1,   0, 80.6300, 19570, 0.1363E+12,8000,2767,  0.0004,  0.0645,  176.57,  0.2718,  0.2422,  2.7401,  0.0504,  0.0141,   1, -1.3660, -1.3550
   9673764,1,   0,  288.45,100200, 0.2498E+13,8000,6667,  0.0027, 35.2631, 4458.21,  1.0439,  0.1864,  0.3882, 28.5351,  6.7279,  -1, -0.7530, -0.2850
   9689107,1,   0, 36.3700, 61080, 0.1919E+12,8000,2757,  0.0005,  0.1280, 1354.01,  0.9435,  0.5325,  0.1612,  0.0644,  0.0636,   1,  1.5330,  0.9500
   9854001,1,   0, 83.2400, 96710, 0.6955E+12,8000,4236,  0.0012,  1.5241, 5284.84,  1.4737,  0.3436,  0.0945,  1.0397,  0.4844,   1, -0.8220, -0.0420
   9999797,1,   0,  667.85, 15570, 0.8985E+12,8000,3316,  0.0019,  2.6108, 3599.93,  1.0567,  1.5203,  1.1131,  1.8694,  0.7414,   1, -0.7910,  1.5580
  10264349,1,   0, 33.5100, 23340, 0.6757E+11,8000,6336,  0.0001,  0.0218,  560.62,  0.8246,  0.0552,  0.3587,  0.0170,  0.0048,   1, -1.3980,  0.8250
  10283640,1,   0,  877.23, 82390, 0.6245E+13,8000,4237,  0.0105,  122.86,15028.10,  1.4232,  0.1546,  0.3502, 78.9164, 43.9442,   1, -1.1410, -1.0540
  10412165,1,   0, 15.5800, 17310, 0.2330E+11,8000,3015,  0.0001,  0.0018,  368.48,  0.7899,  0.2091,  0.2536,  0.0014,  0.0004,   1,  0.6810,  1.1220
  10871436,1,   0,  110.08, 61170, 0.5818E+12,8000,3277,  0.0013,  1.0984,  397.79,  0.2816,  0.2436,  1.6603,  0.7365,  0.3619,  -1, -0.4740,  0.4840
  10904111,1,   0,  110.08, 61170, 0.5818E+12,8000,3277,  0.0013,  1.0984,  397.79,  0.2816,  0.2436,  1.6603,  0.7365,  0.3619,  -1, -0.4740,  0.4840
  11367414,1,   0, 25.2500, 56000, 0.1222E+12,8000,3611,  0.0002,  0.0473, 1320.23,  1.0458,  0.0117,  0.1148,  0.0289,  0.0184,  -1, -0.0400,  0.8250
  11541095,1,   0,  120.76, 39110, 0.4080E+12,8000,2074,  0.0014,  0.6804, 2089.76,  1.0344,  0.5133,  0.3467,  0.3796,  0.3007,   1,  0.7670, -0.2140
  11909085,1,   0, 92.2700, 84920, 0.6770E+12,8000, 396,  0.0122,  7.6465,  748.28,  0.7041,  0.0674,  0.7399,  4.3411,  3.3054,   1, -0.8110,  0.2080
  11954084,1,   0, 38.0900, 46090, 0.1517E+12,8000,3576,  0.0003,  0.0731,  599.08,  0.5750,  0.1456,  0.3815,  0.0479,  0.0252,   1, -0.1540,  1.5210
  12123282,1,   0, 38.2000, 81050, 0.2675E+12,8000,  338.10,  0.0057,  1.3876,  566.59,  0.8381,  1.2692,  0.4045,  0.8604,  0.5272,   1, -0.7670,  1.2230
  12169653,1,   0,  30, 66200, 0.1716E+12,8000,3066,  0.0004,  0.0978,  511.36,  0.5040,  0.9601,  0.3520,  0.0498,  0.0479,  -1, -1.5350, -1.5360
  12333381,1,   0,  30, 66200, 0.1716E+12,8000,3066,  0.0004,  0.0978,  511.36,  0.5040,  0.9601,  0.3520,  0.0498,  0.0479,  -1, -1.5350, -1.5360
  12517269,1,   0,  3.0200, 15720, 0.4106E+10,8000,5164,   0,  0.0001,  169.02,  0.8452,  0.5586,  0.1073,   0,   0,   1, -0.6840, -0.0020
  12599101,1,   0, 14.8900, 84780, 0.1090E+12,8000,5672,  0.0001,  0.0452,  982.54,  0.9481,  0.3126,  0.0909,  0.0228,  0.0224,  -1,  1.5120,  1.1850
  13594062,1,   0, 78.1700, 88330, 0.5966E+12,8000,1098,  0.0039,  2.3591,  195.57,  0.2207,  0.2320,  2.3984,  1.8788,  0.4804,  -1, -0.8450, -0.3510
  14150466,1,   0, 68.5200, 68750, 0.4070E+12,8000,1861,  0.0016,  0.7286, 1337.61,  0.7879,  0.2588,  0.3074,  0.4336,  0.2950,  -1, -1.4260, -0.8080
  14708851,1,   0, 10.6500, 75310, 0.6931E+11,8000,5000,  0.0001,  0.0161,  714.27,  0.8544,  0.2516,  0.0895,  0.0086,  0.0075,   1, -0.3600,  1.2840
  15524372,1,   0,  114.91, 29070, 0.2886E+12,8000,5749,  0.0004,  0.3233, 2514.60,  1.2910,  0.1460,  0.2742,  0.2531,  0.0702,  -1,  0.7680, -1.5630
  15760955,1,   0, 20.3900, 58520, 0.1031E+12,8000,1792,  0.0004,  0.0480,  980.51,  1.0214,  1.5523,  0.1247,  0.0376,  0.0103,   1,  1.4330, -0.0750
  16009747,1,   0, 38.1100, 30480, 0.1004E+12,8000,2712,  0.0003,  0.0353, 1953.57,  1.4992,  0.1239,  0.1170,  0.0272,  0.0081,  -1, -0.0010,  1.0690
  16012311,1,   0,  652.75, 90360, 0.5096E+13,8000,6549,  0.0056,  137.32, 4133.51,  0.7654,  0.2768,  0.9475, 86.9738, 50.3425,  -1, -1.4740, -1.1090
  16146255,1,   0, 34.2500, 86450, 0.2558E+12,8000,3048,  0.0006,  0.2178, 1597.58,  0.9435,  0.0417,  0.1286,  0.1350,  0.0828,  -1, -1.5200, -1.0480
  16843636,1,   0, 18.2900, 39380, 0.6224E+11,8000,6264,  0.0001,  0.0179,  276.95,  0.5241,  0.9289,  0.3963,  0.0124,  0.0055,   1,  0.8570,  0.1620
  17163043,1,   0, 17.3500, 29700, 0.4451E+11,8000, 85.6200,  0.0037,  0.1469, 71.6600,  0.6003,  0.0130,  1.4525,  0.0776,  0.0692,   1,  1.1810,  0.4680
  17237337,1,   0, 11.6600, 79100, 0.7966E+11,8000,5165,  0.0001,  0.0218,  277.84,  0.4381,  1.4050,  0.2517,  0.0172,  0.0046,   1, -0.3540,  0.6370
  17328635,1,   0, 38.3500, 56470, 0.1871E+12,8000,3244,  0.0004,  0.1140,  661.40,  0.5775,  0.4381,  0.3479,  0.0730,  0.0410,  -1, -0.6810, -0.2840
  17530750,1,   0, 10.5300, 51440, 0.4681E+11,8000,  377.20,  0.0009,  0.0383,  548.41,  1.4161,  1.2011,  0.1152,  0.0287,  0.0096,  -1, -0.1190,  1.1600
  17771058,1,   0, 42.0700, 57450, 0.2088E+12,8000,2042,  0.0007,  0.1801, 1256.42,  0.9243,  0.5251,  0.2009,  0.1387,  0.0414,  -1,  0.7300, -0.0960
  17868549,1,   0, 16.0700, 20750, 0.2881E+11,8000,5998,   0,  0.0035,  631.80,  1.1361,  1.4499,  0.1526,  0.0028,  0.0007,   1, -1.3470, -1.2320
  18475230,1,   0, 16.7900, 85670, 0.1243E+12,8000,4556,  0.0002,  0.0494, 1662.23,  1.2167,  1.1988,  0.0606,  0.0279,  0.0215,   1,  0.4980,  0.3740
  18552927,1,   0, 18.5800, 76490, 0.1228E+12,8000,  104.60,  0.0084,  0.9173, 63.6969,  0.3705,  0.9015,  1.7500,  0.6668,  0.2505,  -1, -0.0340, -0.4530
  18854480,1,   0, 22.0500,100100, 0.1906E+12,8000,6671,  0.0002,  0.2059,  990.94,  0.9038,  0.7436,  0.1335,  0.1566,  0.0493,  -1,  0.6470,  0.3370
  19702163,1,   0,  248.21, 92170, 0.1977E+13,8000,5461,  0.0026, 14.1525, 6833.71,  1.2937,  0.1199,  0.2179,  7.1376,  7.0149,  -1,  1.3760, -0.6110
  20485616,1,   0, 69.3800, 85410, 0.5120E+12,8000,2269,  0.0016,  1.0128, 4198.95,  1.4986,  0.1233,  0.0991,  0.5505,  0.4623,  -1, -1.0680,  1.3780
  20558471,1,   0, 37.9700, 61460, 0.2016E+12,8000,2485,  0.0006,  0.1490, 1110.11,  0.8276,  0.4711,  0.2052,  0.0942,  0.0548,  -1,  0.0390,  1.1140
  20636692,1,   0,  8.5500, 76840, 0.5679E+11,8000,4880,  0.0001,  0.0106,  841.82,  1.0137,  1.0325,  0.0610,  0.0054,  0.0052,   1,  1.3210, -0.5870
  21137578,1,   0, 22.4100, 18540, 0.3588E+11,8000,5200,   0,  0.0044,  326.27,  0.6374,  0.3873,  0.4120,  0.0031,  0.0013,  -1, -0.3900, -1.4530
  21862964,1,   0, 92.2700, 84920, 0.6770E+12,8000, 396,  0.0122,  7.6465,  748.28,  0.7041,  0.0674,  0.7399,  4.3411,  3.3054,   1, -0.8110,  0.2080
  21907507,1,   0, 26.8800, 15670, 0.3640E+11,8000,3808,  0.0001,  0.0042,  458.09,  0.7714,  1.0352,  0.3521,  0.0022,  0.0020,   1,  0.5580, -1.3160
  22040703,1,   0, 38.1400, 79980, 0.2636E+12,8000,3181,  0.0006,  0.2277,  440.57,  0.3938,  0.4844,  0.5195,  0.1249,  0.1027,   1,  0.3640, -0.9750
  22206903,1,   0, 39.0700, 61200, 0.2066E+12,8000,6872,  0.0002,  0.2766,  212.32,  0.3295,  0.4036,  1.1040,  0.1547,  0.1219,   1, -0.5830, -1.3330
  22267552,1,   0, 82.5900, 34180, 0.2439E+12,8000,  531.60,  0.0033,  0.7525,  760.68,  0.9124,  0.6377,  0.6514,  0.4353,  0.3171,  -1, -0.9650,  0.2760
  22346552,1,   0,  110.08, 61170, 0.5818E+12,8000,3277,  0.0013,  1.0984,  397.79,  0.2816,  0.2436,  1.6603,  0.7365,  0.3619,  -1, -0.4740,  0.4840
  22807661,1,   0, 19.3000, 21070, 0.3514E+11,8000,3930,  0.0001,  0.0039,  189.69,  0.4333,  0.4463,  0.6105,  0.0024,  0.0015,   1,  0.7260, -0.1740
  22924325,1,   0, 13.5300, 40890, 0.4780E+11,8000,3276,  0.0001,  0.0074, 92.8107,  0.2455,  0.4129,  0.8747,  0.0053,  0.0021,  -1, -0.4370,  0.0990
  23156372,1,   0,  267.43, 19530, 0.4513E+12,8000,5590,  0.0006,  0.7594, 2289.65,  1.0310,  0.4839,  0.7008,  0.3801,  0.3793,  -1,  0.2460, -0.0760
  23351085,1,   0, 37.4800, 60660, 0.1964E+12,8000,7382,  0.0002,  0.4248,  811.93,  0.9778,  0.6222,  0.2770,  0.3480,  0.0768,  -1, -0.5670,  1.1460
  23500880,1,   0,  117.59, 89940, 0.9138E+12,8000,6783,  0.0010,  5.0830, 1096.04,  0.5872,  1.4051,  0.6437,  2.8668,  2.2162,  -1,  1.0870,  0.1490
  23827343,1,   0, 12.1900, 58560, 0.6169E+11,8000,4712,  0.0001,  0.0123, 1153.97,  1.2098,  0.1156,  0.0634,  0.0075,  0.0049,   1, -0.0270,  0.2540
  23976445,1,   0, 40.7900, 50800, 0.1791E+12,8000,2910,  0.0004,  0.1087,  653.65,  0.5894,  0.2793,  0.3745,  0.0662,  0.0426,  -1, -0.8480, -1.0450
  24588767,1,   0, 28.0600, 92830, 0.2251E+12,8000,6214,  0.0003,  0.2292,  975.52,  0.7852,  1.4289,  0.1726,  0.1764,  0.0528,   1, -1.4340, -1.4870
  24666284,1,   0, 61.7900, 53270, 0.2844E+12,8000,  673.40,  0.0030,  0.8234,  504.05,  0.6128,  0.3020,  0.7356,  0.6624,  0.1610,   1,  0.8730, -1.0020
  24838903,1,   0,  5.1900, 68030, 0.3048E+11,8000,4939,   0,  0.0031,  610.47,  1.0091,  1.1818,  0.0510,  0.0016,  0.0015,   1,  1.3120, -0.6280
  25824569,1,   0,  6.9400,101500, 0.6087E+11,8000,3009,  0.0001,  0.0124,  521.28,  0.7229,  0.2177,  0.0799,  0.0084,  0.0040,  -1, -0.4900, -0.7130
  26322942,1,   0, 30.3400, 15690, 0.4111E+11,8000,  524.40,  0.0006,  0.0217,  100.84,  0.4312,  0.1122,  1.8050,  0.0120,  0.0097,   1, -1.1360, -0.0860
  26365710,1,   0, 38.0200, 97310, 0.3197E+12,8000,5273,  0.0004,  0.3570, 2377.73,  1.1605,  0.7400,  0.0959,  0.1844,  0.1726,   1, -0.8320, -1.3360
  26473632,1,   0, 38.1100, 99730, 0.3284E+12,8000,3014,  0.0008,  0.3604,  264.15,  0.2619,  1.2382,  0.8656,  0.1901,  0.1703,   1,  0.2980, -1.0570
  26519120,1,   0, 18.5800, 76490, 0.1228E+12,8000,  104.60,  0.0084,  0.9173, 63.6969,  0.3705,  0.9015,  1.7500,  0.6668,  0.2505,  -1, -0.0340, -0.4530
  26629783,1,   0, 28.8500, 53110, 0.1324E+12,8000,6355,  0.0001,  0.0842, 1322.81,  1.1712,  0.3294,  0.1309,  0.0498,  0.0344,  -1,  1.0090, -0.4860
  27294154,1,   0, 28.4400, 32310, 0.7938E+11,8000,1474,  0.0004,  0.0329, 1366.20,  1.4590,  1.2140,  0.1249,  0.0181,  0.0148,  -1, -1.5240,  0.5830
  27402740,1,   0, 82.5900, 34180, 0.2439E+12,8000,  531.60,  0.0033,  0.7525,  760.68,  0.9124,  0.6377,  0.6514,  0.4353,  0.3171,  -1, -0.9650,  0.2760
  27643988,1,   0, 38.3500, 56470, 0.1871E+12,8000,3244,  0.0004,  0.1140,  661.40,  0.5775,  0.4381,  0.3479,  0.0730,  0.0410,  -1, -0.6810, -0.2840
  27878306,1,   0,  135.46, 19340, 0.2264E+12,8000,  104.30,  0.0155,  3.1265,  222.98,  0.6972,  0.0530,  3.6450,  2.0493,  1.0772,   1, -0.6480, -0.0180
  27895576,1,   0, 26.7300, 58730, 0.1356E+12,8000,3053,  0.0003,  0.0612, 2128.58,  1.4113,  0.2221,  0.0753,  0.0482,  0.0130,  -1,  0.8580, -1.3540
  28033989,1,   0, 17.2100,102900, 0.1529E+12,8000,3260,  0.0003,  0.0760,  337.18,  0.3939,  0.3066,  0.3062,  0.0450,  0.0310,   1, -0.1680, -0.8490
  28098743,1,   0, 16.6300, 72470, 0.1041E+12,8000,6264,  0.0001,  0.0501,  280.35,  0.4452,  1.5548,  0.3558,  0.0280,  0.0221,  -1,  1.2630,  1.0170
  29109865,1,   0, 28.6500, 64720, 0.1602E+12,8000,2705,  0.0004,  0.0900,  661.96,  0.6237,  0.0400,  0.2597,  0.0580,  0.0320,  -1, -1.0730,  0.4060
  29443168,1,   0, 34.4500, 56590, 0.1684E+12,8000,1872,  0.0006,  0.1242,  306.73,  0.3955,  0.9925,  0.6738,  0.0643,  0.0599,  -1,  0.9380,  0.2550
  29639732,1,   0,  5.9200, 99140, 0.5074E+11,8000,  351.90,  0.0010,  0.0481, 37.3361,  0.2350,  0.4719,  0.9520,  0.0390,  0.0091,   1, -0.5910,  0.8340
  30136020,1,   0, 16.7900, 24290, 0.3524E+11,8000,7899,   0,  0.0779, 67.2796,  0.5886,  0.0776,  1.4974,  0.0587,  0.0193,  -1,  1.5330, -0.5430
  30360439,1,   0, 51.0200, 89370, 0.3940E+12,8000,6803,  0.0004,  0.9571, 2212.16,  1.2468,  1.5945,  0.1384,  0.5126,  0.4446,  -1,  1.4660, -0.0080
  30540853,1,   0, 81.4200, 32860, 0.2312E+12,8000,3819,  0.0004,  0.1682,  278.31,  0.2988,  0.4331,  1.7553,  0.0868,  0.0813,  -1, -0.3830, -0.3060
  30546854,1,   0,  556.26, 85530, 0.4111E+13,8000,4833,  0.0061, 55.4582, 9552.49,  1.2261,  0.8693,  0.3494, 33.2534, 22.2048,  -1, -0.4390, -0.6180
  30572680,1,   0, 21.1200, 59640, 0.1088E+12,8000,3982,  0.0002,  0.0372, 1838.76,  1.3513,  1.0213,  0.0689,  0.0206,  0.0166,  -1, -0.2110,  0.1550
  30596038,1,   0, 69.3800, 85410, 0.5120E+12,8000,2269,  0.0016,  1.0128, 4198.95,  1.4986,  0.1233,  0.0991,  0.5505,  0.4623,  -1, -1.0680,  1.3780
  30977900,1,   0,  267.43, 19530, 0.4513E+12,8000,5590,  0.0006,  0.7594, 2289.65,  1.0310,  0.4839,  0.7008,  0.3801,  0.3793,  -1,  0.2460, -0.0760
  31051863,1,   0,  159.62, 73670, 0.1016E+13,8000,4994,  0.0015,  3.4542, 1898.88,  0.6697,  0.0519,  0.5044,  2.4089,  1.0453,  -1,  0.2170,  0.0140
  31056649,1,   0, 83.5600, 91320, 0.6593E+12,8000,6714,  0.0007,  2.5284, 1094.42,  0.6442,  0.8552,  0.4581,  1.6600,  0.8684,  -1,  0.0560, -0.8760
  31063717,1,   0, 45.2700, 83820, 0.3279E+12,8000,2932,  0.0008,  0.3634, 2964.94,  1.3187,  0.5494,  0.0916,  0.2060,  0.1573,   1, -1.3540, -0.6530
  31130539,1,   0,  9.8300, 61690, 0.5241E+11,8000,5012,  0.0001,  0.0092,  423.46,  0.6622,  1.5158,  0.1393,  0.0055,  0.0037,  -1, -1.2340,  1.4000
  31165582,1,   0, 22.2500, 18100, 0.3479E+11,8000,5025,   0,  0.0041,  330.66,  0.6440,  0.6691,  0.4037,  0.0025,  0.0015,   1, -1.4130,  0.8470
  31403255,1,   0, 38.1100, 99730, 0.3284E+12,8000,3014,  0.0008,  0.3604,  264.15,  0.2619,  1.2382,  0.8656,  0.1901,  0.1703,   1,  0.2980, -1.0570
  31465460,1,   0, 81.4200, 32860, 0.2312E+12,8000,3819,  0.0004,  0.1682,  278.31,  0.2988,  0.4331,  1.7553,  0.0868,  0.0813,  -1, -0.3830, -0.3060
  31492434,1,   0, 20.3900, 58520, 0.1031E+12,8000,1792,  0.0004,  0.0480,  980.51,  1.0214,  1.5523,  0.1247,  0.0376,  0.0103,   1,  1.4330, -0.0750
  31744744,1,   0, 24.7000, 53840, 0.1149E+12,8000,5404,  0.0002,  0.0473,  800.53,  0.7965,  0.6011,  0.1851,  0.0262,  0.0210,  -1,  1.1410,  0.3480
  32461632,1,   0, 71.2500, 51400, 0.3164E+12,8000,1431,  0.0016,  0.5350, 2808.22,  1.4991,  1.4933,  0.1522,  0.3133,  0.2217,   1,  0.3420,  0.2190
  32477184,1,   0, 18.3000, 84550, 0.1337E+12,8000,3914,  0.0002,  0.0562, 1379.01,  1.0416,  1.0765,  0.0796,  0.0290,  0.0272,  -1,  1.4410,  0.3250
  32973042,1,   0, 43.0600, 39540, 0.1471E+12,8000,3883,  0.0003,  0.0680, 1425.54,  1.0316,  0.3396,  0.1812,  0.0419,  0.0261,   1,  1.4380,  1.5320
  32985881,1,   0, 30.1400, 28880, 0.7520E+11,8000,6104,  0.0001,  0.0245,  119.19,  0.2748,  0.6941,  1.5174,  0.0174,  0.0071,   1,  0.3880, -1.5680
  33139445,1,   0,  637.96, 31400, 0.1731E+13,8000,5343,  0.0023, 10.6012,  780.99,  0.3160,  1.9476,  4.9012,  7.0401,  3.5610,  -1,  1.1460, -0.7490
  33226653,1,   0, 55.0400, 83310, 0.3961E+12,8000,1597,  0.0018,  0.7710,  516.24,  0.4373,  0.0998,  0.6397,  0.4372,  0.3338,  -1, -1.0800,  1.1410
  33349169,1,   0, 41.3600, 61720, 0.2206E+12,8000,  897.60,  0.0018,  0.3833,  164.80,  0.2906,  1.4133,  1.5057,  0.2399,  0.1434,  -1, -1.1010,  1.0660
  33403007,1,   0, 22.2500, 18100, 0.3479E+11,8000,5025,   0,  0.0041,  330.66,  0.6440,  0.6691,  0.4037,  0.0025,  0.0015,   1, -1.4130,  0.8470
  33468616,1,   0, 13.7600,100300, 0.1193E+12,8000,4594,  0.0002,  0.0457, 1086.10,  0.9296,  1.2211,  0.0760,  0.0256,  0.0200,   1, -0.1680, -0.4190
  33525797,1,   0, 68.5600, 93010, 0.5510E+12,8000,4124,  0.0010,  0.9541, 3921.91,  1.3044,  1.2583,  0.1049,  0.7698,  0.1843,  -1, -1.2450, -1.0030
