object_id,submodel,sim_av,Cart_INDEX,Mejecta,Vejecta,Fnick,Kappagamma,Temperature
     53953,1,  0.1696, 200,  0.1913, 9892.22,  0.6158,  212.66, 4528.46
     57797,1,  0.1062,  97,  2.1400, 5770.23,  0.0046,  4.6610, 2386.78
     59221,1,  0.2111, 138,  0.7778, 4380.36,  0.0602,  101.55, 3628.96
     61373,1,  0.3577,  40,  3.6603, 3595.97,  0.0229,  296.60, 2089.94
     61720,1,  0.7422, 218,  1.8112, 5826.14,  0.0070,  966.75, 1926.36
     66256,1,  0.1569,  50,  0.9446, 9329.91,  0.4577, 39.7207, 3153.46
     68174,1,  0.1297, 137,  0.2167, 7155.97,  0.4821, 59.5978, 3975.38
     68903,1,  0.0367,  60,  0.1910, 6685.08,  0.2188,  551.46, 2553.56
     71291,1,  0.0797,  62,  0.7323, 6457.12,  0.0026, 51.8076, 3423.59
     73397,1,  0.3847, 124,  0.0637, 6056.75,  0.1106,  0.3260, 3987.56
     73751,1,  0.1148,  58,  0.1122, 6414.11,  0.0040,  4.1954, 2842.23
     76402,1,  0.0275, 129,  3.2410, 7856.37,  0.1047,  3.1030, 3764.81
     76566,1,  0.7748,  28,  0.1776, 4069.11,  0.2720,  0.9237, 1517.30
     80313,1,  0.0393, 112,  0.0514, 8328.34,  0.0091,  1.7597, 2839.06
     81875,1,  0.0317, 108,  0.2433, 5125.07,  0.0024,  339.62, 1963.59
     87311,1,  0.1242,  40,  3.6603, 3595.97,  0.0229,  296.60, 2089.94
     89575,1,  0.0171, 223,  0.5873, 8281.86,  0.0075,  5.3127, 3774.98
     91392,1,  0.0020, 196,  0.9419, 8002.32,  0.1262,  0.9832, 4193.79
     98112,1,  0.2005,  41,  0.0401, 8226.38,  0.0971,  0.1758, 3844.64
     99367,1,  0.0693, 223,  0.5873, 8281.86,  0.0075,  5.3127, 3774.98
    101617,1,  0.4573, 218,  1.8112, 5826.14,  0.0070,  966.75, 1926.36
    102022,1,  0.1481, 112,  0.0514, 8328.34,  0.0091,  1.7597, 2839.06
    102833,1,  0.0121, 158,  0.9010, 6714.44,  0.2368,  1.0521, 4840.01
    103528,1,  0.1518, 158,  0.9010, 6714.44,  0.2368,  1.0521, 4840.01
    107930,1,  0.1174,  49,  1.6835, 5478.50,  0.0082,  0.5069, 2259.19
    109508,1,  0.0551, 154,  0.4295, 9132.76,  0.1591,  9.1045, 4746.11
    112369,1,  0.1047, 162,  1.2254, 3531.49,  0.0044,  0.3382, 2444.79
    119390,1,  0.0743,   7,  0.1015, 3984.38,  0.2366, 10.4438, 1887.56
    119712,1,  0.0868, 159,  2.0958, 7627.99,  0.2075, 25.1596, 1773.87
    120760,1,  0.0325, 108,  0.2433, 5125.07,  0.0024,  339.62, 1963.59
    122740,1,  0.1126, 154,  0.4295, 9132.76,  0.1591,  9.1045, 4746.11
    122924,1,  0.5732, 143,  0.6128, 6627.87,  0.1994,  0.3490, 4166.89
    124454,1,  0.0739,  62,  0.7323, 6457.12,  0.0026, 51.8076, 3423.59
    125014,1,  0.0430, 211,  0.9917, 9866.03,  0.0029,  447.67, 2635.86
    125957,1,  0.5677,  39,  2.2300, 6650.18,  0.0025, 49.3928, 3845.74
    126705,1,  0.0584,  41,  0.0401, 8226.38,  0.0971,  0.1758, 3844.64
    130063,1,  0.3257,  47,  0.2986, 4691.08,  0.0384,  1.3589, 3956.60
    130573,1,  1.4764, 159,  2.0958, 7627.99,  0.2075, 25.1596, 1773.87
    132822,1,  0.0568,  29,  3.4985, 9859.87,  0.0841,  354.93, 1526.96
    136367,1,  0.6506,   7,  0.1015, 3984.38,  0.2366, 10.4438, 1887.56
    138859,1,  0.1971, 141,  0.2165, 8942.58,  0.0154,  0.6805, 3151.88
    139158,1,  0.2912,  58,  0.1122, 6414.11,  0.0040,  4.1954, 2842.23
    139509,1,  0.1112,  39,  2.2300, 6650.18,  0.0025, 49.3928, 3845.74
    140726,1,  0.3816, 166,  0.4061, 4778.10,  0.0503,  0.1469, 4331.24
    141885,1,  0.2519, 166,  0.4061, 4778.10,  0.0503,  0.1469, 4331.24
    144429,1,  0.0460, 154,  0.4295, 9132.76,  0.1591,  9.1045, 4746.11
    145477,1,  0.0054,  31,  0.1295, 8878.26,  0.0024,  140.18, 3158.79
    156065,1,  0.0614,  70,  0.9779, 3362.59,  0.0329,  0.6992, 3801.32
    156198,1,  0.9060, 166,  0.4061, 4778.10,  0.0503,  0.1469, 4331.24
    158377,1,  0.0142, 107,  0.7064, 3315.80,  0.0028, 50.3222, 1861.41
    161230,1,  0.0146, 148,  0.3767, 8104.01,  0.0727,  1.7080, 1362.57
    167070,1,  0.2207, 102,  3.0315, 9890.40,  0.0020, 83.1170, 3011.20
    167157,1,  0.1533, 200,  0.1913, 9892.22,  0.6158,  212.66, 4528.46
    168764,1,  0.2044, 112,  0.0514, 8328.34,  0.0091,  1.7597, 2839.06
    168845,1,  0.0580, 166,  0.4061, 4778.10,  0.0503,  0.1469, 4331.24
    171429,1,  0.1938, 166,  0.4061, 4778.10,  0.0503,  0.1469, 4331.24
    183942,1,  0.0471, 222,  1.3195, 5551.01,  0.0112, 13.4524, 1938.59
    184137,1,  0.2722, 201,  1.2541, 9311.53,  0.2470, 59.0541, 2198.17
    185789,1,  0.0324,  58,  0.1122, 6414.11,  0.0040,  4.1954, 2842.23
    188496,1,  0.0679,  52,  0.7865, 4186.41,  0.2078,  2.7910, 4554.97
    189088,1,  0.0758, 223,  0.5873, 8281.86,  0.0075,  5.3127, 3774.98
    189727,1,  0.0280,  71,  0.0915, 6988.06,  0.0106,  297.75, 1470.78
    197667,1,  0.0247, 138,  0.7778, 4380.36,  0.0602,  101.55, 3628.96
    200199,1,  0.0759,  62,  0.7323, 6457.12,  0.0026, 51.8076, 3423.59
    200713,1,  0.4154, 129,  3.2410, 7856.37,  0.1047,  3.1030, 3764.81
    203954,1,  0.1442,  20,  0.4166, 5091.09,  0.7028,  5.0629, 1394.19
    206462,1,  0.1216,  55,  0.1269, 9101.66,  0.0257,  5.3697, 4361.04
    212705,1,  0.0494, 140,  3.2364, 8614.70,  0.1645,  4.5071, 2434.52
    213009,1,  0.0987, 223,  0.5873, 8281.86,  0.0075,  5.3127, 3774.98
    219941,1,  0.6088, 136,  0.5506, 8913.20,  0.0693, 57.5370, 3194.48
    223218,1,  0.2228, 152,  0.3794, 3570.42,  0.0095,  4.3540, 1249.63
    223394,1,  0.2097, 164,  0.2681, 4118.28,  0.0090, 48.6520, 1498.26
    225179,1,  0.0012, 212,  1.1578, 6518.97,  0.1497,  0.4053, 4892.41
    225303,1,  0.7660, 172,  0.1053, 9419.46,  0.2397,  7.3357, 4088.20
    230023,1,  0.2754,   7,  0.1015, 3984.38,  0.2366, 10.4438, 1887.56
    232260,1,  0.2749, 194,  0.5798, 7499.30,  0.0113, 57.8920, 2464.62
    233327,1,  0.0679,  35,  0.1502, 6192.18,  0.1529,  0.2870, 2683.69
    236534,1,  0.5607, 173,  0.1088, 3219.90,  0.1051,  3.8293, 3294.49
    238205,1,  0.8166, 102,  3.0315, 9890.40,  0.0020, 83.1170, 3011.20
    239380,1,  0.1132, 155,  0.1443, 5372.95,  0.1253,  170.37, 4644.53
    246859,1,  0.0092, 139,  0.0660, 6656.66,  0.0037,  0.1050, 4081.69
    249831,1,  0.0600, 158,  0.9010, 6714.44,  0.2368,  1.0521, 4840.01
    253206,1,  0.0559, 161,  0.4479, 3745.62,  0.0112,  846.19, 3165.29
    255516,1,  0.0910, 213,  1.5974, 3616.15,  0.0385, 16.8956, 3706.50
    256541,1,  0.0889, 209,  0.7276, 9556.75,  0.4253,  3.8727, 4914.65
    259241,1,  0.1011, 137,  0.2167, 7155.97,  0.4821, 59.5978, 3975.38
    262671,1,  0.1743, 107,  0.7064, 3315.80,  0.0028, 50.3222, 1861.41
    267142,1,  0.1564,  65,  1.4613, 9182.45,  0.0577,  0.5795, 1646.06
    267978,1,  0.0568, 130,  2.2611, 8516.38,  0.0065,  1.4435, 3531.22
    270104,1,  1.0094, 184,  2.6683, 9183.03,  0.0697,  0.3260, 1339.12
    271681,1,  0.0374, 194,  0.5798, 7499.30,  0.0113, 57.8920, 2464.62
    275806,1,  0.2964,  63,  0.2216, 3985.11,  0.0022,  0.4288, 4495.15
    277307,1,  0.4883,  69,  3.7949, 5377.05,  0.0022, 76.0321, 4525.42
    277340,1,  0.2594, 196,  0.9419, 8002.32,  0.1262,  0.9832, 4193.79
    277831,1,  0.4361, 107,  0.7064, 3315.80,  0.0028, 50.3222, 1861.41
    280620,1,  0.5681, 102,  3.0315, 9890.40,  0.0020, 83.1170, 3011.20
    286716,1,  0.1814, 221,  0.1595, 5683.75,  0.0508, 83.3421, 3666.10
    286960,1,  0.1175, 169,  1.2971, 8166.86,  0.0102,  0.1404, 4684.27
    291415,1,  0.2036, 166,  0.4061, 4778.10,  0.0503,  0.1469, 4331.24
    291512,1,  0.2116, 217,  0.1285, 4439.94,  0.0464, 40.2629, 2316.00
    291858,1,  0.0868, 148,  0.3767, 8104.01,  0.0727,  1.7080, 1362.57
    293177,1,  0.2151, 218,  1.8112, 5826.14,  0.0070,  966.75, 1926.36
    293402,1,  0.2626,  89,  0.0476, 8718.13,  0.1462,  2.3477, 2758.60
    302778,1,  0.2990,  63,  0.2216, 3985.11,  0.0022,  0.4288, 4495.15
    303710,1,  0.2636, 169,  1.2971, 8166.86,  0.0102,  0.1404, 4684.27
    307341,1,  0.2096, 134,  0.1864, 5883.75,  0.0610,  475.03, 4766.32
    314896,1,  0.0436, 213,  1.5974, 3616.15,  0.0385, 16.8956, 3706.50
    315412,1,  0.1947, 140,  3.2364, 8614.70,  0.1645,  4.5071, 2434.52
    319766,1,  0.0130,  51,  2.2394, 6241.41,  0.0049,  4.0567, 2770.86
    326963,1,  0.0400, 169,  1.2971, 8166.86,  0.0102,  0.1404, 4684.27
    327699,1,  0.0824, 223,  0.5873, 8281.86,  0.0075,  5.3127, 3774.98
    334878,1,  0.1945, 150,  0.2054, 4425.04,  0.0232,  560.65, 4212.35
    336879,1,  0.0257, 149,  0.1376, 7095.38,  0.7152, 17.9414, 4382.78
    337283,1,  0.2583, 155,  0.1443, 5372.95,  0.1253,  170.37, 4644.53
    340164,1,  0.0677, 215,  0.3386, 4188.56,  0.4037, 96.3144, 3553.54
   1019426,1,  0.0682,  97,  2.1400, 5770.23,  0.0046,  4.6610, 2386.78
   1027682,1,  0.2133,   7,  0.1015, 3984.38,  0.2366, 10.4438, 1887.56
   1037238,1,  0.1199, 170,  0.0718, 6980.87,  0.0033,  825.30, 4724.41
   1063085,1,  0.2214, 201,  1.2541, 9311.53,  0.2470, 59.0541, 2198.17
   1063325,1,  0.2130,  64,  0.0428, 6382.33,  0.1759,  0.4402, 1937.31
   1071051,1,  0.3401, 123,  0.1153, 6433.32,  0.0614, 90.5747, 2968.16
   1082772,1,  0.2440,  52,  0.7865, 4186.41,  0.2078,  2.7910, 4554.97
   1099999,1,  0.1253, 223,  0.5873, 8281.86,  0.0075,  5.3127, 3774.98
   1107869,1,  0.1568, 169,  1.2971, 8166.86,  0.0102,  0.1404, 4684.27
   1120736,1,  0.0235,  69,  3.7949, 5377.05,  0.0022, 76.0321, 4525.42
   1175388,1,  0.0518, 115,  1.0169, 6435.94,  0.2169,  0.5423, 3233.44
   1224463,1,  0.9581, 138,  0.7778, 4380.36,  0.0602,  101.55, 3628.96
   1226734,1,  0.1079,  40,  3.6603, 3595.97,  0.0229,  296.60, 2089.94
   1228557,1,  0.0287, 112,  0.0514, 8328.34,  0.0091,  1.7597, 2839.06
   1230255,1,  0.0902, 156,  1.5499, 7268.07,  0.4048,  0.7002, 2843.31
   1233471,1,  0.3355,  84,  0.8886, 4306.31,  0.0034, 34.7945, 2998.70
   1237343,1,  0.3241,  40,  3.6603, 3595.97,  0.0229,  296.60, 2089.94
   1244033,1,  0.0417, 166,  0.4061, 4778.10,  0.0503,  0.1469, 4331.24
   1249035,1,  0.0386,  47,  0.2986, 4691.08,  0.0384,  1.3589, 3956.60
   1250377,1,  0.1372, 182,  0.1134, 3864.80,  0.0087,  4.5063, 3032.14
   1270993,1,  0.0895, 223,  0.5873, 8281.86,  0.0075,  5.3127, 3774.98
   1308595,1,  0.0916, 148,  0.3767, 8104.01,  0.0727,  1.7080, 1362.57
   1340743,1,  0.2603,  89,  0.0476, 8718.13,  0.1462,  2.3477, 2758.60
   1359371,1,  0.1373,   7,  0.1015, 3984.38,  0.2366, 10.4438, 1887.56
   1395089,1,  0.1084, 147,  1.6894, 3840.88,  0.2952,  0.9044, 2665.34
   1396675,1,  0.0586, 139,  0.0660, 6656.66,  0.0037,  0.1050, 4081.69
   1403527,1,  0.0535,  51,  2.2394, 6241.41,  0.0049,  4.0567, 2770.86
   1405367,1,  0.0081,  94,  0.0501, 9445.71,  0.0235,  324.88, 3446.89
   1436263,1,  0.4510, 223,  0.5873, 8281.86,  0.0075,  5.3127, 3774.98
   1437225,1,  0.1370, 155,  0.1443, 5372.95,  0.1253,  170.37, 4644.53
   1440957,1,  0.0766, 152,  0.3794, 3570.42,  0.0095,  4.3540, 1249.63
   1444615,1,  0.1384, 166,  0.4061, 4778.10,  0.0503,  0.1469, 4331.24
   1445475,1,  0.1286, 170,  0.0718, 6980.87,  0.0033,  825.30, 4724.41
   1446313,1,  0.0591,   7,  0.1015, 3984.38,  0.2366, 10.4438, 1887.56
   1461979,1,  0.0689,  58,  0.1122, 6414.11,  0.0040,  4.1954, 2842.23
   1467184,1,  0.0600, 102,  3.0315, 9890.40,  0.0020, 83.1170, 3011.20
   1477382,1,  0.5597,  31,  0.1295, 8878.26,  0.0024,  140.18, 3158.79
   1477456,1,  0.2726,  66,  0.6000, 8716.42,  0.5662,  262.04, 4677.95
   1530979,1,  0.0816, 158,  0.9010, 6714.44,  0.2368,  1.0521, 4840.01
   1534363,1,  0.0232, 132,  0.1310, 6598.01,  0.3636,  6.1389, 3267.73
   1557661,1,  0.0614, 196,  0.9419, 8002.32,  0.1262,  0.9832, 4193.79
   1571881,1,  0.1432,  47,  0.2986, 4691.08,  0.0384,  1.3589, 3956.60
   1589048,1,  0.2944, 224,  0.5689, 8992.53,  0.0986, 13.7834, 3423.36
   1596641,1,  0.1166,  55,  0.1269, 9101.66,  0.0257,  5.3697, 4361.04
   1599951,1,  0.0996,   7,  0.1015, 3984.38,  0.2366, 10.4438, 1887.56
   1602086,1,  0.0912,  43,  1.4988, 6037.59,  0.0026,  508.72, 3868.88
   1608247,1,  0.0788, 140,  3.2364, 8614.70,  0.1645,  4.5071, 2434.52
   1620609,1,  0.3299, 105,  0.3041, 4393.62,  0.2209, 11.1952, 2649.25
   1623018,1,  0.0663, 224,  0.5689, 8992.53,  0.0986, 13.7834, 3423.36
   1691889,1,  0.0007,  40,  3.6603, 3595.97,  0.0229,  296.60, 2089.94
   1706520,1,  0.0571, 102,  3.0315, 9890.40,  0.0020, 83.1170, 3011.20
   1710457,1,  0.0071,  20,  0.4166, 5091.09,  0.7028,  5.0629, 1394.19
   1715614,1,  0.2914, 139,  0.0660, 6656.66,  0.0037,  0.1050, 4081.69
   1725030,1,  0.0890, 218,  1.8112, 5826.14,  0.0070,  966.75, 1926.36
   1731513,1,  0.0302,   7,  0.1015, 3984.38,  0.2366, 10.4438, 1887.56
   1739283,1,  0.1058,  16,  0.0508, 7471.84,  0.0582,  7.4749, 4602.02
   1758282,1,  0.1947, 123,  0.1153, 6433.32,  0.0614, 90.5747, 2968.16
   1764855,1,  0.1586, 129,  3.2410, 7856.37,  0.1047,  3.1030, 3764.81
   1767849,1,  0.0477, 172,  0.1053, 9419.46,  0.2397,  7.3357, 4088.20
   1807894,1,  0.2677, 134,  0.1864, 5883.75,  0.0610,  475.03, 4766.32
   1825870,1,  0.1055, 147,  1.6894, 3840.88,  0.2952,  0.9044, 2665.34
   1831776,1,  0.0320, 158,  0.9010, 6714.44,  0.2368,  1.0521, 4840.01
   1834919,1,  0.0130, 182,  0.1134, 3864.80,  0.0087,  4.5063, 3032.14
   1846849,1,  0.0739,  40,  3.6603, 3595.97,  0.0229,  296.60, 2089.94
   1864609,1,  0.0731,  97,  2.1400, 5770.23,  0.0046,  4.6610, 2386.78
   1866777,1,  0.1377, 158,  0.9010, 6714.44,  0.2368,  1.0521, 4840.01
   1873806,1,  0.1514,  47,  0.2986, 4691.08,  0.0384,  1.3589, 3956.60
   1875583,1,  0.1614, 212,  1.1578, 6518.97,  0.1497,  0.4053, 4892.41
   1899381,1,  0.0251, 108,  0.2433, 5125.07,  0.0024,  339.62, 1963.59
   1919590,1,  0.0750, 218,  1.8112, 5826.14,  0.0070,  966.75, 1926.36
   1934664,1,  0.0514, 197,  0.2221, 9467.53,  0.0664,  307.63, 2616.94
   1940389,1,  0.0549,  87,  0.3812, 7842.73,  0.0054,  178.22, 1948.81
   1963352,1,  0.4050,  66,  0.6000, 8716.42,  0.5662,  262.04, 4677.95
   1975808,1,  0.0916,  47,  0.2986, 4691.08,  0.0384,  1.3589, 3956.60
   1991526,1,  0.0409,  89,  0.0476, 8718.13,  0.1462,  2.3477, 2758.60
   1997078,1,  0.0980, 221,  0.1595, 5683.75,  0.0508, 83.3421, 3666.10
   1999366,1,  0.1280,  47,  0.2986, 4691.08,  0.0384,  1.3589, 3956.60
   2001607,1,  0.0356, 194,  0.5798, 7499.30,  0.0113, 57.8920, 2464.62
   2063451,1,  0.3479,  41,  0.0401, 8226.38,  0.0971,  0.1758, 3844.64
   2079427,1,  0.1009,  39,  2.2300, 6650.18,  0.0025, 49.3928, 3845.74
   2093938,1,  0.4312,  74,  0.0909, 7853.32,  0.1074,  0.1231, 3300.81
   2122851,1,  0.0047, 166,  0.4061, 4778.10,  0.0503,  0.1469, 4331.24
   2124415,1,  0.0585, 140,  3.2364, 8614.70,  0.1645,  4.5071, 2434.52
   2151923,1,  0.0110,  84,  0.8886, 4306.31,  0.0034, 34.7945, 2998.70
   2170432,1,  0.0511, 149,  0.1376, 7095.38,  0.7152, 17.9414, 4382.78
   2185144,1,  0.0097, 105,  0.3041, 4393.62,  0.2209, 11.1952, 2649.25
   2185708,1,  0.1203, 131,  0.1026, 8878.87,  0.6646,  1.7773, 2339.53
   2187733,1,  0.1939, 108,  0.2433, 5125.07,  0.0024,  339.62, 1963.59
   2206234,1,  0.1636,  20,  0.4166, 5091.09,  0.7028,  5.0629, 1394.19
   2208816,1,  0.1434,  58,  0.1122, 6414.11,  0.0040,  4.1954, 2842.23
   2235210,1,  0.6593, 211,  0.9917, 9866.03,  0.0029,  447.67, 2635.86
   2272433,1,  0.0523, 166,  0.4061, 4778.10,  0.0503,  0.1469, 4331.24
   2281832,1,  0.0105, 152,  0.3794, 3570.42,  0.0095,  4.3540, 1249.63
   2301873,1,  0.5831,  29,  3.4985, 9859.87,  0.0841,  354.93, 1526.96
   2328829,1,  0.0592,   3,  0.1585, 6960.11,  0.0382,  0.6977, 3277.79
   2336349,1,  0.0441, 207,  0.1816, 4061.58,  0.0570,  3.1043, 3520.30
   2352930,1,  0.1942, 105,  0.3041, 4393.62,  0.2209, 11.1952, 2649.25
   2354916,1,  0.0201, 169,  1.2971, 8166.86,  0.0102,  0.1404, 4684.27
   2365391,1,  0.1196, 185,  1.1395, 3864.34,  0.0393,  513.86, 2154.51
   2415101,1,  0.0036, 134,  0.1864, 5883.75,  0.0610,  475.03, 4766.32
   2416553,1,  0.5423, 178,  0.2428, 3666.75,  0.5281, 20.8435, 1689.20
   2452543,1,  1.1705,  41,  0.0401, 8226.38,  0.0971,  0.1758, 3844.64
   2472223,1,  0.1163,  78,  3.4726, 9341.65,  0.0051, 17.8184, 4632.09
   2512025,1,  0.0186, 143,  0.6128, 6627.87,  0.1994,  0.3490, 4166.89
   2512927,1,  0.3441,  84,  0.8886, 4306.31,  0.0034, 34.7945, 2998.70
   2516851,1,  0.1410, 194,  0.5798, 7499.30,  0.0113, 57.8920, 2464.62
   2521138,1,  0.0252,  39,  2.2300, 6650.18,  0.0025, 49.3928, 3845.74
   2528993,1,  0.1141,  26,  0.0445, 9096.99,  0.1571, 12.2831, 1819.45
   2530167,1,  0.0394,   7,  0.1015, 3984.38,  0.2366, 10.4438, 1887.56
   2581493,1,  0.8082,  62,  0.7323, 6457.12,  0.0026, 51.8076, 3423.59
   2583026,1,  0.0729, 199,  0.2494, 4499.56,  0.0042,  322.70, 4183.91
   2584752,1,  0.1447, 130,  2.2611, 8516.38,  0.0065,  1.4435, 3531.22
   2599090,1,  0.0326, 166,  0.4061, 4778.10,  0.0503,  0.1469, 4331.24
   2605841,1,  0.0750,  94,  0.0501, 9445.71,  0.0235,  324.88, 3446.89
   2607679,1,  0.0805,  55,  0.1269, 9101.66,  0.0257,  5.3697, 4361.04
   2644184,1,  0.2578, 217,  0.1285, 4439.94,  0.0464, 40.2629, 2316.00
   2650481,1,  0.3553,   2,  3.3522, 9569.76,  0.0187,  0.1085, 4773.27
   2671951,1,  0.0666, 123,  0.1153, 6433.32,  0.0614, 90.5747, 2968.16
   2688511,1,  0.1279, 218,  1.8112, 5826.14,  0.0070,  966.75, 1926.36
   2689939,1,  0.0769, 169,  1.2971, 8166.86,  0.0102,  0.1404, 4684.27
   2699023,1,  0.0841, 108,  0.2433, 5125.07,  0.0024,  339.62, 1963.59
   2713767,1,  0.0592,   7,  0.1015, 3984.38,  0.2366, 10.4438, 1887.56
   2723719,1,  0.5133,   3,  0.1585, 6960.11,  0.0382,  0.6977, 3277.79
   2746307,1,  0.4056, 196,  0.9419, 8002.32,  0.1262,  0.9832, 4193.79
   2750797,1,  0.2769, 206,  3.6553, 3748.61,  0.0227,  3.7908, 3770.28
   2760802,1,  0.2713,  40,  3.6603, 3595.97,  0.0229,  296.60, 2089.94
   2766226,1,  0.0946, 127,  0.2353, 7695.68,  0.0049,  4.4954, 1459.82
   2777247,1,  0.1062, 224,  0.5689, 8992.53,  0.0986, 13.7834, 3423.36
   2845393,1,  0.0066, 178,  0.2428, 3666.75,  0.5281, 20.8435, 1689.20
   2854645,1,  0.0779, 138,  0.7778, 4380.36,  0.0602,  101.55, 3628.96
   2863915,1,  0.5615,  84,  0.8886, 4306.31,  0.0034, 34.7945, 2998.70
   2898536,1,  0.2144, 213,  1.5974, 3616.15,  0.0385, 16.8956, 3706.50
   2926046,1,  0.5589, 127,  0.2353, 7695.68,  0.0049,  4.4954, 1459.82
   2940373,1,  0.1441, 127,  0.2353, 7695.68,  0.0049,  4.4954, 1459.82
   2941174,1,  0.0115,  88,  1.7241, 5084.32,  0.0695, 12.8496, 2791.87
   2982884,1,  0.2457, 169,  1.2971, 8166.86,  0.0102,  0.1404, 4684.27
   3001624,1,  0.1174,  31,  0.1295, 8878.26,  0.0024,  140.18, 3158.79
   3004245,1,  0.3668,   3,  0.1585, 6960.11,  0.0382,  0.6977, 3277.79
   3026208,1,  0.1535,  89,  0.0476, 8718.13,  0.1462,  2.3477, 2758.60
   3026306,1,  0.1211, 199,  0.2494, 4499.56,  0.0042,  322.70, 4183.91
   3083577,1,  0.0341, 184,  2.6683, 9183.03,  0.0697,  0.3260, 1339.12
   3091533,1,  0.1178, 113,  0.5055, 9210.35,  0.0675,  0.2009, 4560.34
   3095193,1,  0.2422,  47,  0.2986, 4691.08,  0.0384,  1.3589, 3956.60
   3095432,1,  0.0526,  89,  0.0476, 8718.13,  0.1462,  2.3477, 2758.60
   3107251,1,  0.1443, 102,  3.0315, 9890.40,  0.0020, 83.1170, 3011.20
   3123590,1,  0.0509, 184,  2.6683, 9183.03,  0.0697,  0.3260, 1339.12
   3127174,1,  0.0495, 205,  0.1141, 3860.49,  0.2373,  3.6289, 3470.48
   3142373,1,  0.1466, 196,  0.9419, 8002.32,  0.1262,  0.9832, 4193.79
   3144938,1,  0.0882,  78,  3.4726, 9341.65,  0.0051, 17.8184, 4632.09
   3150274,1,  0.5937, 140,  3.2364, 8614.70,  0.1645,  4.5071, 2434.52
   3172105,1,  0.1463, 130,  2.2611, 8516.38,  0.0065,  1.4435, 3531.22
   3179912,1,  0.7071, 115,  1.0169, 6435.94,  0.2169,  0.5423, 3233.44
   3184484,1,  0.0718, 172,  0.1053, 9419.46,  0.2397,  7.3357, 4088.20
   3211701,1,  0.0449,  66,  0.6000, 8716.42,  0.5662,  262.04, 4677.95
   3219964,1,  0.2225,  58,  0.1122, 6414.11,  0.0040,  4.1954, 2842.23
   3237008,1,  0.1720, 184,  2.6683, 9183.03,  0.0697,  0.3260, 1339.12
   3238359,1,  0.1609,  25,  1.3683, 4855.48,  0.2589,  1.4109, 2984.33
   3244767,1,  0.2475, 119,  1.9674, 4702.96,  0.0067,  229.14, 2100.42
   3256249,1,  0.2430,  83,  0.2014, 6561.50,  0.0043,  513.16, 4745.61
   3271651,1,  0.0817, 201,  1.2541, 9311.53,  0.2470, 59.0541, 2198.17
   3282656,1,  0.1046,  87,  0.3812, 7842.73,  0.0054,  178.22, 1948.81
   3285140,1,  0.2898, 211,  0.9917, 9866.03,  0.0029,  447.67, 2635.86
   3313225,1,  0.1680, 223,  0.5873, 8281.86,  0.0075,  5.3127, 3774.98
   3356949,1,  0.4920, 138,  0.7778, 4380.36,  0.0602,  101.55, 3628.96
