object_id,submodel,sim_av,IIN_INDEX,Mejecta,Kinetic_energy,Mcsm,R0,Rho
     71426,3,  0.1106, 293,  8.4116,  1.7287,  0.6604, 14.0836, 0.532E-13
     72336,3,  0.0351, 810,  6.7773,  1.3907,  2.1574, 17.9267, 0.550E-13
     72579,3,  0.6859, 935,  6.6964,  5.5585,  0.5641, 22.2714, 0.256E-13
     74340,3,  0.1702, 984,  3.9340,  2.2004,  0.1850, 55.9118, 0.268E-14
     74892,3,  0.2684, 317,  8.8601,  1.6734,  3.6374, 58.1473, 0.996E-14
     75454,3,  0.3633, 799,  7.1336,  5.4717,  0.1510, 38.2274, 0.152E-13
     75601,3,  0.0269, 932,  9.1438,  1.2977,  6.7639, 76.7481, 0.922E-14
     75718,3,  0.0050, 742,  7.0232,  6.7780,  0.7056, 12.7474, 0.498E-13
     75940,3,  0.0988, 650,  6.2645,  1.6911,  0.7633, 85.7795, 0.416E-14
     76731,3,  0.0350, 734,  6.8292,  3.0695,  0.1832, 89.5767, 0.264E-14
     77718,3,  0.0164, 877,  7.5270,  5.8398,  0.5096, 24.7447, 0.252E-13
     78109,3,  0.1154, 821,  7.3894,  5.2863,  0.3320, 53.5018, 0.461E-14
     80009,3,  0.1145, 187,  3.5448,  2.4706,  0.1524, 31.7888, 0.916E-14
     80365,3,  0.0636, 935,  6.6964,  5.5585,  0.5641, 22.2714, 0.256E-13
     81235,3,  0.0538, 254,  4.4332,  5.9578,  0.1568, 13.9722, 0.439E-13
     81792,3,  0.2198, 986,  7.6827,  2.2682,  1.7072, 38.7145, 0.210E-13
     82470,3,  0.4101, 872,  5.3244,  3.3830,  0.2153, 11.9529, 0.509E-13
     82597,3,  0.0710, 945,  6.0419,  7.7415,  0.2209, 12.8850, 0.436E-13
     82744,3,  0.6493, 992,  9.0782,  4.8351,  0.3576, 72.3647, 0.254E-14
     83457,3,  0.3273, 521,  8.4396,  9.6013,  0.7816, 91.5185, 0.186E-14
     84336,3,  0.2832, 799,  7.1336,  5.4717,  0.1510, 38.2274, 0.152E-13
     84883,3,  0.0244, 799,  7.1336,  5.4717,  0.1510, 38.2274, 0.152E-13
     84967,3,  0.0536, 853, 10.5991,  4.6106,  0.5831, 21.7183, 0.669E-13
     86279,3,  0.0203, 924,  8.6538,  3.5904,  0.1960, 94.6994, 0.257E-14
     86456,3,  0.3295, 874,  9.4868,  3.5144,  0.4858, 42.7582, 0.137E-13
     86753,3,  0.0096, 535,  9.4415,  8.8634,  0.2249, 40.9328, 0.404E-14
     87456,3,  0.0723, 853, 10.5991,  4.6106,  0.5831, 21.7183, 0.669E-13
     88006,3,  0.7864, 545,  7.5845,  2.1084,  6.1429, 54.6594, 0.880E-14
     88822,3,  0.0543, 750,  9.4085,  9.3255,  2.8461, 94.3108, 0.258E-14
     88856,3,  0.0390, 799,  7.1336,  5.4717,  0.1510, 38.2274, 0.152E-13
     88904,3,  0.0464, 475,  7.4930,  9.1090,  1.0194, 19.1214, 0.425E-13
     89066,3,  0.0059, 791,  9.6943,  6.8393,  0.2414, 17.7915, 0.489E-13
     89321,3,  0.1510, 801,  7.4119,  1.5891,  4.7343, 56.0676, 0.103E-13
     89381,3,  0.1214, 735,  8.5361,  2.5228,  0.8486, 50.8416, 0.105E-13
     89475,3,  0.0966, 735,  8.5361,  2.5228,  0.8486, 50.8416, 0.105E-13
     89822,3,  0.0062, 981,  9.6709,  4.2289,  0.4766, 93.1963, 0.289E-14
     91078,3,  0.4747, 352,  6.0390,  1.9877,  0.2112, 26.5725, 0.141E-13
     92002,3,  0.0874, 359, 10.6593,  3.7482,  0.9302, 12.8903, 0.732E-13
     93146,3,  0.0574, 891,  9.0524,  4.1505,  2.0527, 31.7265, 0.213E-13
     93594,3,  0.3721, 250,  5.6874,  6.9709,  0.1126,  8.9682, 0.643E-13
     93646,3,  0.0695, 593,  7.6691,  7.0562,  1.4392, 29.2433, 0.155E-13
     94184,3,  0.4668, 575,  7.7414,  8.4876,  0.9196, 13.7285, 0.831E-13
     95041,3,  0.0298, 605,  8.1931,  1.6117,  4.5981, 57.3332, 0.106E-13
     95780,3,  0.1700, 928,  6.4616,  5.8610,  0.1942, 17.2608, 0.428E-13
     96130,3,  0.0658, 341,  9.6192,  2.7530,  0.1257, 60.0258, 0.359E-14
     97891,3,  0.0008, 979,  8.2395,  3.2381,  0.1645, 93.9693, 0.261E-14
     97981,3,  0.1136, 981,  9.6709,  4.2289,  0.4766, 93.1963, 0.289E-14
     99835,3,  0.0579, 719,  8.0215,  1.8046,  4.4295, 57.4328, 0.979E-14
     99862,3,  0.0863, 853, 10.5991,  4.6106,  0.5831, 21.7183, 0.669E-13
     99890,3,  0.2282, 320,  6.1046,  2.0270,  1.6722, 19.3759, 0.754E-13
     99985,3,  0.1417, 719,  8.0215,  1.8046,  4.4295, 57.4328, 0.979E-14
    100251,3,  0.9750, 986,  7.6827,  2.2682,  1.7072, 38.7145, 0.210E-13
    100331,3,  0.0231, 588,  4.8129,  3.0288,  0.2304, 11.5069, 0.614E-13
    100592,3,  0.0459, 961,  6.1171,  4.6767,  0.2371, 17.3406, 0.427E-13
    100824,3,  0.3713, 719,  8.0215,  1.8046,  4.4295, 57.4328, 0.979E-14
    101059,3,  0.0200, 821,  7.3894,  5.2863,  0.3320, 53.5018, 0.461E-14
    101125,3,  0.1934, 441,  9.4792,  7.1760,  4.3846, 20.4165, 0.627E-13
    101370,3,  0.0363, 250,  5.6874,  6.9709,  0.1126,  8.9682, 0.643E-13
    101573,3,  0.0290, 776,  7.4757,  2.3409,  0.2394, 52.7241, 0.366E-14
    101628,3,  0.0631, 951,  8.4045,  2.8549,  0.1979, 19.1364, 0.169E-13
    101727,3,  0.0675, 958, 10.7363,  8.2314,  0.6623, 18.5981, 0.970E-13
    102633,3,  0.0017, 633,  6.2567,  4.7617,  0.6075, 27.8833, 0.103E-13
    102793,3,  0.3706, 824,  9.9042,  1.3656,  1.4498, 14.7315, 0.992E-13
    102905,3,  0.1314, 829,  5.8104,  3.0746,  0.2486, 13.7084, 0.549E-13
    103270,3,  0.5256, 251, 10.0770,  1.8277,  0.3442, 34.6414, 0.687E-14
    103722,3,  0.7282, 932,  9.1438,  1.2977,  6.7639, 76.7481, 0.922E-14
    103816,3,  0.0294, 446, 10.2731,  5.3456,  1.3609, 52.9033, 0.590E-14
    104781,3,  0.0027, 169,  8.0752,  6.3521,  0.3814,  9.7635, 0.682E-13
    104857,3,  0.2423, 914,  4.4722,  2.2303,  0.5190, 42.1253, 0.972E-14
    104923,3,  0.0477, 886,  9.5376,  7.5233,  0.2773, 43.2651, 0.425E-14
    105149,3,  0.8018, 475,  7.4930,  9.1090,  1.0194, 19.1214, 0.425E-13
    105237,3,  0.1739, 709,  9.8791,  2.0695,  0.5920, 14.2054, 0.493E-13
    105651,3,  0.2108, 688,  7.7312,  8.1433,  0.6295, 14.6598, 0.417E-13
    106941,3,  0.3006, 570,  7.9453,  2.8568,  0.5376, 54.4928, 0.854E-14
    107671,3,  0.1211, 570,  7.9453,  2.8568,  0.5376, 54.4928, 0.854E-14
    107985,3,  0.1703, 615,  8.9478,  6.2894,  0.8611, 47.0017, 0.703E-14
    108369,3,  0.1666, 738,  7.6882,  1.6381,  7.8300, 23.4084, 0.717E-13
    109151,3,  0.1398, 802,  5.4222,  2.9865,  0.2189, 12.2410, 0.594E-13
    109222,3,  0.2768, 981,  9.6709,  4.2289,  0.4766, 93.1963, 0.289E-14
    109663,3,  0.0877, 749,  5.2208,  1.5512,  0.6166, 79.4708, 0.331E-14
    110898,3,  0.1407, 928,  6.4616,  5.8610,  0.1942, 17.2608, 0.428E-13
    111672,3,  0.0343, 966,  9.9119,  6.4980,  0.1951, 18.7848, 0.465E-13
    112203,3,  0.1787, 821,  7.3894,  5.2863,  0.3320, 53.5018, 0.461E-14
    113379,3,  0.0887, 791,  9.6943,  6.8393,  0.2414, 17.7915, 0.489E-13
    113559,3,  0.2627, 489,  6.3493,  5.7052,  0.2245, 20.7260, 0.254E-13
    113564,3,  0.3610, 782,  7.6184, 10.4525,  1.0521, 19.1151, 0.412E-13
    114012,3,  0.2442, 767,  7.9872,  6.9276,  0.9962, 17.6941, 0.381E-13
    115516,3,  0.0117, 311,  8.0255,  2.7818,  1.9386, 24.5160, 0.339E-13
    115999,3,  0.1137, 981,  9.6709,  4.2289,  0.4766, 93.1963, 0.289E-14
    116440,3,  0.0860, 503,  2.9456,  2.3065,  0.1674, 31.7051, 0.902E-14
    116971,3,  0.0065, 799,  7.1336,  5.4717,  0.1510, 38.2274, 0.152E-13
    117995,3,  0.0780, 439,  7.6309,  3.9910,  0.8359, 10.9259, 0.680E-13
    118328,3,  0.0188, 898,  4.2779,  2.2205,  0.4536, 39.1106, 0.912E-14
    118582,3,  0.0953, 633,  6.2567,  4.7617,  0.6075, 27.8833, 0.103E-13
    119593,3,  0.0041, 782,  7.6184, 10.4525,  1.0521, 19.1151, 0.412E-13
    119644,3,  0.0073, 895, 10.5530,  7.4404,  0.7902, 76.2025, 0.441E-14
    120098,3,  0.0207, 659,  9.8276,  1.9998,  1.5994, 44.4668, 0.226E-13
    121052,3,  0.1092, 665,  6.7575,  6.3212,  0.7405, 13.9531, 0.552E-13
    121143,3,  0.1279, 674,  7.4273,  7.3729,  0.1297,  9.6636, 0.240E-13
    121440,3,  0.7900, 958, 10.7363,  8.2314,  0.6623, 18.5981, 0.970E-13
    122309,3,  0.1741, 480,  9.6433,  2.3865,  0.2585, 38.0361, 0.140E-13
    122455,3,  0.0821, 230,  7.5960,  1.3553,  1.4158, 15.5199, 0.869E-13
    124111,3,  0.3126, 986,  7.6827,  2.2682,  1.7072, 38.7145, 0.210E-13
    124142,3,  0.0864, 898,  4.2779,  2.2205,  0.4536, 39.1106, 0.912E-14
    126388,3,  0.2414, 849,  9.2067,  1.9172,  4.3665, 58.1734, 0.876E-14
    126491,3,  0.1109, 962,  7.5062,  6.7677,  0.2141, 17.2969, 0.432E-13
    128238,3,  0.2318, 914,  4.4722,  2.2303,  0.5190, 42.1253, 0.972E-14
    129001,3,  0.1064, 964,  8.1560,  8.2351,  1.2569, 18.2446, 0.444E-13
    129335,3,  0.0227, 243,  9.4927,  4.8721,  1.8876, 16.8176, 0.587E-13
    130220,3,  0.0858, 382,  7.9087,  8.0518,  0.4774, 27.7144, 0.197E-13
    130831,3,  0.1095, 548,  5.0725,  1.0153,  0.1384, 26.3856, 0.296E-13
    131118,3,  0.1077, 606,  7.0034,  7.3988,  0.3931, 50.6142, 0.419E-14
    132272,3,  0.4310, 782,  7.6184, 10.4525,  1.0521, 19.1151, 0.412E-13
    132488,3,  0.1199, 801,  7.4119,  1.5891,  4.7343, 56.0676, 0.103E-13
    132840,3,  0.1156, 648,  5.8835,  3.2190,  0.1661, 23.9503, 0.304E-13
    133195,3,  0.0280, 974,  8.7518,  5.1021,  0.3818, 91.7322, 0.262E-14
    133810,3,  0.1524, 521,  8.4396,  9.6013,  0.7816, 91.5185, 0.186E-14
    137891,3,  0.6638, 575,  7.7414,  8.4876,  0.9196, 13.7285, 0.831E-13
    138010,3,  0.3667, 642,  6.6578,  8.5523,  0.6737, 14.5148, 0.559E-13
    140272,3,  0.0542, 786,  8.9469,  2.6664,  0.3716, 52.7839, 0.679E-14
    141302,3,  0.2760, 570,  7.9453,  2.8568,  0.5376, 54.4928, 0.854E-14
    141501,3,  0.0709, 813,  7.0033,  8.0264,  0.2030, 16.7629, 0.336E-13
    141794,3,  0.1359, 382,  7.9087,  8.0518,  0.4774, 27.7144, 0.197E-13
    141891,3,  0.1205, 438,  8.0883,  7.2256,  3.8514, 18.9874, 0.601E-13
    142611,3,  0.5558, 229,  4.5362,  4.8146,  0.6633, 28.9948, 0.112E-13
    144270,3,  0.0259, 961,  6.1171,  4.6767,  0.2371, 17.3406, 0.427E-13
    145795,3,  0.0258, 659,  9.8276,  1.9998,  1.5994, 44.4668, 0.226E-13
    147070,3,  1.5970, 964,  8.1560,  8.2351,  1.2569, 18.2446, 0.444E-13
    147122,3,  0.2583, 824,  9.9042,  1.3656,  1.4498, 14.7315, 0.992E-13
    147723,3,  0.6916, 939,  7.4609,  6.7134,  0.1738, 15.4306, 0.317E-13
    148230,3,  0.1226, 548,  5.0725,  1.0153,  0.1384, 26.3856, 0.296E-13
    149717,3,  0.2323, 921,  8.5742,  9.0331,  0.2293, 42.8661, 0.400E-14
    151361,3,  1.7231, 714,  8.4513,  1.5730,  4.7935, 54.6429, 0.832E-14
    151791,3,  0.1860, 231, 10.3473,  2.3712,  2.2350, 82.9189, 0.281E-14
    151833,3,  0.0306, 920,  9.3786,  5.0457,  2.0736, 32.6394, 0.205E-13
    155057,3,  0.1161, 986,  7.6827,  2.2682,  1.7072, 38.7145, 0.210E-13
    155215,3,  0.1154, 667,  7.4887,  3.8221,  1.5791, 60.3156, 0.502E-14
    155441,3,  0.1106, 731,  7.4285,  5.8285,  0.2929, 64.8522, 0.341E-14
    156215,3,  1.0707, 928,  6.4616,  5.8610,  0.1942, 17.2608, 0.428E-13
    156254,3,  0.1158, 838,  8.6681,  1.7032,  4.1147, 51.1589, 0.962E-14
    156587,3,  0.1661, 611,  6.6838,  6.3244,  0.4103, 42.2841, 0.422E-14
    156843,3,  1.2240, 731,  7.4285,  5.8285,  0.2929, 64.8522, 0.341E-14
    156994,3,  0.1517, 930,  7.2385,  1.2472,  0.3416, 21.8232, 0.249E-13
    157598,3,  0.0594, 612,  5.6559,  5.2837,  0.1106, 53.1298, 0.392E-14
    158433,3,  0.1269, 888,  8.8897,  5.0946,  0.4462, 93.6085, 0.255E-14
    158741,3,  0.1079, 491,  7.9470,  1.8627,  6.4866, 51.4632, 0.980E-14
    159132,3,  0.0881, 958, 10.7363,  8.2314,  0.6623, 18.5981, 0.970E-13
    159262,3,  0.0227, 591,  3.6939,  1.9145,  1.1666, 15.7303, 0.408E-13
    159476,3,  0.1557, 359, 10.6593,  3.7482,  0.9302, 12.8903, 0.732E-13
    159624,3,  0.0976, 966,  9.9119,  6.4980,  0.1951, 18.7848, 0.465E-13
    159717,3,  0.0245, 791,  9.6943,  6.8393,  0.2414, 17.7915, 0.489E-13
    160440,3,  0.0005, 267,  7.7758,  3.1635,  1.6883, 62.3601, 0.562E-14
    162192,3,  0.1395, 570,  7.9453,  2.8568,  0.5376, 54.4928, 0.854E-14
    163768,3,  0.0307, 750,  9.4085,  9.3255,  2.8461, 94.3108, 0.258E-14
    163949,3,  0.1288, 254,  4.4332,  5.9578,  0.1568, 13.9722, 0.439E-13
    164449,3,  0.0904, 799,  7.1336,  5.4717,  0.1510, 38.2274, 0.152E-13
    164688,3,  0.5133, 888,  8.8897,  5.0946,  0.4462, 93.6085, 0.255E-14
    165227,3,  0.0527, 888,  8.8897,  5.0946,  0.4462, 93.6085, 0.255E-14
    165726,3,  0.1594, 187,  3.5448,  2.4706,  0.1524, 31.7888, 0.916E-14
    166438,3,  0.9799, 962,  7.5062,  6.7677,  0.2141, 17.2969, 0.432E-13
    167349,3,  0.0461, 771,  7.1322,  3.4815,  1.4544, 67.5525, 0.571E-14
    168806,3,  0.0302, 932,  9.1438,  1.2977,  6.7639, 76.7481, 0.922E-14
    169119,3,  0.0158, 433,  8.4851,  6.3036,  0.7777, 30.5957, 0.155E-13
    169634,3,  0.4707, 849,  9.2067,  1.9172,  4.3665, 58.1734, 0.876E-14
    169922,3,  0.3298, 965,  7.6644,  2.5606,  0.7794, 38.2697, 0.130E-13
    170018,3,  0.1750, 981,  9.6709,  4.2289,  0.4766, 93.1963, 0.289E-14
    171018,3,  0.1515, 631,  7.1927,  7.5495,  0.7402, 46.0529, 0.765E-14
    171199,3,  0.4845, 874,  9.4868,  3.5144,  0.4858, 42.7582, 0.137E-13
    171216,3,  0.0339, 898,  4.2779,  2.2205,  0.4536, 39.1106, 0.912E-14
    171979,3,  0.0772, 735,  8.5361,  2.5228,  0.8486, 50.8416, 0.105E-13
    172861,3,  0.1333, 986,  7.6827,  2.2682,  1.7072, 38.7145, 0.210E-13
    173121,3,  0.0989, 712,  4.2930,  1.7727,  1.0747, 25.2412, 0.270E-13
    173531,3,  0.2052, 979,  8.2395,  3.2381,  0.1645, 93.9693, 0.261E-14
    173617,3,  0.3058, 531,  5.0304,  1.4856,  0.0842, 50.1059, 0.839E-14
    173635,3,  0.0003, 799,  7.1336,  5.4717,  0.1510, 38.2274, 0.152E-13
    174369,3,  0.1105, 382,  7.9087,  8.0518,  0.4774, 27.7144, 0.197E-13
    175816,3,  0.0173, 575,  7.7414,  8.4876,  0.9196, 13.7285, 0.831E-13
    176701,3,  0.0306, 900, 10.7861,  2.6944,  2.0177, 31.3633, 0.341E-13
    176857,3,  0.0125, 802,  5.4222,  2.9865,  0.2189, 12.2410, 0.594E-13
    176969,3,  0.0199, 648,  5.8835,  3.2190,  0.1661, 23.9503, 0.304E-13
    177464,3,  0.1555, 747,  9.2317,  3.6448,  0.8454, 12.9830, 0.756E-13
    178512,3,  0.0776, 154,  8.8731,  5.8502,  0.9314, 21.9781, 0.144E-13
    179504,3,  0.1985, 986,  7.6827,  2.2682,  1.7072, 38.7145, 0.210E-13
    179976,3,  0.0069, 966,  9.9119,  6.4980,  0.1951, 18.7848, 0.465E-13
    180623,3,  0.1097, 932,  9.1438,  1.2977,  6.7639, 76.7481, 0.922E-14
    181834,3,  0.2325, 799,  7.1336,  5.4717,  0.1510, 38.2274, 0.152E-13
    182391,3,  0.0084, 813,  7.0033,  8.0264,  0.2030, 16.7629, 0.336E-13
